,Time,Returns_BBDC4
0,2012-10-02,0.0015073842999298037
1,2012-10-03,-0.025322620292248743
2,2012-10-04,0.004314412894197872
3,2012-10-05,-0.004625411126976342
4,2012-10-08,-0.003714764135585469
5,2012-10-09,-0.030557660623507843
6,2012-10-10,-0.007709106345117789
7,2012-10-11,0.017572523167893372
8,2012-10-15,-0.0006326055207162007
9,2012-10-16,0.016348896646002142
10,2012-10-17,0.004665699718277683
11,2012-10-18,0.00680278210696228
12,2012-10-19,-0.002775765014208176
13,2012-10-22,-0.012439973938239035
14,2012-10-23,-0.017046153178606804
15,2012-10-24,0.007608643874553067
16,2012-10-25,0.024347990064867986
17,2012-10-26,-0.017107425425860523
18,2012-10-29,0.004384184989014717
19,2012-10-30,0.007157280022713763
20,2012-10-31,-0.007780940609116271
21,2012-11-01,0.03530621435617176
22,2012-11-05,0.0
23,2012-11-06,0.01348128543819671
24,2012-11-07,-0.024098710988192718
25,2012-11-08,-0.016600886474667398
26,2012-11-09,-0.0018584131424574934
27,2012-11-12,-0.006544086622250145
28,2012-11-13,0.020728512725040726
29,2012-11-14,-0.007993355435308658
30,2012-11-16,0.011357213640526442
31,2012-11-19,0.022029504554250234
32,2012-11-21,0.020097858723156392
33,2012-11-22,0.010764240308858142
34,2012-11-23,0.0115092187179342
35,2012-11-26,-0.009486404117673874
36,2012-11-27,-0.015426094861457518
37,2012-11-28,-0.006769568500029521
38,2012-11-29,0.01582262079455221
39,2012-11-30,0.03119235028141265
40,2012-12-03,0.007858251326041898
41,2012-12-04,-0.013508723315822202
42,2012-12-05,0.01574329144811104
43,2012-12-06,-0.020857023659864637
44,2012-12-07,0.0005683893287828923
45,2012-12-10,0.013009122857343236
46,2012-12-11,0.005884093948589353
47,2012-12-12,0.001119243852128804
48,2012-12-13,0.007228891878681587
49,2012-12-14,-0.0044430722258064215
50,2012-12-17,0.0
51,2012-12-18,0.0008351361801706148
52,2012-12-19,0.024440563362209122
53,2012-12-20,-0.009814885327243061
54,2012-12-21,-0.0038451249002480203
55,2012-12-26,-0.021122156180420237
56,2012-12-27,-0.018428902169457917
57,2012-12-28,0.0062776675465539
58,2013-01-02,0.02304768422342507
59,2013-01-03,0.05749863905048702
60,2013-01-04,-0.016931502783346097
61,2013-01-07,-0.005084132523912377
62,2013-01-08,0.0034804507328862755
63,2013-01-09,0.01274474150892857
64,2013-01-10,-0.013278379420035513
65,2013-01-11,-0.003482311767466051
66,2013-01-14,0.016760691187501564
67,2013-01-15,-0.0159553878368075
68,2013-01-16,0.005078461532228573
69,2013-01-17,0.016403369519346178
70,2013-01-18,0.003668792431938961
71,2013-01-21,-0.004192808080556443
72,2013-01-22,0.0
73,2013-01-23,-0.00658402235393174
74,2013-01-24,-0.002383481082216754
75,2013-01-28,-0.03121173671989297
76,2013-01-29,-0.011542251970396045
77,2013-01-30,-0.010284177664749095
78,2013-01-31,0.02210139532072386
79,2013-02-01,-0.0057551030096290035
80,2013-02-04,-0.013557268266863876
81,2013-02-05,-0.0030656280440890527
82,2013-02-06,-0.016622575813759255
83,2013-02-07,-0.008562549129256247
84,2013-02-08,0.01986032558234596
85,2013-02-13,-0.008746470562434272
86,2013-02-14,-0.013409320309547557
87,2013-02-15,0.043277947052402066
88,2013-02-18,0.016096559489313655
89,2013-02-19,-0.021611369389018087
90,2013-02-20,-0.022938202793431284
91,2013-02-21,-0.011098045656742439
92,2013-02-22,0.02039206878609745
93,2013-02-25,-0.00252409379336882
94,2013-02-26,-0.022168452750651824
95,2013-02-27,0.005729855126231698
96,2013-02-28,0.009103612759373547
97,2013-03-01,0.011259623444130451
98,2013-03-04,0.011412842368087261
99,2013-03-05,0.0024901774535130983
100,2013-03-06,-0.0013811501986782382
101,2013-03-07,0.010175074269132445
102,2013-03-08,0.014670484903553493
103,2013-03-11,0.0
104,2013-03-12,-0.007848696776374009
105,2013-03-13,0.003255079992564358
106,2013-03-14,-0.003255079992564358
107,2013-03-15,0.006771254387385017
108,2013-03-18,-0.018531541628553416
109,2013-03-19,-0.012731728775661644
110,2013-03-20,0.008876303819196352
111,2013-03-21,-0.009152226337579616
112,2013-03-22,-0.0016746545020787096
113,2013-03-25,-0.014335762426072485
114,2013-03-26,0.015787834683460567
115,2013-03-27,0.021528789851323005
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.011312645904834717
119,2013-04-03,0.011901352636316531
120,2013-04-04,-0.01971783052036491
121,2013-04-05,0.005117514910486509
122,2013-04-08,-0.01970843362262542
123,2013-04-09,0.031641759799383884
124,2013-04-10,0.023165809824185146
125,2013-04-11,-0.0011580630901488753
126,2013-04-12,-0.007575179395300946
127,2013-04-15,-0.03027924581925623
128,2013-04-16,0.018221506432194445
129,2013-04-17,-0.03738769577144563
130,2013-04-18,-0.019231448545767638
131,2013-04-19,0.011520215560880231
132,2013-04-22,-0.00372453864818878
133,2013-04-23,0.011435771633076186
134,2013-04-24,-0.001848531824485189
135,2013-04-25,-0.007721007121306744
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.032697670089532505
139,2013-05-02,-0.001821618576043349
140,2013-05-03,-0.002740922501516252
141,2013-05-06,-0.009187922076340893
142,2013-05-07,0.027318673178832853
143,2013-05-08,0.008941421375901815
144,2013-05-09,-0.0014875725778766835
145,2013-05-10,-0.004168304924249799
146,2013-05-13,-0.024466605253995244
147,2013-05-14,0.013666898936399718
148,2013-05-15,0.007514162443820194
149,2013-05-16,0.0020932481816271498
150,2013-05-17,0.018354659217790115
151,2013-05-20,0.019173554573159723
