,Time,Returns_MULT3
0,2012-10-02,0.02197846076263854
1,2012-10-03,0.001670922393280705
2,2012-10-04,0.00016697383748098815
3,2012-10-05,0.006986418199662836
4,2012-10-08,-0.005485206965916589
5,2012-10-09,0.0039922137771037924
6,2012-10-10,-0.004158937118758033
7,2012-10-11,0.02485904282594742
8,2012-10-15,0.0
9,2012-10-16,0.015808623319713888
10,2012-10-17,0.011458484083661347
11,2012-10-18,-0.016109387036926215
12,2012-10-19,-0.0160479684685626
13,2012-10-22,0.006515068743833119
14,2012-10-23,-0.020500442815116315
15,2012-10-24,-0.03010905816721543
16,2012-10-25,0.0011946915097817978
17,2012-10-26,-0.00221989888060925
18,2012-10-29,0.020137197202952706
19,2012-10-30,0.017601894875287627
20,2012-10-31,-0.020790249599113686
21,2012-11-01,0.0038583141782453367
22,2012-11-05,-0.0005023981919327625
23,2012-11-06,0.0013391791735140046
24,2012-11-07,-0.04411805813191538
25,2012-11-08,0.030983610179378118
26,2012-11-09,-0.0005086671207106264
27,2012-11-12,-0.018310742275675196
28,2012-11-13,0.014402602197049141
29,2012-11-14,-0.00409268248707928
30,2012-11-16,-0.007894756100024658
31,2012-11-19,0.0006889299930312731
32,2012-11-21,-0.013521485844092851
33,2012-11-22,0.012143081936828892
34,2012-11-23,0.004987841751098898
35,2012-11-26,0.006837467260509378
36,2012-11-27,0.005268410689065028
37,2012-11-28,0.003553190085591851
38,2012-11-29,0.011920556423803852
39,2012-11-30,-0.015473746509395703
40,2012-12-03,0.024278827674173442
41,2012-12-04,0.0037977804733841936
42,2012-12-05,-0.007940534685294764
43,2012-12-06,0.006951244200471329
44,2012-12-07,0.008869035441171569
45,2012-12-10,-0.0300413530447603
46,2012-12-11,0.020678930881414814
47,2012-12-12,0.006250753570983036
48,2012-12-13,0.00016404385692414536
49,2012-12-14,-0.011378736804133815
50,2012-12-17,0.01661293773726502
51,2012-12-18,-0.007204144032413318
52,2012-12-19,-0.017569814192962774
53,2012-12-20,-0.017033147298803897
54,2012-12-21,0.007792755426961229
55,2012-12-26,-0.0018583892094348187
56,2012-12-27,0.002701946706501701
57,2012-12-28,0.015063936760816077
58,2013-01-02,-0.0034947182631865914
59,2013-01-03,-0.006187128495004579
60,2013-01-04,0.004852640602912572
61,2013-01-07,-0.015306867306984273
62,2013-01-08,0.0
63,2013-01-09,0.005072136701446794
64,2013-01-10,0.01056852791466234
65,2013-01-11,-0.014116315413124525
66,2013-01-14,0.008762158468957004
67,2013-01-15,-0.010286507671941614
68,2013-01-16,0.014972941841784326
69,2013-01-17,-0.0045187151377126256
70,2013-01-18,-0.02582521237175328
71,2013-01-21,0.0
72,2013-01-22,0.011294623711705754
73,2013-01-23,-0.00888776426816662
74,2013-01-24,-0.01819436947228592
75,2013-01-28,-0.008603564628983484
76,2013-01-29,0.018348433160758404
77,2013-01-30,0.002594217768267626
78,2013-01-31,-0.006063630598728942
79,2013-02-01,0.00173624571174269
80,2013-02-04,0.002598642829508613
81,2013-02-05,0.003454431753190157
82,2013-02-06,0.004301326104464209
83,2013-02-07,-0.004301326104464209
84,2013-02-08,-0.017392740954282004
85,2013-02-13,0.007341795522198602
86,2013-02-14,-0.007341795522198602
87,2013-02-15,-0.04118635464285347
88,2013-02-18,0.014698555022371274
89,2013-02-19,-0.00018022838785380912
90,2013-02-20,-0.0036103208281081933
91,2013-02-21,0.01079212874680291
92,2013-02-22,-0.002866522385604142
93,2013-02-25,0.0025086561299660914
94,2013-02-26,-0.010434262491164858
95,2013-02-27,0.007028076505665837
96,2013-02-28,0.017092417238718127
97,2013-03-01,0.023550596046342243
98,2013-03-04,0.011486128084783331
99,2013-03-05,0.014046944408600659
100,2013-03-06,-0.010645317871131432
101,2013-03-07,-0.0003398089626731604
102,2013-03-08,0.0008492890193227964
103,2013-03-11,-0.010237859074119449
104,2013-03-12,-0.0013731984681184528
105,2013-03-13,-0.010533391771890166
106,2013-03-14,0.015387856497011576
107,2013-03-15,-0.005141382318288201
108,2013-03-18,-0.0034423613731036085
109,2013-03-19,0.0
110,2013-03-20,0.004644370608564152
111,2013-03-21,-0.006369962033719645
112,2013-03-22,-0.0069324713179588215
113,2013-03-25,0.012959144642505471
114,2013-03-26,-0.00602667332454665
115,2013-03-27,0.008598504959492104
116,2013-03-28,-0.006872913534336611
117,2013-04-01,-0.026202372394023676
118,2013-04-02,-0.008888947417245774
119,2013-04-03,0.006762812687602704
120,2013-04-04,-0.006762812687602704
121,2013-04-05,-0.009869958904508813
122,2013-04-08,-0.008876102111598172
123,2013-04-09,0.021421087084286583
124,2013-04-10,0.00444247716167645
125,2013-04-11,-0.006938983451174607
126,2013-04-12,-0.02092806025567384
127,2013-04-15,-0.03903837790198139
128,2013-04-16,0.014117881545784972
129,2013-04-17,0.018519047767237673
130,2013-04-18,0.02732950884463259
131,2013-04-19,0.015061913296078089
132,2013-04-22,0.011192823993395606
133,2013-04-23,-0.011368762787059339
134,2013-04-24,0.001406257946745093
135,2013-04-25,0.007524770762126209
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.00952054063032115
139,2013-05-02,0.00017541889376637698
140,2013-05-03,-0.0035149597130788024
141,2013-05-06,-0.0017620797510806696
142,2013-05-07,0.0226687821760283
143,2013-05-08,0.007044097505798597
144,2013-05-09,0.006654729845561036
145,2013-05-10,-0.005628018607412244
146,2013-05-13,0.005628018607412244
147,2013-05-14,0.0059347863389582756
148,2013-05-15,0.001013805417908742
149,2013-05-16,0.004885882896938476
150,2013-05-17,0.0025178695212586533
