,Time,Returns_ELET3
0,2012-10-02,-0.0032786914616984575
1,2012-10-03,-0.01906398390423103
2,2012-10-04,-0.029726180265200686
3,2012-10-05,0.02385121582217975
4,2012-10-08,-0.0016849203649194067
5,2012-10-09,-0.006768215346138806
6,2012-10-10,-0.005106394074573917
7,2012-10-11,0.003407158321614201
8,2012-10-15,0.01435229363934365
9,2012-10-16,-0.0033585254071342163
10,2012-10-17,-0.02039153069098054
11,2012-10-18,0.023750056098114758
12,2012-10-19,-0.0016778527426155598
13,2012-10-22,0.005025136202672975
14,2012-10-23,-0.005865119452398204
15,2012-10-24,-0.023810648693718406
16,2012-10-25,0.0017196908795265031
17,2012-10-26,-0.010362787035546717
18,2012-10-29,-0.03713954694945665
19,2012-10-30,0.004494389587839542
20,2012-10-31,0.0
21,2012-11-01,0.03783997423872121
22,2012-11-05,-0.04775443129590018
23,2012-11-06,-0.012762251613851028
24,2012-11-07,-0.035484581925534275
25,2012-11-08,-0.02113431207397376
26,2012-11-09,-0.023576730563996673
27,2012-11-12,-0.029250698616901882
28,2012-11-13,0.012207679579929298
29,2012-11-14,-0.04233982936769021
30,2012-11-16,-0.024560764742596497
31,2012-11-19,-0.14393279044406615
32,2012-11-21,-0.1711482561958293
33,2012-11-22,-0.09146572733901004
34,2012-11-23,0.07352802665234259
35,2012-11-26,0.029719869384927655
36,2012-11-27,-0.004402061400637702
37,2012-11-28,0.0029368596733096997
38,2012-11-29,-0.04039442220821021
39,2012-11-30,0.15524059819128389
40,2012-12-03,-0.02649161544697609
41,2012-12-04,-0.020339684237122846
42,2012-12-05,-0.056352936551131716
43,2012-12-06,-0.02643325706815558
44,2012-12-07,-0.00746829460752596
45,2012-12-10,-0.030443751414723108
46,2012-12-11,0.05121601164861178
47,2012-12-12,-0.02227263560912318
48,2012-12-13,-0.009049835519918004
49,2012-12-14,0.006042314455962705
50,2012-12-17,0.0015048911794204312
51,2012-12-18,0.0
52,2012-12-19,-0.03053672386008177
53,2012-12-20,-0.01562531790308097
54,2012-12-21,0.038614836127779606
55,2012-12-26,-0.015267472130788384
56,2012-12-27,-0.02808296874282523
57,2012-12-28,0.0015810279973187402
58,2013-01-02,0.061274907500551645
59,2013-01-03,0.03647377311764477
60,2013-01-04,0.011396134730869312
61,2013-01-07,-0.00996449525943155
62,2013-01-08,-0.08818256588009277
63,2013-01-09,0.027736754971599664
64,2013-01-10,0.003034903695153801
65,2013-01-11,-0.013730192811901798
66,2013-01-14,0.006125593426682618
67,2013-01-15,0.0091186042164344
68,2013-01-16,0.022439236191277745
69,2013-01-17,0.033457666190846336
70,2013-01-18,0.0461297717275011
71,2013-01-21,0.050610000886418094
72,2013-01-22,0.0
73,2013-01-23,0.01801850550267803
74,2013-01-24,-0.0782373654957329
75,2013-01-28,-0.035091319811270116
76,2013-01-29,0.0071174677688641275
77,2013-01-30,-0.0071174677688641275
78,2013-01-31,0.016997576368571243
79,2013-02-01,0.0
80,2013-02-04,-0.01985880864960321
81,2013-02-05,0.008559253395669764
82,2013-02-06,-0.008559253395669764
83,2013-02-07,-0.026126304592220206
84,2013-02-08,0.0073260400920727164
85,2013-02-13,0.01736657249829876
86,2013-02-14,-0.012996572827180364
87,2013-02-15,-0.011696039763191113
88,2013-02-18,-0.023810648693718628
89,2013-02-19,-0.001507159290571325
90,2013-02-20,-0.041576426845740366
91,2013-02-21,-0.02225847060094277
92,2013-02-22,-0.014575156802967948
93,2013-02-25,0.024175230531987335
94,2013-02-26,0.040567184988999916
95,2013-02-27,0.047770276268686684
96,2013-02-28,0.013034217838906903
97,2013-03-01,-0.014493007302567085
98,2013-03-04,-0.01767350861749728
99,2013-03-05,-0.02558454070063898
100,2013-03-06,0.05631117156271559
101,2013-03-07,0.06956907432628756
102,2013-03-08,-0.01899650069065517
103,2013-03-11,-0.0013708021337786036
104,2013-03-12,0.008196767204178279
105,2013-03-13,-0.013698844358161821
106,2013-03-14,-0.053837362632325414
107,2013-03-15,-0.016141216179385243
108,2013-03-18,0.005899722127188367
109,2013-03-19,-0.004421525257877423
110,2013-03-20,-0.03762671098562209
111,2013-03-21,-0.029574139782476694
112,2013-03-22,0.007867861200613557
113,2013-03-25,0.003129893008927853
114,2013-03-26,-0.009419221916491693
115,2013-03-27,-0.014297304700824354
116,2013-03-28,0.11189909249740881
117,2013-04-01,-0.008620743043907142
118,2013-04-02,-0.035245939061674836
119,2013-04-03,-0.012030220276542103
120,2013-04-04,-0.024503523055913856
121,2013-04-05,0.003095977705128039
122,2013-04-08,-0.026626475115322235
123,2013-04-09,-0.00158856268513774
124,2013-04-10,-0.006379606964038942
125,2013-04-11,-0.008032171697264223
126,2013-04-12,-0.01954459607297032
127,2013-04-15,-0.08045397644347063
128,2013-04-16,0.00355872261699397
129,2013-04-17,-0.05101288124368386
130,2013-04-18,-0.024599159013367844
131,2013-04-19,0.01897590145900585
132,2013-04-22,0.0204658305922909
133,2013-04-23,0.018248681588399318
134,2013-04-24,-0.009082714574319084
135,2013-04-25,-0.016559716039018513
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.03745756253490051
139,2013-05-02,-0.0586734016851731
140,2013-05-03,-0.017699577099401065
141,2013-05-06,-0.02817087696669618
142,2013-05-07,0.008130126083250255
143,2013-05-08,-0.008130126083250255
144,2013-05-09,-0.008196767204178501
145,2013-05-10,-0.0041237171838621745
146,2013-05-13,-0.022989518224698635
147,2013-05-14,-0.01705798290457672
148,2013-05-15,0.012820688429061367
149,2013-05-16,0.09511714824306527
150,2013-05-17,-0.015564516541111573
