,Time,Returns_NATU3
0,2012-10-02,0.024140609475584718
1,2012-10-03,-0.021248866994189264
2,2012-10-04,0.0014427775010812383
3,2012-10-05,0.0034181556458250384
4,2012-10-08,0.017271006752351603
5,2012-10-09,-0.0008830729050686159
6,2012-10-10,-0.015310891938770332
7,2012-10-11,-0.006660145160123143
8,2012-10-15,-0.0067047275420826224
9,2012-10-16,-0.014467810407005732
10,2012-10-17,0.007168471295357026
11,2012-10-18,-0.0018331444516239692
12,2012-10-19,0.013667638728664055
13,2012-10-22,-0.00018097565112373815
14,2012-10-23,-0.005081735027696155
15,2012-10-24,-0.0025505388444031496
16,2012-10-25,-0.01137416397885449
17,2012-10-26,-0.0027714013119553016
18,2012-10-29,0.0027714013119553016
19,2012-10-30,-0.0048086277233188035
20,2012-10-31,0.0038857112089742962
21,2012-11-01,0.01557517485103066
22,2012-11-05,0.009049835519917337
23,2012-11-06,-0.004514680354525957
24,2012-11-07,-0.010736159897940745
25,2012-11-08,0.013086355299954278
26,2012-11-09,-0.0016264573635815793
27,2012-11-12,-0.00544069154632254
28,2012-11-13,0.0
29,2012-11-14,0.011391443936702217
30,2012-11-16,0.014812477483788555
31,2012-11-19,-0.006397764790216698
32,2012-11-21,0.003559373720833925
33,2012-11-22,-0.0048081474091175025
34,2012-11-23,-0.01112913997764231
35,2012-11-26,0.003603535430992899
36,2012-11-27,-0.003603535430992899
37,2012-11-28,0.01611488752933532
38,2012-11-29,-0.0026678005803262295
39,2012-11-30,0.00727532246532725
40,2012-12-03,0.004410344902913366
41,2012-12-04,0.0014071770132044747
42,2012-12-05,-0.012380773857429084
43,2012-12-06,0.017815128540924263
44,2012-12-07,0.0017466904004175277
45,2012-12-10,0.009034130319513167
46,2012-12-11,0.007409355857610045
47,2012-12-12,-0.002406309150053687
48,2012-12-13,-0.00017215386129976196
49,2012-12-14,-0.014737987000107644
50,2012-12-17,0.009734145958081086
51,2012-12-18,-0.008861182123743205
52,2012-12-19,-0.0026211810322420703
53,2012-12-20,-0.002628157401894704
54,2012-12-21,-0.013422984770263824
55,2012-12-26,0.009027373297225694
56,2012-12-27,0.02144246713199749
57,2012-12-28,0.011318917031680087
58,2013-01-02,0.010348739490050995
59,2013-01-03,0.002528480023391566
60,2013-01-04,0.008215269540460035
61,2013-01-07,-0.033964888762319845
62,2013-01-08,-0.04758166941778086
63,2013-01-09,-0.0036297861665204323
64,2013-01-10,0.0383462400039738
65,2013-01-11,-0.006143117114973506
66,2013-01-14,-0.012578764601225423
67,2013-01-15,-0.01690076155600284
68,2013-01-16,0.022412412000762494
69,2013-01-17,-0.007296054883539682
70,2013-01-18,-0.0069899737961529596
71,2013-01-21,0.016057472867082367
72,2013-01-22,-0.008531868320432956
73,2013-01-23,-0.00986641773705621
74,2013-01-24,-0.005785570130663054
75,2013-01-28,-0.04544130744159469
76,2013-01-29,0.005676439029473457
77,2013-01-30,0.0037665015924690515
78,2013-01-31,0.009354604992201754
79,2013-02-01,0.004459279035673447
80,2013-02-04,-0.0138138840278752
81,2013-02-05,-0.019359135436008756
82,2013-02-06,-0.0055732056004700326
83,2013-02-07,0.026810238301960165
84,2013-02-08,0.004119103409900848
85,2013-02-13,0.0016802206727093427
86,2013-02-14,0.0022358682480474457
87,2013-02-15,-0.02793161389580945
88,2013-02-18,0.005725187448543778
89,2013-02-19,-0.0024769185515811643
90,2013-02-20,0.003427921978966353
91,2013-02-21,-0.007059039272642398
92,2013-02-22,0.0019128161549035738
93,2013-02-25,-0.0005735066526924015
94,2013-02-26,0.004578451340092826
95,2013-02-27,-0.0064922892448300296
96,2013-02-28,-0.021298055974966257
97,2013-03-01,0.021106428423848023
98,2013-03-04,0.00496946741351989
99,2013-03-05,-0.021779814160646893
100,2013-03-06,0.01891581220298244
101,2013-03-07,-0.03205708176905331
102,2013-03-08,-0.0019763444972786814
103,2013-03-11,0.00493340921531038
104,2013-03-12,0.018334880513298124
105,2013-03-13,-0.021884480050754718
106,2013-03-14,-0.01673345851088337
107,2013-03-15,-0.026049478907619328
108,2013-03-18,0.0016481667997934046
109,2013-03-19,0.016535989562288744
110,2013-03-20,0.01626709231248258
111,2013-03-21,-0.022156052550725835
112,2013-03-22,0.005888960238243257
113,2013-03-25,-0.04323767994928174
114,2013-03-26,0.013231338815302252
115,2013-03-27,-0.0027159945946322317
116,2013-03-28,0.0
117,2013-04-01,0.007295561204089918
118,2013-04-02,-0.015698908885874996
119,2013-04-03,0.022941527048314647
120,2013-04-04,-0.021044593268278344
121,2013-04-05,0.021044593268278344
122,2013-04-08,0.01432984588002828
123,2013-04-09,-0.009188446379609694
124,2013-04-10,0.010813101489200339
125,2013-04-11,-0.012660961577680041
126,2013-04-12,-0.002263163215364905
127,2013-04-15,-0.028624100160482335
128,2013-04-16,0.019312061552144044
129,2013-04-17,0.009312038608338291
130,2013-04-18,0.024416289464590513
131,2013-04-19,0.0026096772553492187
132,2013-04-22,-0.021889848492653297
133,2013-04-23,0.008569772912556228
134,2013-04-24,-0.0044797671692276
135,2013-04-25,-0.02919764297760752
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.03148129650356779
139,2013-05-02,-0.00812609763434402
140,2013-05-03,-0.004987541511038973
141,2013-05-06,-0.017146118143211098
142,2013-05-07,0.025114327474927034
143,2013-05-08,-0.0029806678206769632
144,2013-05-09,-0.01706008225947908
145,2013-05-10,0.017259027642663405
146,2013-05-13,0.011670590840832329
147,2013-05-14,-0.015857597381992328
148,2013-05-15,0.028559321888481204
149,2013-05-16,0.029087393191189026
