,Time,Returns_BRML3
0,2012-10-02,-0.014033238827078964
1,2012-10-03,-0.0007206777934065656
2,2012-10-04,0.021874914496514908
3,2012-10-05,0.00953222876338966
4,2012-10-08,0.026355783977225933
5,2012-10-09,-0.012743762344071818
6,2012-10-10,-0.003821269392920712
7,2012-10-11,0.01895656835694126
8,2012-10-15,-0.011679775753194566
9,2012-10-16,0.01542942362315003
10,2012-10-17,-0.016462775132085383
11,2012-10-18,-0.0045075461015100515
12,2012-10-19,0.0010431529874925793
13,2012-10-22,0.00794656608661759
14,2012-10-23,-0.026152914394034443
15,2012-10-24,-0.05073798911924765
16,2012-10-25,0.003711211318829566
17,2012-10-26,-0.007436191264694081
18,2012-10-29,-0.011258866978959059
19,2012-10-30,0.02754269164961487
20,2012-10-31,-0.02002262000224153
21,2012-11-01,0.0085802343366983
22,2012-11-05,-0.0026013912002418316
23,2012-11-06,-0.009731781940532702
24,2012-11-07,-0.014002288495030157
25,2012-11-08,-0.004970955915730713
26,2012-11-09,-0.0022995568721797532
27,2012-11-12,0.0022995568721797532
28,2012-11-13,0.039075961347844856
29,2012-11-14,0.013171729619528616
30,2012-11-16,-0.02952150775253637
31,2012-11-19,0.013392877191696684
32,2012-11-21,0.012490574668131416
33,2012-11-22,-0.00990280855061787
34,2012-11-23,0.013181999106409492
35,2012-11-26,0.00035886533691664724
36,2012-11-27,-0.016128630560839685
37,2012-11-28,0.0033203931137091303
38,2012-11-29,0.0073406300852307815
39,2012-11-30,0.0036502066146324452
40,2012-12-03,0.010871296400760677
41,2012-12-04,-0.023702982836178776
42,2012-12-05,-0.004439616943297864
43,2012-12-06,0.03782523324016518
44,2012-12-07,0.010646076732007348
45,2012-12-10,0.009838943672598965
46,2012-12-11,-0.025856282585829504
47,2012-12-12,-0.009734927668905602
48,2012-12-13,-0.010558538415609497
49,2012-12-14,0.001460591789656629
50,2012-12-17,0.017039677378481333
51,2012-12-18,-0.01886705128393773
52,2012-12-19,0.004016914676504779
53,2012-12-20,-0.004016914676504779
54,2012-12-21,0.004747459788912778
55,2012-12-26,-0.011362669224791233
56,2012-12-27,-0.010005457647841443
57,2012-12-28,0.006310870396118329
58,2013-01-02,0.02665867360845109
59,2013-01-03,0.0021580091282218383
60,2013-01-04,-0.0039643579586070565
61,2013-01-07,-0.010525613413959523
62,2013-01-08,-0.009530170856279163
63,2013-01-09,0.010990836699863227
64,2013-01-10,-0.0018206551454409414
65,2013-01-11,-0.009170181554422285
66,2013-01-14,-0.007389366344817905
67,2013-01-15,-0.008948935796018631
68,2013-01-16,0.02404515411203567
69,2013-01-17,-0.00036622188596835414
70,2013-01-18,-0.020315105059050875
71,2013-01-21,0.016651525607568995
72,2013-01-22,0.0
73,2013-01-23,-0.0036770506337489017
74,2013-01-24,-0.011107410903945514
75,2013-01-28,-0.03217141375102095
76,2013-01-29,0.0019186586768236147
77,2013-01-30,-0.008090164843304937
78,2013-01-31,-0.0023227199576227875
79,2013-02-01,0.03580974410628057
80,2013-02-04,-0.010534850022215547
81,2013-02-05,0.011658825770962888
82,2013-02-06,0.001864855950222566
83,2013-02-07,-0.011258866978959059
84,2013-02-08,0.011258866978959059
85,2013-02-13,0.007807103963294981
86,2013-02-14,-0.00037091269860090037
87,2013-02-15,-0.045463790529148174
88,2013-02-18,-0.008168867753795883
89,2013-02-19,-0.005489154407136709
90,2013-02-20,0.003922241664086279
91,2013-02-21,0.0035162182999277647
92,2013-02-22,-0.025278071573112015
93,2013-02-25,-0.00964438152985636
94,2013-02-26,-0.027019327662404446
95,2013-02-27,0.03466427120835425
96,2013-02-28,0.02571954885880512
97,2013-03-01,0.02239992026336557
98,2013-03-04,-0.006899147784925841
99,2013-03-05,0.0
100,2013-03-06,0.020178787025451506
101,2013-03-07,-0.029839302306745363
102,2013-03-08,0.004264036602134258
103,2013-03-11,-0.01401878855375882
104,2013-03-12,0.005081836598528788
105,2013-03-13,-0.012957098018152813
106,2013-03-14,0.007875261419624024
107,2013-03-15,-0.00669414264485324
108,2013-03-18,0.00669414264485324
109,2013-03-19,-0.019004676421582545
110,2013-03-20,-0.0012017399769219672
111,2013-03-21,-0.01653977120562722
112,2013-03-22,-0.017647119758041452
113,2013-03-25,0.023729004176450186
114,2013-03-26,-0.0020211684873463476
115,2013-03-27,0.006863853124003061
116,2013-03-28,0.012394102126687123
117,2013-04-01,0.001591184793840128
118,2013-04-02,-0.030215393484934516
119,2013-04-03,-0.0020443396070737307
120,2013-04-04,-0.02070787788461148
121,2013-04-05,-0.005872110626041316
122,2013-04-08,-0.01955059840249529
123,2013-04-09,0.024584155546649278
124,2013-04-10,0.010419261481501962
125,2013-04-11,-0.024332496506265233
126,2013-04-12,-0.035881302339147325
127,2013-04-15,-0.032202829434644364
128,2013-04-16,0.022476329082849578
129,2013-04-17,0.019802366730264254
130,2013-04-18,0.02750530761109804
131,2013-04-19,0.0016906602982897923
132,2013-04-22,0.017205243322524044
133,2013-04-23,-0.011294616981651462
134,2013-04-24,0.009626590922993117
135,2013-04-25,0.00041732969454910673
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.0008470612539808187
139,2013-05-02,-0.01963405922593431
140,2013-05-03,-0.0021546032319750275
141,2013-05-06,-0.004329669483587928
142,2013-05-07,0.015069338244705577
143,2013-05-08,0.0034122216034560005
144,2013-05-09,0.022320457951458206
145,2013-05-10,-0.02062188161131795
146,2013-05-13,0.0004257820632140863
147,2013-05-14,0.02601344439061526
148,2013-05-15,-0.0020760179505074916
149,2013-05-16,0.00414149553787313
