,Time,Returns_FIBR3
0,2012-10-02,0.0010730151531945786
1,2012-10-03,-0.024424497062021544
2,2012-10-04,0.003838721362112274
3,2012-10-05,0.004369204110663993
4,2012-10-08,0.01353200621857642
5,2012-10-09,-0.006472514505617699
6,2012-10-10,0.0145046862028817
7,2012-10-11,0.012718772407774637
8,2012-10-15,0.029062710456283725
9,2012-10-16,-0.002048080645458139
10,2012-10-17,-0.008234735159228901
11,2012-10-18,0.0025806465934912204
12,2012-10-19,-0.0025806465934912204
13,2012-10-22,0.0066958787385980045
14,2012-10-23,-0.011357891844409718
15,2012-10-24,-0.042965981682902665
16,2012-10-25,-0.019152486415296543
17,2012-10-26,-0.022347242194823203
18,2012-10-29,0.022347242194823203
19,2012-10-30,-0.03371105734231161
20,2012-10-31,-0.014968615693921716
21,2012-11-01,0.04424998694464488
22,2012-11-05,0.0022172404376603616
23,2012-11-06,0.04228277653036505
24,2012-11-07,-0.00799359417619927
25,2012-11-08,-0.0032155440353878184
26,2012-11-09,0.019665848229810212
27,2012-11-12,0.016184065487342192
28,2012-11-13,0.05638136417574824
29,2012-11-14,-0.06001296359197017
30,2012-11-16,0.0
31,2012-11-19,0.024641853226988086
32,2012-11-21,0.020577891510051405
33,2012-11-22,0.011361050823634145
34,2012-11-23,0.013174037811827688
35,2012-11-26,0.00820666002028636
36,2012-11-27,-0.018438125893828428
37,2012-11-28,0.017957337233448722
38,2012-11-29,0.030786232874422836
39,2012-11-30,-0.02025986798748214
40,2012-12-03,0.03920240668468988
41,2012-12-04,0.029314387668775144
42,2012-12-05,0.04773140282119037
43,2012-12-06,-0.02184708866516072
44,2012-12-07,-0.0026018661121867126
45,2012-12-10,-0.01443278871399789
46,2012-12-11,0.010953011539318602
47,2012-12-12,0.0017413586955523641
48,2012-12-13,-0.036319315146870146
49,2012-12-14,-0.003615006196194148
50,2012-12-17,0.012595802772738196
51,2012-12-18,0.02951105902570328
52,2012-12-19,-0.01928197295222711
53,2012-12-20,0.01318700428195374
54,2012-12-21,-0.007451272695742084
55,2012-12-26,-0.018650674242961074
56,2012-12-27,0.01600750089794678
57,2012-12-28,-0.004420873689993332
58,2013-01-02,0.06973108365550962
59,2013-01-03,-0.005386422689973358
60,2013-01-04,-0.023965830644867125
61,2013-01-07,-0.0025564137791862507
62,2013-01-08,0.016501283739723593
63,2013-01-09,0.010851525516129001
64,2013-01-10,0.002073357617584204
65,2013-01-11,0.02212302479282302
66,2013-01-14,0.01767118237172749
67,2013-01-15,-0.004788556540713973
68,2013-01-16,0.0
69,2013-01-17,0.03343477608623768
70,2013-01-18,-0.0027115646536381988
71,2013-01-21,0.008497501720682088
72,2013-01-22,0.0
73,2013-01-23,0.012612435486735851
74,2013-01-24,-0.004949524573228725
75,2013-01-28,-0.06098254844629025
76,2013-01-29,-0.010193768189542762
77,2013-01-30,0.010193768189542762
78,2013-01-31,-0.010193768189542762
79,2013-02-01,0.006535930263172229
80,2013-02-04,-0.0004072490549971164
81,2013-02-05,0.018164011360869203
82,2013-02-06,0.0067769842790239565
83,2013-02-07,-0.03312095961862571
84,2013-02-08,-0.034680726498172554
85,2013-02-13,-0.01672069002097487
86,2013-02-14,-0.028504407983961144
87,2013-02-15,0.018510885534703814
88,2013-02-18,-0.0021857932199802477
89,2013-02-19,-0.02436448371719102
90,2013-02-20,-0.029581179174523964
91,2013-02-21,-0.007883184807834898
92,2013-02-22,0.03925652400039059
93,2013-02-25,-0.009444684765625766
94,2013-02-26,0.0009033876157156229
95,2013-02-27,0.029799847942785007
96,2013-02-28,-0.017237995901812297
97,2013-03-01,-0.007608002684718063
98,2013-03-04,0.005823040100467747
99,2013-03-05,-0.010776889456722394
100,2013-03-06,0.024527472049074905
101,2013-03-07,-0.0035304536435809553
102,2013-03-08,-0.014247881273615537
103,2013-03-11,-0.004494299699744797
104,2013-03-12,0.0022496746889713037
105,2013-03-13,-0.008122788343604359
106,2013-03-14,0.003618276222499439
107,2013-03-15,-0.003165275082249952
108,2013-03-18,0.011258844443172045
109,2013-03-19,-0.02173014431046738
110,2013-03-20,0.008658108115164431
111,2013-03-21,-0.004091844577497561
112,2013-03-22,0.005905036329628466
113,2013-03-25,0.004969560600951883
114,2013-03-26,0.013873527200527924
115,2013-03-27,0.04561046878920649
116,2013-03-28,0.03545735429957553
117,2013-04-01,-0.020286350828922828
118,2013-04-02,-0.03489715810382954
119,2013-04-03,0.04281221713020544
120,2013-04-04,0.0029003542187822084
121,2013-04-05,-0.0029003542187822084
122,2013-04-08,0.008675906696086422
123,2013-04-09,0.0283879976968322
124,2013-04-10,-0.04623449824117465
125,2013-04-11,-0.02888892487264183
126,2013-04-12,-0.01958717637875207
127,2013-04-15,-0.04495138786226649
128,2013-04-16,0.04451173078769699
129,2013-04-17,-0.024483706312543596
130,2013-04-18,0.010311635634167704
131,2013-04-19,-0.009861083720736019
132,2013-04-22,0.02579066799391372
133,2013-04-23,0.01481508513957941
134,2013-04-24,-0.028072062031280876
135,2013-04-25,-0.0057997039659123395
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.020355732433064766
139,2013-05-02,-0.020834086902842053
140,2013-05-03,0.019427240213433894
141,2013-05-06,0.018596538644277683
142,2013-05-07,0.017804670695230396
143,2013-05-08,-0.018726237580729332
144,2013-05-09,-0.011126678948905955
145,2013-05-10,0.005578768406993451
146,2013-05-13,-0.01966355490877847
147,2013-05-14,0.005657723719858954
148,2013-05-15,-0.005657723719858954
149,2013-05-16,0.007067120274734773
150,2013-05-17,0.009810917512617312
