,Time,Returns_USIM5
0,2012-10-02,0.0039525743158232984
1,2012-10-03,0.005899722127188145
2,2012-10-04,0.011696039763191557
3,2012-10-05,-0.01562531790308075
4,2012-10-08,0.013685453085253929
5,2012-10-09,-0.004866189651172803
6,2012-10-10,-0.0749338290271182
7,2012-10-11,0.005243850506011061
8,2012-10-15,0.05296553557991235
9,2012-10-16,0.023530497410194418
10,2012-10-17,0.02204209986865857
11,2012-10-18,-0.01432005377474832
12,2012-10-19,-0.03922071315328113
13,2012-10-22,0.027615167032973176
14,2012-10-23,-0.0176648361798053
15,2012-10-24,-0.014962872676712369
16,2012-10-25,0.014962872676712369
17,2012-10-26,-0.04040953833787686
18,2012-10-29,0.020408871631207415
19,2012-10-30,0.015037877364540542
20,2012-10-31,-0.024170360927813217
21,2012-11-01,0.04777027626868646
22,2012-11-05,-0.001945525905491241
23,2012-11-06,0.0659372503466722
24,2012-11-07,-0.015618140156965055
25,2012-11-08,0.009216655104923976
26,2012-11-09,-0.02226437049739971
27,2012-11-12,0.013047715392475734
28,2012-11-13,-0.0037105793965355183
29,2012-11-14,-0.0009298001599669092
30,2012-11-16,-0.004662013105811269
31,2012-11-19,0.062492035991230654
32,2012-11-21,-0.00793305174079606
33,2012-11-22,0.0026513493216202555
34,2012-11-23,0.04064545643170403
35,2012-11-26,-0.00424629088145112
36,2012-11-27,-0.008547060578458332
37,2012-11-28,0.03126574909535185
38,2012-11-29,0.058959342497373335
39,2012-11-30,-0.01980262729617932
40,2012-12-03,0.0430594894604468
41,2012-12-04,-0.004608303086194088
42,2012-12-05,-0.057022571959688406
43,2012-12-06,-0.031459548020129624
44,2012-12-07,0.04441519481992939
45,2012-12-10,0.0024106078366874506
46,2012-12-11,0.015133701814222356
47,2012-12-12,-0.0403280453869721
48,2012-12-13,-0.004123717183861952
49,2012-12-14,-0.05434274131610195
50,2012-12-17,0.0
51,2012-12-18,0.07236124681878042
52,2012-12-19,0.025642430613337375
53,2012-12-20,0.007880261425305957
54,2012-12-21,-0.006299233427986994
55,2012-12-26,0.01722830396017727
56,2012-12-27,-0.01407372721166178
57,2012-12-28,0.007843177461025697
58,2013-01-02,0.034552381506659735
59,2013-01-03,-0.0015105743053669407
60,2013-01-04,-0.05276631254907116
61,2013-01-07,-0.019308725381431024
62,2013-01-08,-0.0330335568291531
63,2013-01-09,-0.0008399832497252291
64,2013-01-10,0.011696039763191113
65,2013-01-11,0.0041442247460263815
66,2013-01-14,0.032549659510785034
67,2013-01-15,-0.013704366032112336
68,2013-01-16,-0.00978800636616306
69,2013-01-17,0.021087561620096285
70,2013-01-18,-0.012924250980935081
71,2013-01-21,-0.022195732391784517
72,2013-01-22,-0.06083245721155084
73,2013-01-23,-0.028675799976666028
74,2013-01-24,-0.039875472916224286
75,2013-01-28,-0.021033280170768442
76,2013-01-29,0.025752496102414923
77,2013-01-30,-0.03546131022937571
78,2013-01-31,0.008742163495865984
79,2013-02-01,-0.00484731923432502
80,2013-02-04,-0.034605529177475614
81,2013-02-05,0.009013581305361562
82,2013-02-06,0.02364642196662281
83,2013-02-07,-0.0009741841978434529
84,2013-02-08,0.009699397088713368
85,2013-02-13,0.0
86,2013-02-14,0.003853569315990235
87,2013-02-15,-0.025317807984289953
88,2013-02-18,-0.03410561248651067
89,2013-02-19,-0.0030659196218350004
90,2013-02-20,-0.031187558856704545
91,2013-02-21,-0.009549144179853641
92,2013-02-22,-0.015037877364540542
93,2013-02-25,0.06595796779179741
94,2013-02-26,0.011083236877982738
95,2013-02-27,-0.031554780858169984
96,2013-02-28,0.013354076211323562
97,2013-03-01,-0.011287959773851775
98,2013-03-04,0.016377029281323008
99,2013-03-05,-0.02155034656154342
100,2013-03-06,0.07009876045782892
101,2013-03-07,0.021999930801863243
102,2013-03-08,-0.023936039828729605
103,2013-03-11,0.009643276271804169
104,2013-03-12,0.02464579720682769
105,2013-03-13,-0.005633817718255774
106,2013-03-14,0.007504725654067457
107,2013-03-15,-0.053755743304823245
108,2013-03-18,0.03679020914652664
109,2013-03-19,-0.01339732957182127
110,2013-03-20,-0.00773698250215249
111,2013-03-21,0.0
112,2013-03-22,-0.008776263059015577
113,2013-03-25,-0.018784536519855788
114,2013-03-26,0.043930929225727056
115,2013-03-27,0.02732152985119285
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.04309463946308689
119,2013-04-03,0.019082814416440552
120,2013-04-04,-0.009041652916950138
121,2013-04-05,0.009041652916950138
122,2013-04-08,0.004490353301626282
123,2013-04-09,-0.0035906681307285027
124,2013-04-10,0.007168489478612372
125,2013-04-11,-0.020749504013909625
126,2013-04-12,0.0009111617942454409
127,2013-04-15,-0.0649028862354264
128,2013-04-16,0.020202707317519497
129,2013-04-17,-0.028987536873252395
130,2013-04-18,0.016529301951210496
131,2013-04-19,0.006727560213056982
132,2013-04-22,-0.01156082240107592
133,2013-04-23,0.01729149711006084
134,2013-04-24,-0.009569451016150587
135,2013-04-25,0.021874386206529817
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.02155034656154342
139,2013-05-02,-0.03617965657750233
140,2013-05-03,-0.009518845009206967
141,2013-05-06,-0.029112568131229644
142,2013-05-07,0.028049303809899673
143,2013-05-08,-0.017167803622365696
144,2013-05-09,-0.030771658666753687
145,2013-05-10,-0.02829843612242744
146,2013-05-13,-0.009227285769074722
147,2013-05-14,-0.022262196487471186
148,2013-05-15,-0.034964381355094165
149,2013-05-16,0.006116227017435971
150,2013-05-17,0.05803878500709336
151,2013-05-20,0.023878337460793375
