,Time,Returns_LREN3
0,2012-10-02,0.02757754999327222
1,2012-10-03,0.0011116521443939043
2,2012-10-04,-0.004607984560788481
3,2012-10-05,0.027746558372352847
4,2012-10-08,0.012174399895321653
5,2012-10-09,0.003219663387730609
6,2012-10-10,0.018596829833965156
7,2012-10-11,0.005376958488773731
8,2012-10-15,0.014165676634090296
9,2012-10-16,-0.0006460154913430216
10,2012-10-17,-0.01233988127941199
11,2012-10-18,-0.00026604828573750794
12,2012-10-19,-0.022876802767059168
13,2012-10-22,-0.004424492318403139
14,2012-10-23,-0.007008516745408144
15,2012-10-24,-0.010203406844306429
16,2012-10-25,-0.015846702894763975
17,2012-10-26,0.0
18,2012-10-29,0.00843585159906901
19,2012-10-30,0.002617426281175117
20,2012-10-31,0.0324305338213402
21,2012-11-01,0.023656185580729794
22,2012-11-05,-0.005859993415116005
23,2012-11-06,0.011039414170739725
24,2012-11-07,-0.0034951256915247697
25,2012-11-08,-0.0016842950640989507
26,2012-11-09,0.0
27,2012-11-12,-0.0027323007649768805
28,2012-11-13,-0.010338465013767895
29,2012-11-14,-0.012584095338567192
30,2012-11-16,-0.001995335100604567
31,2012-11-19,0.0013355545636546395
32,2012-11-21,0.0
33,2012-11-22,-0.00013200836072124744
34,2012-11-23,0.00810081821962605
35,2012-11-26,-0.007968809858904802
36,2012-11-27,0.023711255784147234
37,2012-11-28,-0.007187243450307523
38,2012-11-29,0.04362598832922693
39,2012-11-30,-0.01901008419994188
40,2012-12-03,0.005866312987119038
41,2012-12-04,-0.007789465012177477
42,2012-12-05,-0.005011904018523694
43,2012-12-06,0.02317923105512154
44,2012-12-07,0.004146000217426948
45,2012-12-10,-0.008942205771039102
46,2012-12-11,0.006933542305977536
47,2012-12-12,0.0012567500169491375
48,2012-12-13,-0.02053245486643407
49,2012-12-14,0.012091656310854848
50,2012-12-17,0.004042177441978545
51,2012-12-18,0.007031289760292658
52,2012-12-19,-0.0009984954537265445
53,2012-12-20,-0.0033885353729772305
54,2012-12-21,-0.015325436655983626
55,2012-12-26,0.014564717393848792
56,2012-12-27,-0.0063085561830065195
57,2012-12-28,0.009451420846706693
58,2013-01-02,0.007495972795909633
59,2013-01-03,0.0018669544326175291
60,2013-01-04,-0.0012442489282395996
61,2013-01-07,-0.01718726007742033
62,2013-01-08,-0.005331150238155669
63,2013-01-09,0.020525757134428613
64,2013-01-10,-0.0019966317771289432
65,2013-01-11,-0.003377951607152596
66,2013-01-14,0.0012534436902797985
67,2013-01-15,-0.037746416577995046
68,2013-01-16,0.013552334125390697
69,2013-01-17,0.008936246109683132
70,2013-01-18,-0.002035741597307794
71,2013-01-21,0.007736105465018905
72,2013-01-22,-0.00952341603911444
73,2013-01-23,0.01732424813590372
74,2013-01-24,-0.018981237709489562
75,2013-01-28,0.013075640671873057
76,2013-01-29,0.011906749282916351
77,2013-01-30,0.003728246264290469
78,2013-01-31,-0.010481218604803999
79,2013-02-01,-0.01580804944674563
80,2013-02-04,-0.006900532785950819
81,2013-02-05,-0.002572603209777924
82,2013-02-06,0.0023114043053285016
83,2013-02-07,0.00996878546405311
84,2013-02-08,-0.002295456984853672
85,2013-02-13,0.001274349344131398
86,2013-02-14,-0.001400472187948143
87,2013-02-15,-0.04388242501216544
88,2013-02-18,-0.006950339861555577
89,2013-02-19,0.010538803634457583
90,2013-02-20,-0.010538803634457583
91,2013-02-21,-0.015259305509945253
92,2013-02-22,0.011233103939968903
93,2013-02-25,-0.0013481483523372084
94,2013-02-26,0.020012042113326967
95,2013-02-27,-0.0052960476369841025
96,2013-02-28,0.0007958325083174955
97,2013-03-01,0.008459352771618356
98,2013-03-04,-0.01324387587551712
99,2013-03-05,-0.010053002516612786
100,2013-03-06,0.023296878392129905
101,2013-03-07,-0.022623031403941507
102,2013-03-08,0.013367846124005656
103,2013-03-11,-0.008000717345213015
104,2013-03-12,-0.015515345833382987
105,2013-03-13,-0.0006807224897533715
106,2013-03-14,-0.007918363951251006
107,2013-03-15,-0.0143655636565021
108,2013-03-18,0.0005584135082283836
109,2013-03-19,0.0118819601489899
110,2013-03-20,-0.02124782080544474
111,2013-03-21,-0.0049215820514585396
112,2013-03-22,0.015258186702663323
113,2013-03-25,0.0049840826246265735
114,2013-03-26,0.03531122823432131
115,2013-03-27,0.011803291348422729
116,2013-03-28,0.0
117,2013-04-01,-0.013272011549580576
118,2013-04-02,-0.021204622323795164
119,2013-04-03,0.0017774582533460759
120,2013-04-04,-0.02371766557866284
121,2013-04-05,0.02303555520774969
122,2013-04-08,0.015557249846275045
123,2013-04-09,-0.015422289996625427
124,2013-04-10,0.006657849031581176
125,2013-04-11,-0.014319337667923815
126,2013-04-12,-0.018721497866045045
127,2013-04-15,-0.014522730964939168
128,2013-04-16,0.023297977628616184
129,2013-04-17,-0.0024982727552971262
130,2013-04-18,-0.006138424977294221
131,2013-04-19,0.0
132,2013-04-22,0.003633895220277683
133,2013-04-23,0.022333105119418217
134,2013-04-24,0.019045789517901035
135,2013-04-25,-0.010086828554166427
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.02672666021849679
139,2013-05-02,-0.011823516537184275
140,2013-05-03,-0.021896567310846216
141,2013-05-06,0.0069934236295337016
142,2013-05-07,0.0056184054487471435
143,2013-05-08,0.007306555769297507
144,2013-05-09,0.016404700014849727
145,2013-05-10,-0.0027322519336951956
146,2013-05-13,-0.01606311977370911
147,2013-05-14,0.007010020125419736
148,2013-05-15,0.024084439001717417
149,2013-05-16,-0.005803286834273891
150,2013-05-17,0.008882776773378787
