,Time,Returns_HYPE3
0,2012-10-02,0.021761491781512543
1,2012-10-03,0.003906254967065426
2,2012-10-04,0.00776702933765927
3,2012-10-05,0.005144705881237943
4,2012-10-08,0.02157444085227178
5,2012-10-09,0.011856675191262767
6,2012-10-10,0.0012398017707124787
7,2012-10-11,0.006176733849599714
8,2012-10-15,0.026733062197068502
9,2012-10-16,0.0077634910015222935
10,2012-10-17,0.008294004891384876
11,2012-10-18,0.007054643982841391
12,2012-10-19,-0.012971880007978331
13,2012-10-22,0.0059172360251369405
14,2012-10-23,-0.0059172360251369405
15,2012-10-24,-0.027069321968217874
16,2012-10-25,-0.022819305825661385
17,2012-10-26,-0.02655029447715096
18,2012-10-29,0.019036107822354875
19,2012-10-30,0.011871429640721853
20,2012-10-31,0.0031007776782483454
21,2012-11-01,0.007402871562280922
22,2012-11-05,0.0018421252320748316
23,2012-11-06,0.010375437010071487
24,2012-11-07,-0.023964219722272695
25,2012-11-08,-0.027105346764658034
26,2012-11-09,-0.021311752673716988
27,2012-11-12,-0.004579661259024537
28,2012-11-13,0.003273325344969269
29,2012-11-14,-0.04341249293531346
30,2012-11-16,0.014905425008987283
31,2012-11-19,0.03307179707844066
32,2012-11-21,0.003247810584678934
33,2012-11-22,-0.0038986404156573506
34,2012-11-23,0.012293910905717187
35,2012-11-26,-0.005157974040268076
36,2012-11-27,-0.02420792076409617
37,2012-11-28,0.035776173165283254
38,2012-11-29,0.011435956906758804
39,2012-11-30,-0.02753936447333727
40,2012-12-03,-0.006514681021193791
41,2012-12-04,-0.01183445764700286
42,2012-12-05,0.01183445764700286
43,2012-12-06,0.027716888671796447
44,2012-12-07,-0.007017572658646554
45,2012-12-10,-0.0051347994720383205
46,2012-12-11,0.006414390177663876
47,2012-12-12,-0.001279590705625555
48,2012-12-13,0.05601962368129243
49,2012-12-14,-0.019560464126100463
50,2012-12-17,-0.0061920319763144605
51,2012-12-18,0.01907163311158211
52,2012-12-19,-0.003663007758736736
53,2012-12-20,0.008526239228245025
54,2012-12-21,-0.014661227795761178
55,2012-12-26,0.0006151953439181845
56,2012-12-27,0.018885727318807
57,2012-12-28,0.0030130181573007064
58,2013-01-02,0.001202525701134327
59,2013-01-03,0.0006008411295459481
60,2013-01-04,-0.013301284377275735
61,2013-01-07,0.0
62,2013-01-08,-0.008557448047870952
63,2013-01-09,0.0042879082979876415
64,2013-01-10,-0.0006114949560309668
65,2013-01-11,-0.011070223754246822
66,2013-01-14,0.0030873134459681317
67,2013-01-15,0.010426344707939794
68,2013-01-16,-0.002443434399661104
69,2013-01-17,-0.006134988567516153
70,2013-01-18,-0.004935235186730669
71,2013-01-21,0.001853630377715909
72,2013-01-22,0.0
73,2013-01-23,0.0363675229186704
74,2013-01-24,-0.019231302404076445
75,2013-01-28,0.003029447847673339
76,2013-01-29,-0.004851434327346471
77,2013-01-30,-0.00426452062679239
78,2013-01-31,0.04884842458408034
79,2013-02-01,0.006374869459100374
80,2013-02-04,0.01091656951142772
81,2013-02-05,0.0326054740345616
82,2013-02-06,0.0005529444431737751
83,2013-02-07,-0.01335579118155561
84,2013-02-08,-0.005054770661624186
85,2013-02-13,0.00841047850859633
86,2013-02-14,-0.0011173744491435045
87,2013-02-15,-0.008419864742043703
88,2013-02-18,-0.03033142476373918
89,2013-02-19,-0.012277208061477918
90,2013-02-20,-0.010050335853501569
91,2013-02-21,-0.015569176764242965
92,2013-02-22,0.007814947864475563
93,2013-02-25,0.013087574875130237
94,2013-02-26,0.015831523390035684
95,2013-02-27,0.009264628824755317
96,2013-02-28,0.00803678263764196
97,2013-03-01,0.0005715918989581681
98,2013-03-04,0.0022831630271094028
99,2013-03-05,-0.013777600256314582
100,2013-03-06,0.017192458343842976
101,2013-03-07,0.028013036227673815
102,2013-03-08,-0.0022124456539280857
103,2013-03-11,-0.0027723334299873947
104,2013-03-12,-0.0122906012987678
105,2013-03-13,-0.0170072688585865
106,2013-03-14,-0.014397023794963548
107,2013-03-15,-0.012255711841045347
108,2013-03-18,-0.013002665462378715
109,2013-03-19,-0.005966605169226646
110,2013-03-20,0.00952967307180197
111,2013-03-21,-0.017339806127549373
112,2013-03-22,0.0024096998886236065
113,2013-03-25,-0.031166590333644884
114,2013-03-26,0.029962436100370304
115,2013-03-27,-0.006042314455962927
116,2013-03-28,-0.03767040035791025
117,2013-04-01,-0.010756193547563964
118,2013-04-02,-0.018620120625991277
119,2013-04-03,-0.0019461569554857228
120,2013-04-04,-0.006514681021193791
121,2013-04-05,0.016207810226853248
122,2013-04-08,0.0184777477610365
123,2013-04-09,0.0
124,2013-04-10,0.03230100591301399
125,2013-04-11,-0.022250670059512423
126,2013-04-12,-0.001250781901652509
127,2013-04-15,-0.040222466304922655
128,2013-04-16,0.01999421652945088
129,2013-04-17,-0.03575291427800886
130,2013-04-18,0.022252227059106566
131,2013-04-19,0.04431104632491101
132,2013-04-22,-0.02191010963574458
133,2013-04-23,0.016944239716500054
134,2013-04-24,-0.012523645211103496
135,2013-04-25,0.0012594460103070304
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.01377604754411843
139,2013-05-02,-0.041262597375750776
140,2013-05-03,0.024328984846311297
141,2013-05-06,0.04574339017872875
142,2013-05-07,0.010219506447831872
143,2013-05-08,0.013662344975566398
144,2013-05-09,0.003533513584262682
145,2013-05-10,-0.010044397593589771
146,2013-05-13,0.003556613114847007
147,2013-05-14,-0.002369610043338799
148,2013-05-15,0.0065030084329249505
149,2013-05-16,0.011134073741202677
150,2013-05-17,0.003490346867757399
