,Time,Returns_VIVT4
0,2012-10-02,-0.0024745272348378755
1,2012-10-03,-0.01680998723785354
2,2012-10-04,0.023769565126203762
3,2012-10-05,0.01883805173864861
4,2012-10-08,0.0010972320773441346
5,2012-10-09,-0.009919114758292213
6,2012-10-10,-0.0022176963035409614
7,2012-10-11,0.005535012001248063
8,2012-10-15,-0.013333484755407632
9,2012-10-16,0.01685899994194573
10,2012-10-17,-0.0013200236086152728
11,2012-10-18,-0.007296045829008335
12,2012-10-19,-0.012727981157834467
13,2012-10-22,-0.0026988615636325264
14,2012-10-23,-0.007464358369433377
15,2012-10-24,-0.011643970443696361
16,2012-10-25,0.008005401921221011
17,2012-10-26,-0.0004562913931644985
18,2012-10-29,0.007494872046076129
19,2012-10-30,0.013483297627160606
20,2012-10-31,0.004455078568580628
21,2012-11-01,0.010390169555944961
22,2012-11-05,-0.015069938076905043
23,2012-11-06,0.030996979524137824
24,2012-11-07,0.008406201301463856
25,2012-11-08,0.003427973914149174
26,2012-11-09,0.007246326559156024
27,2012-11-12,0.014756005968154629
28,2012-11-13,0.004174848471573789
29,2012-11-14,0.00020962249016331924
30,2012-11-16,-0.01300124522524504
31,2012-11-19,0.01300124522524504
32,2012-11-21,-0.004176033607054652
33,2012-11-22,0.0029237637600276756
34,2012-11-23,-0.0006256515287517139
35,2012-11-26,-0.03202492869060469
36,2012-11-27,-0.0021578875870504888
37,2012-11-28,0.010743105914400086
38,2012-11-29,0.007663278729770795
39,2012-11-30,-0.016248497057120392
40,2012-12-03,-0.017390173565061673
41,2012-12-04,-0.00881214263124619
42,2012-12-05,0.007714910553902055
43,2012-12-06,-0.001098551331247588
44,2012-12-07,0.0002189268443788528
45,2012-12-10,0.0013168358360551302
46,2012-12-11,0.0006600207281577397
47,2012-12-12,0.0010938021627171501
48,2012-12-13,0.015218043245288193
49,2012-12-14,0.009663546484405927
50,2012-12-17,0.0
51,2012-12-18,0.010626657954510677
52,2012-12-19,0.01469097378452311
53,2012-12-20,0.008298095772170111
54,2012-12-21,0.008846151928741719
55,2012-12-26,0.009172809096590573
56,2012-12-27,-0.013894568287444287
57,2012-12-28,0.008196069076347179
58,2013-01-02,0.012574102768552642
59,2013-01-03,0.010025746419003223
60,2013-01-04,0.0015948152029960916
61,2013-01-07,0.0
62,2013-01-08,0.003976779565422639
63,2013-01-09,-0.007969540822720056
64,2013-01-10,0.003593732419921558
65,2013-01-11,0.011886020997806224
66,2013-01-14,0.014857350527377466
67,2013-01-15,0.0011628586473104718
68,2013-01-16,0.016147466617400408
69,2013-01-17,0.002095062510537815
70,2013-01-18,-0.015339279967401254
71,2013-01-21,-0.024847791873016334
72,2013-01-22,-0.0055626586226389385
73,2013-01-23,0.008726973536724802
74,2013-01-24,-0.0023732930181439293
75,2013-01-28,-0.011947559400780516
76,2013-01-29,0.0020015827573360845
77,2013-01-30,-0.000199185580153749
78,2013-01-31,0.005583813012276728
79,2013-02-01,0.0075265745454244914
80,2013-02-04,0.0011828145162011694
81,2013-02-05,0.00039462182439509164
82,2013-02-06,-0.00296054464187101
83,2013-02-07,-0.003959017985986524
84,2013-02-08,0.0015858790572162995
85,2013-02-13,0.0
86,2013-02-14,-0.013562020499826133
87,2013-02-15,-0.030376026394950184
88,2013-02-18,-0.003526150292645358
89,2013-02-19,0.014640434481037357
90,2013-02-20,-0.014017771480446584
91,2013-02-21,0.0026951241990342822
92,2013-02-22,0.0035145553784130534
93,2013-02-25,0.0320761672557488
94,2013-02-26,0.024668322161676137
95,2013-02-27,0.024455394114111684
96,2013-02-28,-0.00821219508694293
97,2013-03-01,0.003063644322998993
98,2013-03-04,0.0038154449801162116
99,2013-03-05,-0.00879918755089193
100,2013-03-06,0.01827959396091927
101,2013-03-07,0.0056434185172689055
102,2013-03-08,0.006731876454376451
103,2013-03-11,0.008534691407288353
104,2013-03-12,-0.007790606910151432
105,2013-03-13,-0.009354233570955106
106,2013-03-14,-0.011342239527388998
107,2013-03-15,0.0015196011458478154
108,2013-03-18,-0.005902141556962892
109,2013-03-19,0.00533278093004208
110,2013-03-20,-0.0062882039884839536
111,2013-03-21,0.0015297675999996763
112,2013-03-22,0.0113852894991191
113,2013-03-25,-0.0020791947972860214
114,2013-03-26,0.00959730635125755
115,2013-03-27,0.00018652244002437257
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.008673460402967681
119,2013-04-03,-0.002084658296724662
120,2013-04-04,-0.005707873243950168
121,2013-04-05,-0.02708148955287948
122,2013-04-08,0.014791650074337248
123,2013-04-09,0.0007734509304428983
124,2013-04-10,0.008075177734684136
125,2013-04-11,-0.002110284435124843
126,2013-04-12,0.011259368492490207
127,2013-04-15,-0.023422457073387637
128,2013-04-16,0.01254734144825509
129,2013-04-17,-0.001151049882731403
130,2013-04-18,0.000575680598830175
131,2013-04-19,-0.004424670911818307
132,2013-04-22,0.021552572076021015
133,2013-04-23,0.00938935487056014
134,2013-04-24,-0.003745936353291235
135,2013-04-25,0.007663373354850567
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.012113424958774655
139,2013-05-02,-0.0016938708855720463
140,2013-05-03,0.019410996861546792
141,2013-05-06,0.0009239242652188118
142,2013-05-07,-0.032851053985090584
143,2013-05-08,0.0113852894991191
144,2013-05-09,-0.003970018199806802
145,2013-05-10,0.007547905336461991
146,2013-05-13,0.00018725876117198226
147,2013-05-14,0.003377931033336168
148,2013-05-15,0.014322687554808144
149,2013-05-16,-0.008346385017189206
150,2013-05-17,0.0018608202843908295
151,2013-05-20,0.0011159457793428196
