,Time,Returns_BRAP4
0,2012-10-02,-0.004249262842968005
1,2012-10-03,-0.009627458922303322
2,2012-10-04,0.008562307037468297
3,2012-10-05,-0.0035587582676184226
4,2012-10-08,0.030890522669962728
5,2012-10-09,0.002416710998430549
6,2012-10-10,-0.006920477566796812
7,2012-10-11,0.009675300245641338
8,2012-10-15,-0.0010322037908068182
9,2012-10-16,0.009251428143938867
10,2012-10-17,0.025590622063188295
11,2012-10-18,-0.004665086690023745
12,2012-10-19,-0.024684330226817153
13,2012-10-22,0.0030763997285299105
14,2012-10-23,-0.03366616805090272
15,2012-10-24,-0.01064591298966766
16,2012-10-25,0.05753492160428442
17,2012-10-26,-0.0070982551359062285
18,2012-10-29,0.004062294008878808
19,2012-10-30,0.009749581509825855
20,2012-10-31,-0.018572170125005005
21,2012-11-01,0.022245608947319973
22,2012-11-05,-0.0033389012655149486
23,2012-11-06,0.007330955735583178
24,2012-11-07,-0.012024226167332674
25,2012-11-08,-0.029323614846504586
26,2012-11-09,-0.0013850071226273464
27,2012-11-12,-0.0020812355760817525
28,2012-11-13,0.0020812355760817525
29,2012-11-14,-0.017476851070902022
30,2012-11-16,-0.019943752199489406
31,2012-11-19,0.015349257540030248
32,2012-11-21,-0.002837887679698614
33,2012-11-22,-0.007845974628613916
34,2012-11-23,0.025102927219157856
35,2012-11-26,-0.00911967068042907
36,2012-11-27,-0.009203533991473112
37,2012-11-28,-0.007496054956110054
38,2012-11-29,0.03485654757015544
39,2012-11-30,-0.01393750784378156
40,2012-12-03,-0.0077492108855543584
41,2012-12-04,-0.013528187561730576
42,2012-12-05,0.01600034134644135
43,2012-12-06,0.011572985557658289
44,2012-12-07,0.016254897065081764
45,2012-12-10,0.026406409068106207
46,2012-12-11,0.02800383903475412
47,2012-12-12,0.00712204358578461
48,2012-12-13,0.006430922381571946
49,2012-12-14,0.024379804925707127
50,2012-12-17,0.0003127756133829429
51,2012-12-18,0.022264401078438745
52,2012-12-19,-0.0061350191485551875
53,2012-12-20,0.0036854772011363224
54,2012-12-21,-0.019189663737101625
55,2012-12-26,0.0021851109053367956
56,2012-12-27,0.0012465255393050434
57,2012-12-28,0.022175253189021582
58,2013-01-02,0.04175966010870402
59,2013-01-03,-0.01057281523706699
60,2013-01-04,-0.019678632027784637
61,2013-01-07,-0.037115102477515816
62,2013-01-08,0.0
63,2013-01-09,-0.001563690677278462
64,2013-01-10,0.001563690677278462
65,2013-01-11,-0.017336887856775007
66,2013-01-14,0.006655039509914751
67,2013-01-15,-0.008246161538658647
68,2013-01-16,-0.00638976604748942
69,2013-01-17,0.007026505960757046
70,2013-01-18,-0.0063857497709394195
71,2013-01-21,-0.002886930726373471
72,2013-01-22,0.0
73,2013-01-23,0.0009632686723852757
74,2013-01-24,-0.020753014586291307
75,2013-01-28,-0.03568826236280387
76,2013-01-29,0.010471265911438543
77,2013-01-30,-0.005390848634876377
78,2013-01-31,0.04265811322753876
79,2013-02-01,0.013185591039671873
80,2013-02-04,-0.006410246412036802
81,2013-02-05,-0.01522793098823616
82,2013-02-06,0.00748099114246914
83,2013-02-07,-0.016993905419035116
84,2013-02-08,0.005587524808191802
85,2013-02-13,-0.006576840651278726
86,2013-02-14,-0.011280810115428253
87,2013-02-15,-0.012422486631856522
88,2013-02-18,-0.013263279165216524
89,2013-02-19,-0.003085824495653977
90,2013-02-20,-0.03886366839712707
91,2013-02-21,-0.0075256045466494115
92,2013-02-22,-0.025502256839712523
93,2013-02-25,0.011009285508369437
94,2013-02-26,0.011971846233662209
95,2013-02-27,0.010403681281174304
96,2013-02-28,0.03609990796565077
97,2013-03-01,-0.0226293037073515
98,2013-03-04,-0.039502479606283725
99,2013-03-05,-0.01142023853096319
100,2013-03-06,0.046334744675585515
101,2013-03-07,0.011605546120307952
102,2013-03-08,-0.020131316973049262
103,2013-03-11,0.003916615296882142
104,2013-03-12,-0.011436829654342784
105,2013-03-13,-0.043341378360646665
106,2013-03-14,0.010084156604164285
107,2013-03-15,-0.0018597364136416772
108,2013-03-18,-0.002609507441295289
109,2013-03-19,-0.032628121333304616
110,2013-03-20,0.012265389487059686
111,2013-03-21,0.0034227072775023792
112,2013-03-22,0.00037957867223648023
113,2013-03-25,-0.017997843994548735
114,2013-03-26,0.011907265709309556
115,2013-03-27,0.00987849940935881
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.015705073482946474
119,2013-04-03,0.05091728385482597
120,2013-04-04,-0.03248900308694802
121,2013-04-05,0.010050335853501569
122,2013-04-08,-0.0019248898739396836
123,2013-04-09,0.05437136524648212
124,2013-04-10,-0.040213906936908295
125,2013-04-11,-0.030474836034120045
126,2013-04-12,0.018242267598485906
127,2013-04-15,-0.06474362935030964
128,2013-04-16,0.019504843871465116
129,2013-04-17,-0.0064594086833227315
130,2013-04-18,-0.000810413318049541
131,2013-04-19,0.00040526849592170677
132,2013-04-22,0.010880663240500077
133,2013-04-23,0.021412356110336983
134,2013-04-24,0.027091478314108297
135,2013-04-25,-0.009206048554589952
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.0
139,2013-05-02,-0.03231875199328993
140,2013-05-03,0.005661115112156612
141,2013-05-06,0.00803221201984572
142,2013-05-07,0.022543964434894814
143,2013-05-08,-0.010615433095313431
144,2013-05-09,0.005125223226246423
145,2013-05-10,-0.007499541761016193
146,2013-05-13,-0.026903851139924218
147,2013-05-14,-0.021391231561360247
148,2013-05-15,-0.027398932608071913
149,2013-05-16,-0.0281708769666964
150,2013-05-17,0.01179825789677702
