,Time,Returns_CCR03
0,2012-10-02,-0.015198773158429546
1,2012-10-03,0.002832117521217814
2,2012-10-04,0.008448374665551484
3,2012-10-05,0.022734552771136673
4,2012-10-08,-0.016026814001592893
5,2012-10-09,0.010529218915604766
6,2012-10-10,-0.007747631664032806
7,2012-10-11,-0.013986241974739855
8,2012-10-15,-0.0045172295898194825
9,2012-10-16,0.006768271557491712
10,2012-10-17,-0.005071861812139922
11,2012-10-18,0.014025474567635587
12,2012-10-19,-0.004466785513548288
13,2012-10-22,0.012235914276159665
14,2012-10-23,-0.01055858656049491
15,2012-10-24,0.002789457797883532
16,2012-10-25,0.007769128762611377
17,2012-10-26,-0.004432140219339242
18,2012-10-29,0.010494489839938392
19,2012-10-30,0.008207925472776267
20,2012-10-31,-0.02706594306118637
21,2012-11-01,0.0016782101840839836
22,2012-11-05,0.011670096648303208
23,2012-11-06,0.0
24,2012-11-07,0.01371763622879918
25,2012-11-08,0.0
26,2012-11-09,0.011917800864035044
27,2012-11-12,-0.011917800864035044
28,2012-11-13,0.008141157583699599
29,2012-11-14,0.005390848634876821
30,2012-11-16,0.005361996617319509
31,2012-11-19,0.011167305333890987
32,2012-11-21,0.0052742738299715874
33,2012-11-22,-0.0153727388696967
34,2012-11-23,0.006389851517575984
35,2012-11-26,-0.012820688429061367
36,2012-11-27,-0.02449102000829617
37,2012-11-28,0.02449102000829617
38,2012-11-29,-0.021190741894522525
39,2012-11-30,0.008203600833940783
40,2012-12-03,0.004889985028502686
41,2012-12-04,0.0010833153822185082
42,2012-12-05,-0.008700435997841982
43,2012-12-06,0.010323428012825708
44,2012-12-07,0.004315001301413268
45,2012-12-10,0.01336560928336894
46,2012-12-11,0.004239540001305109
47,2012-12-12,-0.016529301951210496
48,2012-12-13,-0.004310351501122689
49,2012-12-14,0.008066728335598405
50,2012-12-17,-0.0064482224085447015
51,2012-12-18,0.008053842191388494
52,2012-12-19,0.0026701750799444923
53,2012-12-20,0.010610231882462795
54,2012-12-21,-0.008479117653712454
55,2012-12-26,-0.0005323396169183425
56,2012-12-27,0.014799318731905764
57,2012-12-28,0.0202552757181782
58,2013-01-02,-0.020780072399065652
59,2013-01-03,0.0176903686023131
60,2013-01-04,0.01738290235294082
61,2013-01-07,-0.001014249605563844
62,2013-01-08,-0.0005073839235971711
63,2013-01-09,0.001521633529161015
64,2013-01-10,0.00202531714800136
65,2013-01-11,0.0005057395681569155
66,2013-01-14,0.003028725106044572
67,2013-01-15,0.0005039052764725938
68,2013-01-16,0.019456837286065287
69,2013-01-17,-0.0064435909082010134
70,2013-01-18,-0.005985104998754931
71,2013-01-21,0.005487666552721482
72,2013-01-22,0.0
73,2013-01-23,0.04427869979187893
74,2013-01-24,-0.03585655439300073
75,2013-01-28,-0.0004934616433711625
76,2013-01-29,0.011776387323825244
77,2013-01-30,0.0
78,2013-01-31,0.002436006136079527
79,2013-02-01,0.012092046349906127
80,2013-02-04,0.023754087136673263
81,2013-02-05,-0.014184588043598456
82,2013-02-06,0.032789868905938935
83,2013-02-07,-0.002306852180863128
84,2013-02-08,-0.013017338322871552
85,2013-02-13,0.0037365758684444472
86,2013-02-14,0.0
87,2013-02-15,-0.05215245119583756
88,2013-02-18,-0.010367952405542447
89,2013-02-19,0.002478365519416492
90,2013-02-20,0.007398257976495959
91,2013-02-21,-0.022361180158157357
92,2013-02-22,0.0
93,2013-02-25,0.0
94,2013-02-26,0.005012541823544048
95,2013-02-27,-0.001000500333583343
96,2013-02-28,-0.0065277660872080645
97,2013-03-01,0.004523807550942838
98,2013-03-04,-0.002008082953695478
99,2013-03-05,-0.006554094547921441
100,2013-03-06,-0.006597385172703696
101,2013-03-07,-0.006128671024875132
102,2013-03-08,0.010193717479602071
103,2013-03-11,0.0
104,2013-03-12,-0.0055936072619044985
105,2013-03-13,-0.0005101249661723095
106,2013-03-14,0.001019938869143644
107,2013-03-15,-0.01540867632124332
108,2013-03-18,-0.0005177841305896713
109,2013-03-19,0.014906521582689347
110,2013-03-20,0.0
111,2013-03-21,-0.007682444758136064
112,2013-03-22,-0.015022348935621377
113,2013-03-25,0.02779391396264863
114,2013-03-26,0.007081415351363862
115,2013-03-27,0.011027630826612622
116,2013-03-28,0.0
117,2013-04-01,0.014844508114894683
118,2013-04-02,-0.002951404011577452
119,2013-04-03,0.028649690912022407
120,2013-04-04,-0.01884564155431656
121,2013-04-05,-0.011282925680454081
122,2013-04-08,0.01808893169984005
123,2013-04-09,-0.015133264523493395
124,2013-04-10,0.005885303748309756
125,2013-04-11,-0.010322086969300148
126,2013-04-12,-0.022989467668582453
127,2013-04-15,-0.020429821887650856
128,2013-04-16,0.015869388575203036
129,2013-04-17,-0.00969647786853356
130,2013-04-18,0.0015373305221624278
131,2013-04-19,-0.0015373305221624278
132,2013-04-22,0.0035833158382838626
133,2013-04-23,0.026722033657045507
134,2013-04-24,-0.004487666469388252
135,2013-04-25,-0.011560771844959739
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.01892150496020628
139,2013-05-02,0.0015186031771898811
140,2013-05-03,-0.00507100478155742
141,2013-05-06,0.006082177744076045
142,2013-05-07,0.03280612124352089
143,2013-05-08,-0.009828137836016548
144,2013-05-09,0.007380107297622285
145,2013-05-10,-0.0029455102297566427
146,2013-05-13,-0.010874995687087274
147,2013-05-14,0.0004967950412733124
148,2013-05-15,0.01821369616976254
149,2013-05-16,-0.01325823496470857
150,2013-05-17,0.011305060467969863
151,2013-05-20,-0.0029368107974532265
152,2013-05-21,0.0024480305383942635
