,Time,Returns_BBSE3
0,2013-04-30,0.02674744971599985
1,2013-05-02,0.026050735850970952
2,2013-05-03,0.014184634991956102
3,2013-05-06,0.010089771695616978
4,2013-05-07,-0.0022334459935646755
5,2013-05-08,-0.022040960694008405
6,2013-05-09,0.014184634991956102
7,2013-05-10,0.008973700151195807
8,2013-05-13,-0.004476784197571693
9,2013-05-14,0.00948932602111574
10,2013-05-15,0.02197890671877545
11,2013-05-16,0.02150615202947259
12,2013-05-17,0.0021254525038045813
13,2013-05-20,-0.014973595669474538
14,2013-05-21,-0.0032379413944636504
15,2013-05-22,-0.01360565205577835
16,2013-05-23,-0.022721952876637364
17,2013-05-24,0.011148442914985512
18,2013-05-27,0.0
19,2013-05-28,0.017038004433730602
20,2013-05-29,-0.014270275093375417
21,2013-05-31,0.02078844066209129
22,2013-06-03,-0.01472609104149214
23,2013-06-04,-0.022223247909540333
24,2013-06-05,-0.0028128851968380886
25,2013-06-06,0.0028128851968380886
26,2013-06-07,0.005602311728446274
27,2013-06-10,0.002789457797883532
28,2013-06-11,-0.02767767750690675
29,2013-06-12,-0.012100349660316922
30,2013-06-13,0.03698856936934014
31,2013-06-14,0.013318676713488298
32,2013-06-17,-0.0022074512884171504
33,2013-06-18,-0.006651909228305719
34,2013-06-19,-0.03164105761911751
35,2013-06-20,-0.012128419306662863
36,2013-06-21,0.013275923702587455
37,2013-06-24,-0.02849858299677388
38,2013-06-25,-0.014859113520560463
39,2013-06-26,0.007754228899767401
40,2013-06-27,0.02696534932938288
41,2013-06-28,0.01777054451200888
42,2013-07-01,-0.005698021114637797
43,2013-07-02,-0.017873003361355444
44,2013-07-03,0.003484265909255768
45,2013-07-04,0.027445976608747813
46,2013-07-05,-0.00735921804201034
47,2013-07-08,0.016901810802602668
48,2013-07-10,-0.008415196925284363
49,2013-07-11,0.008415196925284363
50,2013-07-12,-0.010106824103184309
51,2013-07-15,-0.006226909449494222
52,2013-07-16,-0.011422225513932904
53,2013-07-17,0.031102253414667214
54,2013-07-18,0.0049986221824616095
55,2013-07-19,-0.005555458732633856
56,2013-07-22,0.0027815872515719597
57,2013-07-23,0.0
58,2013-07-24,0.002773871481061896
59,2013-07-25,0.0033186977362058556
60,2013-07-26,
61,2013-07-29,
62,2013-07-30,0.013136423527989827
63,2013-07-31,0.0027152881195320333
64,2013-08-01,0.012395685195250028
65,2013-08-02,0.01699456727056292
66,2013-08-05,0.021360541245087905
67,2013-08-06,0.0
68,2013-08-07,0.010256500167189486
69,2013-08-08,0.015190165493975005
70,2013-08-09,0.002008082953695478
71,2013-08-12,-0.02180066004912229
72,2013-08-13,0.007658960084000466
73,2013-08-14,-0.013313048649738146
74,2013-08-15,0.0
75,2013-08-16,-0.004650021415499861
76,2013-08-19,-0.055910169486959926
77,2013-08-20,-0.003291226139019443
78,2013-08-21,0.01472609104149214
79,2013-08-22,0.01344467756134593
80,2013-08-23,0.0310306270231413
81,2013-08-26,-0.016710519829588044
82,2013-08-27,-0.0015810807399359028
83,2013-08-28,-0.004758031709630295
84,2013-08-29,0.00686556679181205
85,2013-08-30,0.01255246607112026
86,2013-09-02,-0.002081114120492611
87,2013-09-03,-0.0005209689869865031
88,2013-09-04,-0.0005212926747892865
89,2013-09-05,0.019107165825186012
90,2013-09-06,0.017744496449968672
91,2013-09-09,0.02775197991717704
92,2013-09-10,0.012144915474015416
93,2013-09-11,0.007216870389624486
94,2013-09-12,0.0071650173456454525
95,2013-09-13,-0.0033372616590274795
96,2013-09-16,-0.002869538076165412
97,2013-09-17,0.014265625051544273
98,2013-09-18,0.03342929664919447
99,2013-09-19,-0.006872879287762146
100,2013-09-20,-0.01156082240107592
101,2013-09-23,-0.0051294587901220545
102,2013-09-24,0.0037330889705748938
103,2013-09-25,0.017544356227529256
104,2013-09-26,0.002285715280855971
105,2013-09-27,0.011802225056627869
106,2013-09-30,-0.01592032751607375
107,2013-10-01,0.029367370423689643
108,2013-10-02,-0.01615829626299181
109,2013-10-03,-0.022884293833587588
110,2013-10-04,0.0
111,2013-10-07,0.017894489876550512
112,2013-10-08,0.017579853634355658
113,2013-10-09,0.020345726586783908
114,2013-10-10,0.024222637575846306
115,2013-10-11,-0.0029959363303171394
116,2013-10-14,0.011082807386245008
117,2013-10-15,0.006759637061066748
118,2013-10-16,-0.008456752481069696
119,2013-10-17,0.0147526809378844
120,2013-10-18,0.01371307589096915
121,2013-10-21,-0.001238860343480308
122,2013-10-22,0.0008260223517995158
123,2013-10-23,-0.02593198480518888
124,2013-10-24,0.016390364820038528
125,2013-10-25,-0.00837171050226937
126,2013-10-28,0.002518850985016474
127,2013-10-29,-0.0050441468866782024
128,2013-10-30,0.017130103796691998
129,2013-10-31,0.013577662343848385
130,2013-11-01,0.009355447531548045
131,2013-11-04,-0.017974380603856144
132,2013-11-05,-0.01704468618155408
133,2013-11-06,-0.02504907024383174
134,2013-11-07,-0.0069025295627707095
135,2013-11-08,0.004319704247963685
136,2013-11-11,0.01963353677452906
137,2013-11-12,-0.03003233065288269
138,2013-11-13,0.03087728211844709
139,2013-11-14,0.01882502817894638
140,2013-11-18,-0.0012439976981419854
141,2013-11-19,-0.01378755912450691
142,2013-11-21,0.01378755912450691
143,2013-11-22,0.0008295728217442289
144,2013-11-25,0.004137283518399926
145,2013-11-26,0.00740443546240277
146,2013-11-27,0.0012287529704928524
147,2013-11-28,0.02904601127609885
148,2013-11-29,0.009891277478742744
149,2013-12-02,-0.0007877511393532544
150,2013-12-03,-0.01109357674739897
151,2013-12-04,-0.022970947100932726
