,Time,Returns_EQTL3
0,2012-10-02,0.008466471056355562
1,2012-10-03,-0.005636304158026739
2,2012-10-04,0.0033821997608201038
3,2012-10-05,0.016201806923487716
4,2012-10-08,0.004973726163076009
5,2012-10-09,-0.0016570103904687272
6,2012-10-10,-0.032549136522036726
7,2012-10-11,0.01920451272154189
8,2012-10-15,0.018301921607989602
9,2012-10-16,-0.008274013580102046
10,2012-10-17,0.009371638264471294
11,2012-10-18,0.012545635716810999
12,2012-10-19,0.0032449297682362044
13,2012-10-22,0.006463886199765678
14,2012-10-23,0.009081208429404075
15,2012-10-24,0.0010627749452387647
16,2012-10-25,-0.03900815489808451
17,2012-10-26,-0.008879681755844082
18,2012-10-29,0.002231513348937675
19,2012-10-30,0.0005529693957218029
20,2012-10-31,0.0005580767207264969
21,2012-11-01,0.04081825569463504
22,2012-11-05,0.023198372257716926
23,2012-11-06,-0.012583500364489186
24,2012-11-07,-0.007950625344558926
25,2012-11-08,0.0
26,2012-11-09,-0.005330238824293954
27,2012-11-12,-0.01075217769083947
28,2012-11-13,-0.010874478691652367
29,2012-11-14,-0.011537981959401922
30,2012-11-16,-0.004987625077116142
31,2012-11-19,0.012146842129086899
32,2012-11-21,-0.02951767645794323
33,2012-11-22,-0.01653425989818391
34,2012-11-23,0.00287060078604906
35,2012-11-26,-0.007476433182289188
36,2012-11-27,0.0040340490947268215
37,2012-11-28,0.017668074708861337
38,2012-11-29,-0.028656500283794628
39,2012-11-30,0.002904104356008297
40,2012-12-03,0.0
41,2012-12-04,-0.04445361268524417
42,2012-12-05,0.018618055973483205
43,2012-12-06,-0.000597594815278768
44,2012-12-07,0.041390431553640195
45,2012-12-10,-0.0005680185083800637
46,2012-12-11,-0.008606348250868923
47,2012-12-12,0.024476488554050935
48,2012-12-13,0.0288274039625942
49,2012-12-14,0.0054520210588449025
50,2012-12-17,0.007039195495904149
51,2012-12-18,0.0048451627881513915
52,2012-12-19,0.010154714539468923
53,2012-12-20,-0.011228748407013711
54,2012-12-21,-0.016262345475355655
55,2012-12-26,0.010874478691652367
56,2012-12-27,0.010214836192238064
57,2012-12-28,0.0021366419645412194
58,2013-01-02,0.022179749791618075
59,2013-01-03,0.015029421574960011
60,2013-01-04,-0.053897351453631615
61,2013-01-07,-0.023063383797896186
62,2013-01-08,-0.011172498661665475
63,2013-01-09,0.05412596934449532
64,2013-01-10,0.0005290315604740137
65,2013-01-11,0.01583322500860529
66,2013-01-14,-0.0026223402066540835
67,2013-01-15,0.006799779916494941
68,2013-01-16,-0.009429120608485775
69,2013-01-17,0.0026293406919908335
70,2013-01-18,-0.0034543970647540334
71,2013-01-21,-0.0085016452553206
72,2013-01-22,0.0
73,2013-01-23,-0.0053505212009010705
74,2013-01-24,-0.023888106581571922
75,2013-01-28,0.03721097954755104
76,2013-01-29,-0.013322872965979116
77,2013-01-30,-0.004840020464288219
78,2013-01-31,0.010724017271332986
79,2013-02-01,0.018494582636164658
80,2013-02-04,-0.0026212859733143468
81,2013-02-05,-0.01002371885169051
82,2013-02-06,0.015259385399075232
83,2013-02-07,0.007802328470712272
84,2013-02-08,0.01949784752674022
85,2013-02-13,-0.01175577014577156
86,2013-02-14,-0.013979052023043614
87,2013-02-15,-0.001565353828637317
88,2013-02-18,0.01038970384913629
89,2013-02-19,0.017418523962443366
90,2013-02-20,0.0
91,2013-02-21,-0.014322546257315771
92,2013-02-22,-0.0005153311116363746
93,2013-02-25,0.015345620436080676
94,2013-02-26,-0.0010157948812556938
95,2013-02-27,-0.004073325387635496
96,2013-02-28,0.01970258227583699
97,2013-03-01,0.007972139880382922
98,2013-03-04,0.004950505159856622
99,2013-03-05,-0.004950505159856622
100,2013-03-06,0.01722059775167084
101,2013-03-07,-0.004889985294191934
102,2013-03-08,0.004889985294191934
103,2013-03-11,0.004866189651172803
104,2013-03-12,-0.005354113544727035
105,2013-03-13,0.009230087389420216
106,2013-03-14,-0.008742163495865984
107,2013-03-15,0.0019493670415400288
108,2013-03-18,-0.007329717643188793
109,2013-03-19,0.0004903653074568304
110,2013-03-20,-0.04000533461369882
111,2013-03-21,0.020202707317519053
112,2013-03-22,0.001998052562871777
113,2013-03-25,-0.012048438921425042
114,2013-03-26,0.0
115,2013-03-27,0.008048333587678869
116,2013-03-28,0.01689061600354025
117,2013-04-01,-0.0199011050562099
118,2013-04-02,-0.03061468763307973
119,2013-04-03,0.01898958830360087
120,2013-04-04,-0.009706334186578847
121,2013-04-05,0.017303230687452764
122,2013-04-08,0.01651275949084985
123,2013-04-09,-0.007472014838700858
124,2013-04-10,0.0
125,2013-04-11,0.00995038035811735
126,2013-04-12,-0.0054604750852651485
127,2013-04-15,0.0024856588111390465
128,2013-04-16,-0.004478733760716835
129,2013-04-17,0.004975184515426445
130,2013-04-18,0.0074165483939649945
131,2013-04-19,0.020961089661031718
132,2013-04-22,-0.008721034167246344
133,2013-04-23,0.014493055964368562
134,2013-04-24,0.0
135,2013-04-25,0.009546564377640454
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.0
139,2013-05-02,-0.008013241465134158
140,2013-05-03,-0.0009468750707450901
141,2013-05-06,-0.014793970600794015
142,2013-05-07,0.006708314567533513
143,2013-05-08,0.0004774409029608684
144,2013-05-09,0.004286741297182317
145,2013-05-10,0.009931459972400969
146,2013-05-13,0.0
147,2013-05-14,0.0023501303965955955
148,2013-05-15,-0.0061219406202477344
149,2013-05-16,-0.03460215375820885
150,2013-05-17,0.003904348351482234
151,2013-05-20,0.008246468840453769
152,2013-05-21,0.005780314606322001
