,Time,Returns_PETR4
0,2012-10-02,0.008405313621578259
1,2012-10-03,-0.015986174899164762
2,2012-10-04,0.0026821652199395807
3,2012-10-05,-0.006718950248744804
4,2012-10-08,0.005378811592514854
5,2012-10-09,-0.00672808099778166
6,2012-10-10,-0.004510517344892939
7,2012-10-11,0.01703308734828468
8,2012-10-15,0.013245182890370799
9,2012-10-16,0.0
10,2012-10-17,-0.006600640171702032
11,2012-10-18,-0.006644542718668767
12,2012-10-19,-0.011173300598124936
13,2012-10-22,0.0
14,2012-10-23,-0.026413193063981488
15,2012-10-24,-0.006017097394770854
16,2012-10-25,0.00970203938119596
17,2012-10-26,0.022728251077556383
18,2012-10-29,-0.04129026893761578
19,2012-10-30,0.008395618148455686
20,2012-10-31,-0.03449441919274099
21,2012-11-01,0.002401009614462435
22,2012-11-05,0.018532248128927176
23,2012-11-06,0.020503980197707605
24,2012-11-07,-0.023332836398184842
25,2012-11-08,-0.027280896750758288
26,2012-11-09,0.008214590371773411
27,2012-11-12,-0.016497219535093866
28,2012-11-13,0.0014665365620363247
29,2012-11-14,-0.033278463625780574
30,2012-11-16,-0.039665153338773074
31,2012-11-19,0.005240997321580121
32,2012-11-21,-0.027021405623631978
33,2012-11-22,0.0016098205352119699
34,2012-11-23,0.027500410967728595
35,2012-11-26,-0.018426422900319483
36,2012-11-27,-0.016609007571827483
37,2012-11-28,0.007535019504418372
38,2012-11-29,0.026456569536830177
39,2012-11-30,-0.025920520207456832
40,2012-12-03,0.01805678374724229
41,2012-12-04,-0.009518845009206522
42,2012-12-05,0.006356006399007796
43,2012-12-06,-0.012752563219766255
44,2012-12-07,0.02011708868366524
45,2012-12-10,0.025357115387844242
46,2012-12-11,0.021234367104324026
47,2012-12-12,-0.007028141379109343
48,2012-12-13,-0.014206225725214683
49,2012-12-14,0.03217970052708852
50,2012-12-17,-0.014453229778621068
51,2012-12-18,0.012472099809668347
52,2012-12-19,0.03698718449178795
53,2012-12-20,0.0057169761645425865
54,2012-12-21,-0.017249972532472846
55,2012-12-26,-0.030922807406638775
56,2012-12-27,-0.032939335502420786
57,2012-12-28,0.005651183804027848
58,2013-01-02,0.008671362453287923
59,2013-01-03,0.03542395741193616
60,2013-01-04,0.001469507979360074
61,2013-01-07,-0.01728011400600238
62,2013-01-08,-0.029309829253827413
63,2013-01-09,0.009188426054406396
64,2013-01-10,0.00759305090759721
65,2013-01-11,0.0025182083949113476
66,2013-01-14,-0.008080852462067245
67,2013-01-15,0.005058230437293254
68,2013-01-16,0.0010085729548849898
69,2013-01-17,-0.006574031427766691
70,2013-01-18,-0.006617433326595812
71,2013-01-21,-0.009751219420781165
72,2013-01-22,0.009751219420781165
73,2013-01-23,-0.0015334018218862155
74,2013-01-24,0.003064455922165976
75,2013-01-28,-0.012314162157514907
76,2013-01-29,-0.01351371846432503
77,2013-01-30,-0.04879016155300109
78,2013-01-31,-0.006615294063772925
79,2013-02-01,0.020799819939493425
80,2013-02-04,-0.025234417007359067
81,2013-02-05,0.004434597067865642
82,2013-02-06,-0.026907452919923802
83,2013-02-07,-0.005698021114637797
84,2013-02-08,0.013621095951964701
85,2013-02-13,0.0033764242368294894
86,2013-02-14,-0.007330114786657571
87,2013-02-15,-0.0022663466433257007
88,2013-02-18,0.015198773158429546
89,2013-02-19,0.011111225425071147
90,2013-02-20,-0.02687726101005916
91,2013-02-21,-0.0171727741274319
92,2013-02-22,-0.009863729522340492
93,2013-02-25,-0.011730280788440961
94,2013-02-26,-0.012466827762178667
95,2013-02-27,0.004172822870793791
96,2013-02-28,-0.011968904102225064
97,2013-03-01,0.01730863809912986
98,2013-03-04,-0.023953241022492744
99,2013-03-05,0.003629707664103421
100,2013-03-06,0.08615554080658816
101,2013-03-07,0.048658354921656155
102,2013-03-08,-0.03108503063526813
103,2013-03-11,0.030029011557616947
104,2013-03-12,-0.010087688410955309
105,2013-03-13,0.0005334756061436963
106,2013-03-14,0.028393126341548225
107,2013-03-15,-0.010422241020311862
108,2013-03-18,0.005745693379411776
109,2013-03-19,-0.005221996064483481
110,2013-03-20,-0.013175421158564404
111,2013-03-21,-0.017121819630212087
112,2013-03-22,0.00538203667282211
113,2013-03-25,-0.0021493292032772615
114,2013-03-26,0.0
115,2013-03-27,-0.00918677090619191
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.018472396601384666
119,2013-04-03,0.016807061819207547
120,2013-04-04,-0.016242362566697643
121,2013-04-05,0.005069005788795877
122,2013-04-08,-0.024453763294726816
123,2013-04-09,0.043925922887323665
124,2013-04-10,0.014766470116301278
125,2013-04-11,-0.023620982864719142
126,2013-04-12,-0.0016690407676769325
127,2013-04-15,-0.04149495665492653
128,2013-04-16,0.026912645537118696
129,2013-04-17,-0.030401021167572928
130,2013-04-18,0.03715774713327935
131,2013-04-19,0.031485562196186034
132,2013-04-22,0.021517882406320687
133,2013-04-23,0.01741009327933929
134,2013-04-24,0.01659789054811167
135,2013-04-25,-0.013986293415067852
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,-0.016292633909676724
139,2013-05-02,0.007932614725705278
140,2013-05-03,-0.013923696199938718
141,2013-05-06,0.01786653028764551
142,2013-05-07,0.01416389944516272
143,2013-05-08,-0.016133323962333357
144,2013-05-09,0.0004926336635722173
145,2013-05-10,-0.01689061600354025
146,2013-05-13,-0.023828707263647164
147,2013-05-14,0.0030737217610088408
148,2013-05-15,0.0010225461275066294
149,2013-05-16,0.00915570993914594
150,2013-05-17,0.007063551242227906
151,2013-05-20,0.015465611322749595
