,Time_IPCA,Returns_IPCA
0,2012-08-01,0.04251755008191482
1,2012-09-01,0.19285313063201548
2,2012-10-01,0.03412910388589807
3,2012-11-01,-0.0009608478588427616
4,2012-12-01,-0.0019194346616651092
5,2013-01-01,-0.030285983634856017
6,2013-02-01,-0.0789133774945956
7,2013-03-01,-0.09053383318432684
8,2013-04-01,-0.13731940641764995
9,2013-05-01,0.13447703673205436
10,2013-06-01,-0.04350521471680191
11,2013-07-01,-0.08813235598337654
12,2013-08-01,-0.10292297762144464
13,2013-09-01,-0.06253763720056693
14,2013-10-01,-0.18419399662840508
15,2013-11-01,-0.0009354557641932382
16,2013-12-01,0.28581496361030684
17,2014-01-01,-0.15690620694575613
18,2014-02-01,-0.06343504701273489
19,2014-03-01,0.10939924868470385
20,2014-04-01,-0.000927509900313872
21,2014-05-01,0.05221565383073423
22,2014-06-01,0.05129332283491583
23,2014-07-01,-0.04665749223323201
24,2014-08-01,-0.054996127441772846
25,2014-09-01,-0.06455906412871709
26,2014-10-01,0.0009224627984928402
27,2014-11-01,0.056236021956498405
28,2014-12-01,-0.4989072771452508
29,2015-01-01,-0.31017785154194816
30,2015-02-01,0.15081955408889686
31,2015-03-01,0.10831231831968141
32,2015-04-01,0.10850018195286895
33,2015-05-01,-0.07234262272417583
34,2015-06-01,0.008798393235777427
35,2015-07-01,0.1389386862793048
36,2015-08-01,-0.1931845573595452
37,2015-09-01,-0.29122612127659653
38,2015-10-01,-0.012820589207472033
39,2015-11-01,-0.12509282147625933
40,2015-12-01,0.5007073656798414
41,2016-01-01,0.17788962832745997
42,2016-02-01,-0.1853602541473517
43,2016-03-01,-0.36773554929809876
44,2016-04-01,-0.33847023128388587
45,2016-05-01,0.1803275941870881
46,2016-06-01,-0.0009956267415004438
47,2016-07-01,0.003988084677956305
48,2016-08-01,0.0019999986666671132
49,2016-09-01,0.40146912679478214
50,2016-10-01,0.3687221132885862
51,2016-11-01,-0.0009971017017633144
52,2016-12-01,0.07012752036415748
53,2017-01-01,0.36565264091726324
54,2017-02-01,0.09430859364904931
55,2017-03-01,-0.15457973644372713
56,2017-04-01,0.10008360998557897
57,2017-05-01,-0.10305815026018961
58,2017-06-01,-0.0009897581325553073
59,2017-07-01,0.05525767229473255
60,2017-08-01,0.050778282609110104
61,2017-09-01,0.12659068755598668
62,2017-10-01,-0.08997148316354964
63,2012-07-01,0.0687415505511022
64,2012-08-01,0.2059544187193687
65,2012-09-01,-0.035968193012719585
66,2012-10-01,0.009664569896706832
67,2012-11-01,-0.20500168077890712
68,2012-12-01,-0.014141266465612312
69,2013-01-01,-0.42432843328426
70,2013-02-01,-0.20657560407198655
71,2013-03-01,-0.0638224725279064
72,2013-04-01,-0.10606982787920556
73,2013-05-01,0.16735788506418908
74,2013-06-01,0.2964036474227536
75,2013-07-01,-0.05412493123732792
76,2013-08-01,-0.4031220951989714
77,2013-09-01,-0.11824709089077873
78,2013-10-01,-0.34731233343626067
79,2013-11-01,0.2524205827195079
80,2013-12-01,0.16979838784889228
81,2014-01-01,0.1633414368293166
82,2014-02-01,-0.1558918882169699
83,2014-03-01,-0.08747789861015745
84,2014-04-01,-0.3611011529718008
85,2014-05-01,-0.5451176536428685
86,2014-06-01,-0.28938166324489356
87,2014-07-01,0.22952536466907048
88,2014-08-01,-2.832614680127248
89,2014-09-01,
90,2014-10-01,
91,2014-11-01,
92,2014-12-01,
93,2015-01-01,
94,2015-02-01,
95,2015-03-01,
96,2015-04-01,
97,2015-05-01,0.6591519483088328
98,2015-06-01,0.11698551193320389
99,2015-07-01,-0.31618544689430966
100,2015-08-01,0.6860045406227465
101,2015-09-01,0.1533787112332367
102,2015-10-01,0.18729290507411495
103,2015-11-01,0.17314823590165096
104,2015-12-01,-0.01214549999134884
105,2016-01-01,0.14972119664417188
106,2016-02-01,-0.2286794318050278
107,2016-03-01,0.48102848730316805
108,2016-04-01,-0.09687103888803905
109,2016-05-01,0.07807975872345674
110,2016-06-01,-0.01966859244331909
111,2016-07-01,0.05358419778467993
112,2016-08-01,-0.0542766803902045
113,2016-09-01,-0.14344059285308997
114,2016-10-01,-0.030265367842093882
115,2016-11-01,-0.023062233452117997
116,2016-12-01,0.13619981967092376
117,2017-01-01,0.26575150713206064
118,2017-02-01,0.11512541043292801
119,2017-03-01,-0.2641158267566154
120,2017-04-01,-0.001753554774976518
121,2017-05-01,-0.20103214222811827
122,2017-06-01,-0.15261657365627007
123,2017-07-01,0.10782796291570179
124,2017-08-01,0.06366305584483434
125,2017-09-01,0.05673729476975298
126,2017-10-01,-0.0029072613725601437
127,2012-07-01,-0.4715509315558663
128,2012-08-01,-0.0024967141986010077
129,2012-09-01,-0.07148400451372192
130,2012-10-01,-0.0016570383504988795
131,2012-11-01,-0.33729943768404613
132,2012-12-01,0.005806740719640019
133,2013-01-01,-0.5149767608350384
134,2013-02-01,0.9121570760090798
135,2013-03-01,-0.22726069433912574
136,2013-04-01,-0.8795687662312466
137,2013-05-01,0.5886052869896204
138,2013-06-01,0.4459363970540924
139,2013-07-01,0.13435359151880719
140,2013-08-01,-0.21010558304271756
141,2013-09-01,-0.001640023303535354
142,2013-10-01,-0.48714600942053154
143,2013-11-01,0.32091171852789485
144,2013-12-01,0.31591408224674195
145,2014-01-01,0.1814965180347328
146,2014-02-01,-0.2627901181747795
147,2014-03-01,0.3037530264253916
148,2014-04-01,0.2760658193990083
149,2014-05-01,0.11088669322287881
150,2014-06-01,0.03509097141223072
151,2014-07-01,-0.11001171572459689
152,2014-08-01,0.0
