,Time,Returns_RENT3
0,2012-10-02,-0.005041682582948237
1,2012-10-03,0.010612539605403981
2,2012-10-04,-0.04256131477153513
3,2012-10-05,0.025751652503589906
4,2012-10-08,0.026759053449729286
5,2012-10-09,-0.0102280559328638
6,2012-10-10,-0.013427635652114578
7,2012-10-11,0.008692696554561063
8,2012-10-15,-0.0033543012267531758
9,2012-10-16,-0.016952149527417415
10,2012-10-17,-0.026268090440769054
11,2012-10-18,0.011921095938458581
12,2012-10-19,0.0025967428033633055
13,2012-10-22,0.00632356073334206
14,2012-10-23,0.0031468480261915843
15,2012-10-24,-0.02048277555807143
16,2012-10-25,-0.003212073556372985
17,2012-10-26,0.008154883156787474
18,2012-10-29,-0.004069128836515112
19,2012-10-30,0.016174816471796305
20,2012-10-31,0.019858156522940096
21,2012-11-01,0.024968971037705234
22,2012-11-05,-0.009636545102316596
23,2012-11-06,0.012372373728844366
24,2012-11-07,-0.0005483876937018017
25,2012-11-08,-0.03845555301217596
26,2012-11-09,0.009613091633856818
27,2012-11-12,-0.030568809890358928
28,2012-11-13,0.04592675844783489
29,2012-11-14,-0.01648161668665571
30,2012-11-16,0.013152421356305677
31,2012-11-19,0.01462626721836724
32,2012-11-21,-0.01046640278003741
33,2012-11-22,-0.007503347912159786
34,2012-11-23,0.0038981342450652434
35,2012-11-26,-0.002502823038634805
36,2012-11-27,0.004999397589711574
37,2012-11-28,0.004700780239033975
38,2012-11-29,-0.0033144790698855786
39,2012-11-30,-0.016184086759198912
40,2012-12-03,0.0263728274861057
41,2012-12-04,-0.008252957269824446
42,2012-12-05,-0.00971679342237275
43,2012-12-06,-0.004191106079241447
44,2012-12-07,0.013907899501614196
45,2012-12-10,0.014807069166908882
46,2012-12-11,-0.005186770197327828
47,2012-12-12,0.0040968512115417965
48,2012-12-13,0.009222036537976042
49,2012-12-14,-0.0016205632274672865
50,2012-12-17,0.004586716124053147
51,2012-12-18,0.009375314203993845
52,2012-12-19,0.007968000715797618
53,2012-12-20,-0.0015879857508105388
54,2012-12-21,-0.006912296702566767
55,2012-12-26,-0.0034770858032886487
56,2012-12-27,0.011449282821580198
57,2012-12-28,-0.00957654846080569
58,2013-01-02,0.02975237871806824
59,2013-01-03,-0.006507399651284107
60,2013-01-04,0.004168110134787462
61,2013-01-07,-0.02288025934079796
62,2013-01-08,0.0002668934499689968
63,2013-01-09,-0.01473673702641598
64,2013-01-10,-0.004327106893763588
65,2013-01-11,-0.018879900030147834
66,2013-01-14,-0.005539994426227768
67,2013-01-15,0.0013863494683907795
68,2013-01-16,-0.016500065473148418
69,2013-01-17,0.0025338402147041528
70,2013-01-18,-0.0028167492138959638
71,2013-01-21,0.005907032461443862
72,2013-01-22,0.031467797549890264
73,2013-01-23,0.01188586917604706
74,2013-01-24,-0.022814577563818883
75,2013-01-28,-0.005509502193385085
76,2013-01-29,0.010988785896352216
77,2013-01-30,-0.011265910901362197
78,2013-01-31,0.011265910901362197
79,2013-02-01,-0.00273582862652777
80,2013-02-04,0.010626942760323388
81,2013-02-05,0.024103244165448956
82,2013-02-06,0.01835618930552041
83,2013-02-07,-0.005209411882704185
84,2013-02-08,-0.020849267798734417
85,2013-02-13,0.0224143161142214
86,2013-02-14,-0.011539709297206269
87,2013-02-15,-0.009540765925623695
88,2013-02-18,-0.006681273970783774
89,2013-02-19,-0.01458312182340249
90,2013-02-20,-0.007097141647059324
91,2013-02-21,-0.011019056965298368
92,2013-02-22,0.01920431027663083
93,2013-02-25,0.0016285150346075916
94,2013-02-26,0.023859688004192137
95,2013-02-27,0.00659901279692221
96,2013-02-28,-0.012178092101036597
97,2013-03-01,0.0013295161845161552
98,2013-03-04,0.008213670511966864
99,2013-03-05,-0.010609867192646671
100,2013-03-06,-0.010723615000705955
101,2013-03-07,-0.014387902362343219
102,2013-03-08,0.008438732601498966
103,2013-03-11,0.005408174478652938
104,2013-03-12,-0.002157913824948121
105,2013-03-13,0.0013488772120782144
106,2013-03-14,-0.006226651389222848
107,2013-03-15,-0.0008148710103497159
108,2013-03-18,0.008929316664492593
109,2013-03-19,-0.009471783761558328
110,2013-03-20,-0.014244321814469885
111,2013-03-21,0.004130806580581847
112,2013-03-22,0.00547928370296713
113,2013-03-25,-0.016528780322579983
114,2013-03-26,0.013792951696052214
115,2013-03-27,0.00273582862652777
116,2013-03-28,-0.013754885591826138
117,2013-04-01,-0.00834475175320959
118,2013-04-02,-0.005605162319197277
119,2013-04-03,-0.005633642926292204
120,2013-04-04,0.005633642926292204
121,2013-04-05,-0.002809717536967682
122,2013-04-08,0.002530987319018685
123,2013-04-09,-0.009033530074485707
124,2013-04-10,-0.01197792949440446
125,2013-04-11,-0.02381185618174575
126,2013-04-12,-0.0053045890087752845
127,2013-04-15,-0.019386857257909895
128,2013-04-16,0.008695735718902586
129,2013-04-17,-0.005688314378098802
130,2013-04-18,-0.0027085957232482194
131,2013-04-19,0.04648195655239329
132,2013-04-22,-0.003457020201237615
133,2013-04-23,0.03458469790198304
134,2013-04-24,0.008875080069767893
135,2013-04-25,-0.027434520499099335
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.01042413539193321
139,2013-05-02,-0.013955429381600215
140,2013-05-03,-0.010501709069739018
141,2013-05-06,-0.006958727089838579
142,2013-05-07,0.020142122418127517
143,2013-05-08,0.001782722505534906
144,2013-05-09,-0.01285630897415535
145,2013-05-10,0.006899229701976761
146,2013-05-13,0.00387740643125678
147,2013-05-14,-0.010173296900883422
148,2013-05-15,-0.000903565036010967
149,2013-05-16,-0.0006039164262188201
