,Time,Returns_BRFS3
0,2012-10-02,-0.0033556798357685658
1,2012-10-03,0.005586634407740654
2,2012-10-04,0.0005568365501722461
3,2012-10-05,0.022844037904135472
4,2012-10-08,0.0010878706391364013
5,2012-10-09,-0.0059978641366922325
6,2012-10-10,0.011689680482934506
7,2012-10-11,0.0
8,2012-10-15,0.0053908755165967825
9,2012-10-16,0.0013431566647472692
10,2012-10-17,-0.0037654428061477674
11,2012-10-18,0.002422286141400498
12,2012-10-19,-0.005120695802206754
13,2012-10-22,0.015815904845743578
14,2012-10-23,0.0
15,2012-10-24,0.010582162522027705
16,2012-10-25,0.0005261773338975928
17,2012-10-26,-0.00845221608111979
18,2012-10-29,-0.006119481485550526
19,2012-10-30,-0.008576814494045237
20,2012-10-31,-0.00539815054175774
21,2012-11-01,0.0013522381864143895
22,2012-11-05,0.013423020332140823
23,2012-11-06,0.002663064227992784
24,2012-11-07,-0.0031965398341364804
25,2012-11-08,-0.008843632370653776
26,2012-11-09,-0.01518884596845238
27,2012-11-12,-0.0052061494433668365
28,2012-11-13,0.03509129139141498
29,2012-11-14,-0.0005306712710013706
30,2012-11-16,-0.015512534003129907
31,2012-11-19,0.023969244021353475
32,2012-11-21,0.022893845586017036
33,2012-11-22,0.005898209023928125
34,2012-11-23,0.01346046989841243
35,2012-11-26,0.006537689786386469
36,2012-11-27,-0.01007570211405362
37,2012-11-28,-0.009155735488456607
38,2012-11-29,-0.01389271176130702
39,2012-11-30,0.005167996198719216
40,2012-12-03,0.00591033471517477
41,2012-12-04,0.00409103112361997
42,2012-12-05,-0.004859940565180132
43,2012-12-06,0.003838827392733002
44,2012-12-07,-0.0064061714840981665
45,2012-12-10,-0.007742077380968659
46,2012-12-11,0.03562722945662378
47,2012-12-12,0.017348662904637546
48,2012-12-13,-0.004185701051438784
49,2012-12-14,0.004431321983763059
50,2012-12-17,0.008317073587003065
51,2012-12-18,0.01547045636823663
52,2012-12-19,0.006217188844979571
53,2012-12-20,0.009253808955601794
54,2012-12-21,0.007998160726833348
55,2012-12-26,0.002574027365119136
56,2012-12-27,-0.0021055101448892444
57,2012-12-28,-0.012015741219834286
58,2013-01-02,0.015989054849602002
59,2013-01-03,0.013438617442810497
60,2013-01-04,0.00665218624699726
61,2013-01-07,0.008196676127967706
62,2013-01-08,-0.005913094461565294
63,2013-01-09,0.03165602750617502
64,2013-01-10,-0.006651886981364985
65,2013-01-11,0.0011117066057493297
66,2013-01-14,-0.004008021397538641
67,2013-01-15,-0.022107825733020725
68,2013-01-16,0.007046329710321153
69,2013-01-17,0.03516156531988246
70,2013-01-18,-0.0026275250213383394
71,2013-01-21,-0.011244810485891765
72,2013-01-22,0.0
73,2013-01-23,0.019324317172301875
74,2013-01-24,-0.008298846674345217
75,2013-01-28,-0.011247180227697662
76,2013-01-29,-0.002220205125589736
77,2013-01-30,-0.027948674503779802
78,2013-01-31,-0.00022855183026537773
79,2013-02-01,-0.027348192443728436
80,2013-02-04,0.004454326853139623
81,2013-02-05,0.0035026771712476368
82,2013-02-06,-0.011723463146294577
83,2013-02-07,-0.009716867081233094
84,2013-02-08,-0.020207566600738414
85,2013-02-13,0.010876143464542576
86,2013-02-14,-0.004819190049846878
87,2013-02-15,-0.0072728563000592494
88,2013-02-18,0.0031580738784215967
89,2013-02-19,0.02420154002768138
90,2013-02-20,-0.008081812085702023
91,2013-02-21,-0.009592447424135564
92,2013-02-22,0.04959307754854292
93,2013-02-25,-0.02578242885482407
94,2013-02-26,0.0
95,2013-02-27,0.011696039763191113
96,2013-02-28,-0.0011634439804111274
97,2013-03-01,-0.002097658335942665
98,2013-03-04,0.010444564938682177
99,2013-03-05,0.01852959340395266
100,2013-03-06,-0.006138498511686574
101,2013-03-07,0.01807967890718354
102,2013-03-08,0.00780813765497923
103,2013-03-11,-0.04406797461069356
104,2013-03-12,0.010855817431917103
105,2013-03-13,-0.008767868712165061
106,2013-03-14,0.002314769498510394
107,2013-03-15,0.010350891606950796
108,2013-03-18,-0.016380547954203184
109,2013-03-19,0.0002325386629262738
110,2013-03-20,0.00348234818581572
111,2013-03-21,0.002314769498510394
112,2013-03-22,-0.0013882695587867921
113,2013-03-25,0.0023127207348103695
114,2013-03-26,0.028690446916217027
115,2013-03-27,-0.0013476416982571848
116,2013-03-28,0.0
117,2013-04-01,0.027052580694729933
118,2013-04-02,-0.01099879127908876
119,2013-04-03,0.004193869912651582
120,2013-04-04,-0.009294202568995047
121,2013-04-05,-0.010504108437130455
122,2013-04-08,0.02857023119203861
123,2013-04-09,-0.014515320049989455
124,2013-04-10,0.0013283597259907687
125,2013-04-11,0.03670730281290657
126,2013-04-12,-0.015474218574261123
127,2013-04-15,-0.013519591448654111
128,2013-04-16,0.014169217980644078
129,2013-04-17,0.0
130,2013-04-18,0.03613572643780749
131,2013-04-19,0.009143829104814927
132,2013-04-22,0.002272983701272935
133,2013-04-23,0.007402871410051137
134,2013-04-24,-0.018819684216139
135,2013-04-25,0.010384308874377357
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.025343975213969028
139,2013-05-02,0.0030471734797337113
140,2013-05-03,-0.014506312346856731
141,2013-05-06,0.012475895405653858
142,2013-05-07,-0.010009316534679957
143,2013-05-08,-0.00020527666636072084
144,2013-05-09,0.014271414057280829
145,2013-05-10,0.006456822075435298
146,2013-05-13,-0.018267221790327248
147,2013-05-14,0.02188097787281862
148,2013-05-15,-0.009868209979973841
149,2013-05-16,-0.00020236817795282747
150,2013-05-17,0.009669676180245279
151,2013-05-20,-0.003011768133303949
