,Time,Returns_CSNA3
0,2012-10-02,-0.021978906718775004
1,2012-10-03,-0.02065632492566083
2,2012-10-04,0.01798609636978199
3,2012-10-05,-0.015267472130788384
4,2012-10-08,0.031182927436687713
5,2012-10-09,-0.028471674081311793
6,2012-10-10,-0.01729674437426887
7,2012-10-11,0.029852963149681333
8,2012-10-15,0.024649135274653844
9,2012-10-16,0.00779562198245598
10,2012-10-17,0.012859157048290104
11,2012-10-18,0.005944815809320492
12,2012-10-19,-0.03445646633528643
13,2012-10-22,0.01651493423833461
14,2012-10-23,-0.01826932065322806
15,2012-10-24,-0.016821999158042278
16,2012-10-25,0.01242251999855748
17,2012-10-26,-0.02409755157906046
18,2012-10-29,0.0089928663605634
19,2012-10-30,0.02213459114675498
20,2012-10-31,-0.016777435477512093
21,2012-11-01,0.023758266618852275
22,2012-11-05,-0.008733679968754515
23,2012-11-06,0.03702532258984581
24,2012-11-07,-0.03702532258984581
25,2012-11-08,-0.025767751748911216
26,2012-11-09,-0.005415175687776497
27,2012-11-12,-0.014585491018892949
28,2012-11-13,-0.008298802814695083
29,2012-11-14,-0.0406291118887383
30,2012-11-16,-0.05347808808236065
31,2012-11-19,0.03988564580446008
32,2012-11-21,0.015519225147600846
33,2012-11-22,-0.014542185499774263
34,2012-11-23,0.043942121856498595
35,2012-11-26,-0.043942121856498595
36,2012-11-27,-0.00981362144832465
37,2012-11-28,-0.0049431637975194676
38,2012-11-29,0.09179016172867138
39,2012-11-30,-0.05291257368598323
40,2012-12-03,-0.005736153395524912
41,2012-12-04,-0.003842463901544857
42,2012-12-05,0.0181216213190174
43,2012-12-06,-0.0075901692666757725
44,2012-12-07,0.02073589847917834
45,2012-12-10,0.04914546706888823
46,2012-12-11,0.021090412657660096
47,2012-12-12,0.011240931161368817
48,2012-12-13,-0.014725255243979607
49,2012-12-14,0.013004084423206663
50,2012-12-17,0.0008609557139651614
51,2012-12-18,0.04952753669884791
52,2012-12-19,-0.005749502491260827
53,2012-12-20,-0.010766149539460201
54,2012-12-21,-0.02358997342650815
55,2012-12-26,0.004253515558056531
56,2012-12-27,-0.017123706078591372
57,2012-12-28,0.023891921424730178
58,2013-01-02,0.062111463543487844
59,2013-01-03,0.014162313812504213
60,2013-01-04,-0.038221212820197525
61,2013-01-07,-0.0048820275973087135
62,2013-01-08,-0.009012760721507806
63,2013-01-09,0.027599154350928856
64,2013-01-10,0.017460761063876618
65,2013-01-11,-0.007106228088295641
66,2013-01-14,0.006319136351478516
67,2013-01-15,-0.01827623377260057
68,2013-01-16,-0.0024086723809118027
69,2013-01-17,-0.037678494623730074
70,2013-01-18,0.0016680571006970624
71,2013-01-21,-0.021904835388049992
72,2013-01-22,0.0
73,2013-01-23,0.01940170516993156
74,2013-01-24,-0.050546090871697036
75,2013-01-28,-0.031238595432773852
76,2013-01-29,0.02241241280450179
77,2013-01-30,-0.04255961441879608
78,2013-01-31,-0.005565877077445158
79,2013-02-01,0.0365337433324564
80,2013-02-04,-0.029119436893228823
81,2013-02-05,0.004606180414897576
82,2013-02-06,0.009149194653587767
83,2013-02-07,-0.016529301951210496
84,2013-02-08,-0.02058070770002063
85,2013-02-13,0.002831526195738121
86,2013-02-14,0.0009420631879013541
87,2013-02-15,0.0009411765400639815
88,2013-02-18,-0.008502649240640814
89,2013-02-19,-0.01819102340183809
90,2013-02-20,-0.03941396854087653
91,2013-02-21,-0.009086382555957506
92,2013-02-22,-0.014300550142196222
93,2013-02-25,0.007175838070071272
94,2013-02-26,0.021223636451626948
95,2013-02-27,-0.0030045090202990288
96,2013-02-28,0.0030045090202990288
97,2013-03-01,-0.02839947452169822
98,2013-03-04,0.008196767204178723
99,2013-03-05,0.015190165493975005
100,2013-03-06,0.05380270599297621
101,2013-03-07,0.011363758650315248
102,2013-03-08,0.0018814680997056854
103,2013-03-11,-0.014198061505292792
104,2013-03-12,-0.0019083975257601082
105,2013-03-13,-0.03104031939464935
106,2013-03-14,-0.00493828164058252
107,2013-03-15,-0.03219593980048785
108,2013-03-18,0.015220994010355149
109,2013-03-19,-0.06769893125897175
110,2013-03-20,0.014973541790162415
111,2013-03-21,-0.03236528450203169
112,2013-03-22,0.01954459607297032
113,2013-03-25,-0.026145280104322488
114,2013-03-26,0.014246816312707633
115,2013-03-27,-0.010941028178208079
116,2013-03-28,0.004390786417489689
117,2013-04-01,0.051238528375324055
118,2013-04-02,-0.08238676396236322
119,2013-04-03,0.005633817718256218
120,2013-04-04,-0.03196619206249274
121,2013-04-05,-0.022288312661837395
122,2013-04-08,-0.011933315835012781
123,2013-04-09,0.01666705248521172
124,2013-04-10,-0.0035482000560973503
125,2013-04-11,-0.030068410742887686
126,2013-04-12,-0.0012217472503222027
127,2013-04-15,-0.04372964061194384
128,2013-04-16,-0.019342962843130973
129,2013-04-17,0.0026007817000572864
130,2013-04-18,0.015464225697581657
131,2013-04-19,0.0038289772370969644
132,2013-04-22,0.0012730746467983778
133,2013-04-23,0.013897886361008638
134,2013-04-24,0.01122906371641319
135,2013-04-25,-0.025126950077421828
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.006341175338447247
139,2013-05-02,-0.016571443589262103
140,2013-05-03,-0.0025740039951731575
141,2013-05-06,-0.005167970158442614
142,2013-05-07,0.0
143,2013-05-08,-0.01566611674439944
144,2013-05-09,-0.010582109330536937
145,2013-05-10,-0.033809846416320344
146,2013-05-13,-0.019445057119223286
147,2013-05-14,-0.034240149400637465
148,2013-05-15,-0.02647213404197668
149,2013-05-16,-0.0014914245866699538
