,Time,Returns_BVMF3
0,2012-10-02,0.0008153282147547181
1,2012-10-03,0.0024420036555521385
2,2012-10-04,0.0008126778179899929
3,2012-10-05,0.007284532414629119
4,2012-10-08,0.027050177533026076
5,2012-10-09,-0.01662088123604022
6,2012-10-10,-0.010429296296985857
7,2012-10-11,0.03797924806521635
8,2012-10-15,0.0031007776782483454
9,2012-10-16,0.04391318708992786
10,2012-10-17,-0.0037105793965355183
11,2012-10-18,-0.004470946344766968
12,2012-10-19,-0.009756174945364737
13,2012-10-22,0.011248712535870453
14,2012-10-23,-0.031051339832050218
15,2012-10-24,-0.01238405919972152
16,2012-10-25,0.026893668467407927
17,2012-10-26,0.00680017731906446
18,2012-10-29,-0.007558614973926403
19,2012-10-30,0.003030305349179141
20,2012-10-31,-0.016781476962003605
21,2012-11-01,0.03774032798284699
22,2012-11-05,-0.022472855852058604
23,2012-11-06,0.045899988747198694
24,2012-11-07,-0.007262196041784463
25,2012-11-08,-0.02958795718549645
26,2012-11-09,-0.005269112680011734
27,2012-11-12,-0.006056036677041465
28,2012-11-13,-0.008387391906904629
29,2012-11-14,-0.019328007939642067
30,2012-11-16,-0.00862412244409727
31,2012-11-19,0.010184185162999349
32,2012-11-21,-0.03247810212221225
33,2012-11-22,0.006420567802922772
34,2012-11-23,0.0055843782939004605
35,2012-11-26,0.0007952286701384814
36,2012-11-27,-0.006379606964038942
37,2012-11-28,0.016660440893107253
38,2012-11-29,0.015613119657188257
39,2012-11-30,-0.005436906596735902
40,2012-12-03,0.02385646036195821
41,2012-12-04,-0.01919444725614694
42,2012-12-05,-0.011696039763191557
43,2012-12-06,-0.011041121627606731
44,2012-12-07,0.03353140652167852
45,2012-12-10,0.02424361160999311
46,2012-12-11,0.03240342405465935
47,2012-12-12,-0.008002952862801838
48,2012-12-13,0.0007301935337218346
49,2012-12-14,0.0036429912785012064
50,2012-12-17,-0.022803489017576783
51,2012-12-18,0.030771658666753687
52,2012-12-19,0.031252543504104224
53,2012-12-20,-0.023347363996991
54,2012-12-21,-0.013693907683358209
55,2012-12-26,0.016553094763403386
56,2012-12-27,-0.016553094763403386
57,2012-12-28,0.01583906402974611
58,2013-01-02,0.00782643624946422
59,2013-01-03,0.0
60,2013-01-04,-0.018598533231374947
61,2013-01-07,-0.00506696704783538
62,2013-01-08,0.008670574551133736
63,2013-01-09,0.007168489478612372
64,2013-01-10,-0.0007145409378686018
65,2013-01-11,0.0007145409378686018
66,2013-01-14,-0.007888172849006114
67,2013-01-15,-0.024782609440542114
68,2013-01-16,-0.011131840368844514
69,2013-01-17,0.02941388520629351
70,2013-01-18,0.008658062743114314
71,2013-01-21,0.005016133771116316
72,2013-01-22,0.0
73,2013-01-23,-0.0057347827420382025
74,2013-01-24,-0.01960135352003567
75,2013-01-28,-0.005882369903066564
76,2013-01-29,0.02620237239402412
77,2013-01-30,-0.014472032608534136
78,2013-01-31,0.015907783034638356
79,2013-02-01,0.027592836507702945
80,2013-02-04,-0.01973284606032566
81,2013-02-05,0.02112754642587511
82,2013-02-06,-0.033300987126971826
83,2013-02-07,-0.01670943344768938
84,2013-02-08,-0.015504186535965303
85,2013-02-13,0.015504186535965303
86,2013-02-14,-0.01253241614680789
87,2013-02-15,0.030681734652485027
88,2013-02-18,-0.010850016024065656
89,2013-02-19,-0.016129381929883557
90,2013-02-20,-0.028487683558923393
91,2013-02-21,-0.015325970478226925
92,2013-02-22,0.018363178583676643
93,2013-02-25,0.003028011397641084
94,2013-02-26,0.003018870217252001
95,2013-02-27,0.0022581868835920282
96,2013-02-28,0.008236662065878697
97,2013-03-01,-0.018818771396415634
98,2013-03-04,0.0015186031771898811
99,2013-03-05,0.013564639034138626
100,2013-03-06,0.04750619224041586
101,2013-03-07,-0.01510276818575651
102,2013-03-08,0.01510276818575651
103,2013-03-11,0.006403437035206849
104,2013-03-12,-0.01933465170745574
105,2013-03-13,-0.020453598350956614
106,2013-03-14,0.008817103410148075
107,2013-03-15,0.00437956904402137
108,2013-03-18,-0.011721745933102046
109,2013-03-19,0.00880416545357976
110,2013-03-20,-0.016943315083775445
111,2013-03-21,-0.027873744294773406
112,2013-03-22,0.0068519491525527165
113,2013-03-25,0.003030305349179141
114,2013-03-26,0.010534333684959485
115,2013-03-27,0.009683502111164533
116,2013-03-28,0.011057982195651572
117,2013-04-01,0.00657656736456369
118,2013-04-02,-0.023582522486292667
119,2013-04-03,0.024310589500616153
120,2013-04-04,-0.004376374599798893
121,2013-04-05,0.00219058137981909
122,2013-04-08,-0.015435808129839579
123,2013-04-09,-0.0029673612278018346
124,2013-04-10,0.0314468325496704
125,2013-04-11,-0.020364340102877687
126,2013-04-12,-0.030587987071049483
127,2013-04-15,-0.007604599385219402
128,2013-04-16,0.01138532222512545
129,2013-04-17,-0.03377143652358816
130,2013-04-18,0.010097173164111517
131,2013-04-19,0.019893540519570596
132,2013-04-22,0.011299555253933224
133,2013-04-23,0.014870162479451832
134,2013-04-24,-0.017119882213467275
135,2013-04-25,0.024472856518725994
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.02930612658549947
139,2013-05-02,0.022135855632225976
140,2013-05-03,0.013328853940056451
141,2013-05-06,-0.004889985294191934
142,2013-05-07,0.00767356398783825
143,2013-05-08,-0.002086957279198387
144,2013-05-09,0.002086957279198387
145,2013-05-10,0.004160893659164611
146,2013-05-13,-0.016748472449431784
147,2013-05-14,0.000703482266085409
148,2013-05-15,0.0007029877266662155
149,2013-05-16,-0.011307540975463048
150,2013-05-17,0.0063762171392758304
