,Time,Returns_CSAN3
0,2012-10-02,0.0026925137606355065
1,2012-10-03,-0.002962443393569991
2,2012-10-04,-0.007848541095027084
3,2012-10-05,0.01750942960196733
4,2012-10-08,0.003996910932767328
5,2012-10-09,0.0007987724164095766
6,2012-10-10,0.0031823460210320675
7,2012-10-11,0.022265971721230127
8,2012-10-15,-0.04612510237017853
9,2012-10-16,0.0064901424047336675
10,2012-10-17,0.00992561703488315
11,2012-10-18,-0.0010696925172828387
12,2012-10-19,0.005859859979100435
13,2012-10-22,0.003978762997079777
14,2012-10-23,-0.017885104580017686
15,2012-10-24,-0.0075713033035240684
16,2012-10-25,0.0040619861904924726
17,2012-10-26,0.029821449345321493
18,2012-10-29,0.0020965468893319184
19,2012-10-30,0.017903622704428024
20,2012-10-31,0.001540885786854851
21,2012-11-01,0.022844542037927962
22,2012-11-05,-0.001257326588225638
23,2012-11-06,-0.013915248772446542
24,2012-11-07,-0.019291565370027186
25,2012-11-08,0.02234568466355613
26,2012-11-09,0.005065798785045317
27,2012-11-12,-0.01143641327143996
28,2012-11-13,0.008146668757243347
29,2012-11-14,-0.0035552398929485918
30,2012-11-16,-0.007408385238364179
31,2012-11-19,0.022558870019067978
32,2012-11-21,-0.00653844094643663
33,2012-11-22,-0.006832858212167281
34,2012-11-23,0.014371903832749222
35,2012-11-26,-0.009812382327806013
36,2012-11-27,0.0012651845168765163
37,2012-11-28,-0.0037946613997554834
38,2012-11-29,0.007323130864341998
39,2012-11-30,-0.011387206384299908
40,2012-12-03,-0.007410280484414056
41,2012-12-04,-0.007721426581388524
42,2012-12-05,0.0025814250127713656
43,2012-12-06,0.012805127328824994
44,2012-12-07,-0.0012749336714290571
45,2012-12-10,0.0038140520434870595
46,2012-12-11,0.005064773271861611
47,2012-12-12,0.005036423457097872
48,2012-12-13,-0.002513595584479056
49,2012-12-14,0.009275755906142269
50,2012-12-17,0.02732467193951127
51,2012-12-18,0.007740821223512384
52,2012-12-19,0.011022728571850937
53,2012-12-20,-0.0019083617715063284
54,2012-12-21,-0.0007149154039547412
55,2012-12-26,0.012347454761790999
56,2012-12-27,-0.00972417758632993
57,2012-12-28,-0.005016341978027139
58,2013-01-02,0.017803118572463195
59,2013-01-03,-0.006134473160733567
60,2013-01-04,-0.0018958303435754331
61,2013-01-07,0.0033145966921295233
62,2013-01-08,0.010581160685419366
63,2013-01-09,0.0021034511919930665
64,2013-01-10,-0.011504289521373945
65,2013-01-11,0.004241990449394439
66,2013-01-14,0.01563192764614385
67,2013-01-15,-0.010473079766157412
68,2013-01-16,0.0
69,2013-01-17,0.0018696667060749128
70,2013-01-18,0.00046751432942437887
71,2013-01-21,0.012753584298747178
72,2013-01-22,0.0
73,2013-01-23,0.0
74,2013-01-24,0.02480427762169768
75,2013-01-28,0.005603855224595389
76,2013-01-29,0.02123058972258285
77,2013-01-30,0.025706044944815876
78,2013-01-31,0.0023441120658529435
79,2013-02-01,0.0
80,2013-02-04,-0.010696008092593079
81,2013-02-05,0.012819585667551259
82,2013-02-06,-0.01540482717977909
83,2013-02-07,0.031203985375826804
84,2013-02-08,-0.023256499482186666
85,2013-02-13,-0.014001661298505663
86,2013-02-14,-0.002172233793411582
87,2013-02-15,0.010811650710504939
88,2013-02-18,0.0021488757965468785
89,2013-02-19,0.01067070987100438
90,2013-02-20,-0.020375920419829274
91,2013-02-21,-0.004341931562080958
92,2013-02-22,-0.004579778476339502
93,2013-02-25,0.001310274247728671
94,2013-02-26,-0.002186378375105935
95,2013-02-27,-0.00989483658611956
96,2013-02-28,0.030683970619747036
97,2013-03-01,-0.004081244251108007
98,2013-03-04,0.004936945381625701
99,2013-03-05,0.02724905952913037
100,2013-03-06,-0.0025024544485439115
101,2013-03-07,-0.02968355046221216
102,2013-03-08,-0.0012914693464005644
103,2013-03-11,0.00815412331784815
104,2013-03-12,0.004479613256701764
105,2013-03-13,0.0091059075107216
106,2013-03-14,-0.0025321334710333154
107,2013-03-15,-0.011693354218154983
108,2013-03-18,0.013382962675097865
109,2013-03-19,-0.02846564960935183
110,2013-03-20,-0.01730269558928521
111,2013-03-21,0.007483147303128934
112,2013-03-22,-0.025760987246365996
113,2013-03-25,0.0071733711765511465
114,2013-03-26,0.019465423872475185
115,2013-03-27,0.01154240359343861
116,2013-03-28,0.0
117,2013-04-01,-0.02166960011892094
118,2013-04-02,-0.01291848079230462
119,2013-04-03,0.0029089381807518855
120,2013-04-04,-0.0006716907324513244
121,2013-04-05,-0.006957527196879809
122,2013-04-08,0.0
123,2013-04-09,0.0076292179293311335
124,2013-04-10,0.01684581377085692
125,2013-04-11,-0.02560082709948741
126,2013-04-12,-0.017513548157230385
127,2013-04-15,-0.02981149738009803
128,2013-04-16,0.05137612509453682
129,2013-04-17,-0.023402008701899568
130,2013-04-18,0.04032404826462388
131,2013-04-19,-0.006868014836141523
132,2013-04-22,-0.004455120797309142
133,2013-04-23,0.028398483112137107
134,2013-04-24,0.009506620368640917
135,2013-04-25,-0.0019372139047160175
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.025749416541325676
139,2013-05-02,-0.012684059287498606
140,2013-05-03,0.006785517679431141
141,2013-05-06,-0.006785517679431141
142,2013-05-07,0.0
143,2013-05-08,-0.01500518368760817
144,2013-05-09,0.008599861841084522
145,2013-05-10,0.0029952063040461496
146,2013-05-13,-0.00599701835255706
147,2013-05-14,0.004073370183853786
148,2013-05-15,0.005333763711180772
149,2013-05-16,-0.018252342844871094
150,2013-05-17,0.018888947117819743
151,2013-05-20,0.023743604723645895
