,Time,Returns_QUAL3
0,2012-10-02,-0.007623925110658902
1,2012-10-03,-0.010256500167189486
2,2012-10-04,0.005141399500418586
3,2012-10-05,-0.0025673440913651646
4,2012-10-08,0.027885152075655117
5,2012-10-09,-0.025317807984289953
6,2012-10-10,0.007662872745569427
7,2012-10-11,0.0025413481900926627
8,2012-10-15,0.008592420385487465
9,2012-10-16,-0.02651868741505936
10,2012-10-17,-0.03149866705937132
11,2012-10-18,0.006379659958208439
12,2012-10-19,0.00686556679181205
13,2012-10-22,0.01047135195062765
14,2012-10-23,-0.0026076154904131066
15,2012-10-24,0.042929432885653984
16,2012-10-25,-0.00501510592295018
17,2012-10-26,-0.004030232358456232
18,2012-10-29,0.009045338281406412
19,2012-10-30,0.0148960546107757
20,2012-10-31,0.026746013762081855
21,2012-11-01,0.0028749420855986862
22,2012-11-05,-0.0004786312720859165
23,2012-11-06,0.01708636767174676
24,2012-11-07,0.011696039763191113
25,2012-11-08,0.00741430643922758
26,2012-11-09,0.0064426823506380515
27,2012-11-12,0.027151034937511476
28,2012-11-13,-0.04100802372737711
29,2012-11-14,-0.002328243139545272
30,2012-11-16,-0.0070176662270502455
31,2012-11-19,0.013986288923097945
32,2012-11-21,0.029648693922129876
33,2012-11-22,0.028794901947944762
34,2012-11-23,-0.042825410134259556
35,2012-11-26,-0.004110578884335414
36,2012-11-27,-0.009195467093100262
37,2012-11-28,-0.022420369301725085
38,2012-11-29,-0.057352936634464946
39,2012-11-30,0.03731409816439868
40,2012-12-03,0.014354265945743627
41,2012-12-04,-0.016283885500811834
42,2012-12-05,0.002411431176048584
43,2012-12-06,0.0019248803326603614
44,2012-12-07,0.005752700566374003
45,2012-12-10,0.0023871580299328343
46,2012-12-11,-0.004301082104938736
47,2012-12-12,-0.00047894611693966027
48,2012-12-13,-0.015451876724334568
49,2012-12-14,0.002430183515093276
50,2012-12-17,0.0024242436115065047
51,2012-12-18,0.0024184291734590246
52,2012-12-19,0.009615410390264145
53,2012-12-20,0.022238957154862238
54,2012-12-21,-0.0032810903586057982
55,2012-12-26,0.006551357077369868
56,2012-12-27,-0.01788292362194399
57,2012-12-28,0.007097262206570587
58,2013-01-02,0.013580213704599053
59,2013-01-03,0.0046403795565024275
60,2013-01-04,0.014706147389695445
61,2013-01-07,0.0036429912785012064
62,2013-01-08,0.021138588335138042
63,2013-01-09,-0.003120082832460014
64,2013-01-10,-0.013483350337287092
65,2013-01-11,-0.004535155165390936
66,2013-01-14,0.013544180264706718
67,2013-01-15,-0.010820665128583151
68,2013-01-16,-0.016914597551461963
69,2013-01-17,0.016914597551461963
70,2013-01-18,0.010820665128583151
71,2013-01-21,0.0022396874365551156
72,2013-01-22,-0.002688128798634004
73,2013-01-23,-0.01309573890262783
74,2013-01-24,-0.030927920875056802
75,2013-01-28,-0.01559209475983625
76,2013-01-29,-0.03390160093676631
77,2013-01-30,-0.015889063566249195
78,2013-01-31,0.030559302575127845
79,2013-02-01,0.0
80,2013-02-04,0.028710153052241782
81,2013-02-05,0.0112571539966142
82,2013-02-06,0.002794552289225649
83,2013-02-07,-0.014051706285839849
84,2013-02-08,-0.016647280602966497
85,2013-02-13,-0.06693948267510974
86,2013-02-14,0.025317807984289953
87,2013-02-15,0.004987541511039417
88,2013-02-18,0.0
89,2013-02-19,0.02214107721541181
90,2013-02-20,0.04519204285317491
91,2013-02-21,0.027524673390090015
92,2013-02-22,-0.004535155165390936
93,2013-02-25,-0.014191082415338396
94,2013-02-26,0.0018424233253604427
95,2013-02-27,-0.008318024122294876
96,2013-02-28,0.02655833872938551
97,2013-03-01,0.004508619100676459
98,2013-03-04,0.0013486178712938113
99,2013-03-05,0.018251118672038658
100,2013-03-06,0.018790153008310106
101,2013-03-07,-0.017467648987528506
102,2013-03-08,-0.02227263461694129
103,2013-03-11,-0.027399019233158572
104,2013-03-12,-0.0046403795565024275
105,2013-03-13,-0.020202707317519497
106,2013-03-14,0.014137888309529778
107,2013-03-15,-0.017465678402204254
108,2013-03-18,0.011363758650314804
109,2013-03-19,-0.001884967525960679
110,2013-03-20,-0.009478791124354125
111,2013-03-21,-0.019231361927887658
112,2013-03-22,-0.017136282242987022
113,2013-03-25,0.01080555726866983
114,2013-03-26,-0.030756343688018717
115,2013-03-27,-0.012674440896727646
116,2013-03-28,0.035583760118991226
117,2013-04-01,0.02191473194222482
118,2013-04-02,0.011494379425735168
119,2013-04-03,-0.02409755157906046
120,2013-04-04,-0.034742998948924964
121,2013-04-05,-0.0050632006900745985
122,2013-04-08,-0.003050434495541321
123,2013-04-09,-0.017981373251853672
124,2013-04-10,0.004138650287161205
125,2013-04-11,-0.002067235824889657
126,2013-04-12,-0.03099801640996347
127,2013-04-15,-0.04530106073765561
128,2013-04-16,0.03241151601165848
129,2013-04-17,-0.015250895137210563
130,2013-04-18,0.0179498981980184
131,2013-04-19,0.0064482224085447015
132,2013-04-22,0.002674460077009666
133,2013-04-23,0.030512626466725923
134,2013-04-24,0.0260817661335353
135,2013-04-25,-0.01936854684155387
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,-0.0030800331566842587
139,2013-05-02,-0.020780072399065652
140,2013-05-03,0.01562537039652101
141,2013-05-06,-0.006220859875102569
142,2013-05-07,0.005703930424459713
143,2013-05-08,0.0005169294506428557
144,2013-05-09,-0.002587375378424017
145,2013-05-10,-0.013562962213140572
146,2013-05-13,-0.004738097585343937
147,2013-05-14,-0.02241289003507463
148,2013-05-15,0.019770827801788737
149,2013-05-16,0.012618411712606026
150,2013-05-17,-0.015267419884182676
