,Time,Returns_ITSA4
0,2012-10-02,-0.002189027133445265
1,2012-10-03,-0.016564762528190835
2,2012-10-04,0.0033339815112138904
3,2012-10-05,0.008839942386309918
4,2012-10-08,0.0021986493490675496
5,2012-10-09,-0.02444677612646906
6,2012-10-10,-0.02390538530545383
7,2012-10-11,0.016001379687314632
8,2012-10-15,0.006778920045940051
9,2012-10-16,0.0033731433936250443
10,2012-10-17,-0.004499496209259712
11,2012-10-18,0.003376938472207325
12,2012-10-19,-0.0056351456672996125
13,2012-10-22,-0.011363044701328429
14,2012-10-23,-0.03252357276002038
15,2012-10-24,0.04501720173942414
16,2012-10-25,0.013453264184728475
17,2012-10-26,-0.013453264184728475
18,2012-10-29,0.002253975732651625
19,2012-10-30,0.010083820797353038
20,2012-10-31,-0.007833235140780381
21,2012-11-01,0.04396198609712432
22,2012-11-05,-0.004310403553932973
23,2012-11-06,0.00967201160878206
24,2012-11-07,-0.02490562275746777
25,2012-11-08,-0.021054071532747187
26,2012-11-09,-0.003363899861758446
27,2012-11-12,0.003363899861758446
28,2012-11-13,0.019957376180337105
29,2012-11-14,-0.018836914767527357
30,2012-11-16,0.002233828219655898
31,2012-11-19,0.03616833840473288
32,2012-11-21,0.01177167031047266
33,2012-11-22,0.010581440023901934
34,2012-11-23,0.011512948120374178
35,2012-11-26,-0.026358834482953064
36,2012-11-27,-0.010742169327561335
37,2012-11-28,0.007531457383205042
38,2012-11-29,0.020160458069403253
39,2012-11-30,0.009409088357906104
40,2012-12-03,0.02263420343292899
41,2012-12-04,-0.013312821422998278
42,2012-12-05,0.006165820454581361
43,2012-12-06,-0.013408952043841404
44,2012-12-07,0.007243131589260043
45,2012-12-10,0.0
46,2012-12-11,0.006165820454581361
47,2012-12-12,-0.006165820454581361
48,2012-12-13,-0.0010310860221121043
49,2012-12-14,-0.004136556892565979
50,2012-12-17,-0.006237875746512023
51,2012-12-18,0.006237875746512023
52,2012-12-19,0.0326230289375109
53,2012-12-20,-0.003013971910734048
54,2012-12-21,-0.0060553335643833694
55,2012-12-26,-0.00813022485070225
56,2012-12-27,-0.015423498611691233
57,2012-12-28,0.004136556892565979
58,2013-01-02,0.03448581016578367
59,2013-01-03,0.0314062747036179
60,2013-01-04,-0.004843766819411011
61,2013-01-07,-0.01270147548590983
62,2013-01-08,0.006859857213141529
63,2013-01-09,0.010685385092179311
64,2013-01-10,-0.008733414024559627
65,2013-01-11,0.00291865286120796
66,2013-01-14,0.007744564815614696
67,2013-01-15,-0.007744564815614696
68,2013-01-16,0.005814761163351667
69,2013-01-17,0.01629151331152512
70,2013-01-18,0.0028480390063287953
71,2013-01-21,-0.001898264133777472
72,2013-01-22,0.0
73,2013-01-23,0.0009488736561278355
74,2013-01-24,-0.004754822034074291
75,2013-01-28,-0.028034669998471706
76,2013-01-29,-0.0009805179649473583
77,2013-01-30,-0.014830274825552436
78,2013-01-31,0.003976195626451906
79,2013-02-01,-0.002981035236492291
80,2013-02-04,-0.025190180557394415
81,2013-02-05,0.022201723418063812
82,2013-02-06,-0.018128348445954012
83,2013-02-07,-0.00611553762619188
84,2013-02-08,0.01723288746825724
85,2013-02-13,-0.005037475479946041
86,2013-02-14,-0.005062980172628295
87,2013-02-15,0.045642608897227044
88,2013-02-18,0.010611781369459505
89,2013-02-19,-0.015472930302570687
90,2013-02-20,-0.0167093000813181
91,2013-02-21,-0.00895947777129047
92,2013-02-22,0.03149903772046159
93,2013-02-25,0.0019354088841567751
94,2013-02-26,-0.019530639594404153
95,2013-02-27,0.003937056385550086
96,2013-02-28,0.0146263469926462
97,2013-03-01,0.0029003488325838322
98,2013-03-04,-0.00386852150053274
99,2013-03-05,-0.0077822309354727
100,2013-03-06,0.019343186476274532
101,2013-03-07,0.007633711927429898
102,2013-03-08,0.029041144174944744
103,2013-03-11,-0.006483543302374661
104,2013-03-12,-0.014981721306060791
105,2013-03-13,-0.0009434994089070337
106,2013-03-14,-0.018104912430720654
107,2013-03-15,-0.002889177386143693
108,2013-03-18,0.015311484531813413
109,2013-03-19,-0.008583486799981221
110,2013-03-20,0.007633711927429898
111,2013-03-21,-0.011472532273118397
112,2013-03-22,-0.01160568029216158
113,2013-03-25,-0.007812630938586862
114,2013-03-26,0.007812630938586862
115,2013-03-27,0.0038835450970482466
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.017526695825230032
119,2013-04-03,0.0
120,2013-04-04,-0.025873131494826618
121,2013-04-05,0.0020148752410398263
122,2013-04-08,-0.001006177775265682
123,2013-04-09,0.023880520205135536
124,2013-04-10,0.01464208814861423
125,2013-04-11,0.005796464876135499
126,2013-04-12,-0.017492640911770607
127,2013-04-15,-0.020803000053383203
128,2013-04-16,0.020803000053383203
129,2013-04-17,-0.025820254542848975
130,2013-04-18,-0.03376279612202948
131,2013-04-19,0.024667506868544686
132,2013-04-22,-0.006110829185194122
133,2013-04-23,0.006110829185194122
134,2013-04-24,0.0040527349323733475
135,2013-04-25,0.005042554321111448
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.03473245447435369
139,2013-05-02,-0.010496488236223955
140,2013-05-03,0.014404439366948463
141,2013-05-06,-0.002202146485865919
142,2013-05-07,0.016402040848984
143,2013-05-08,0.01935490164180087
144,2013-05-09,-0.003220451547462533
145,2013-05-10,-0.011897367426245475
146,2013-05-13,-0.017564641222225896
147,2013-05-14,0.0022132712789240117
148,2013-05-15,0.017524683312427403
149,2013-05-16,-0.007629564102442643
150,2013-05-17,0.011963529651573435
151,2013-05-20,0.0075391725715552305
