,Time,Returns_SBSP3
0,2012-10-02,0.022015389904439076
1,2012-10-03,0.0206263478560329
2,2012-10-04,0.017616823891060118
3,2012-10-05,0.019528654083318386
4,2012-10-08,-0.019190682652205915
5,2012-10-09,-0.006325444819476722
6,2012-10-10,-0.0026116565484937126
7,2012-10-11,-0.017079913789667778
8,2012-10-15,0.01263777432111901
9,2012-10-16,0.008976711474125043
10,2012-10-17,-0.0032841096999511876
11,2012-10-18,-0.02703871409848313
12,2012-10-19,-0.00749034712724006
13,2012-10-22,0.01700995227821389
14,2012-10-23,-0.031327719648021723
15,2012-10-24,0.009724895925587784
16,2012-10-25,-0.009367391730043195
17,2012-10-26,0.008658890093808047
18,2012-10-29,0.019187591942762428
19,2012-10-30,0.019504886514245978
20,2012-10-31,-0.02322096704578902
21,2012-11-01,0.0002337479753942162
22,2012-11-05,0.010755888397638635
23,2012-11-06,-0.011223473899311998
24,2012-11-07,-0.007236459152697439
25,2012-11-08,-0.018570659968930592
26,2012-11-09,0.0003580597496748439
27,2012-11-12,-0.011398899507431004
28,2012-11-13,0.00901176571459228
29,2012-11-14,0.010708037417316074
30,2012-11-16,0.02084510372657533
31,2012-11-19,-0.011776301513081844
32,2012-11-21,-0.05706628571773997
33,2012-11-22,0.025253235582312517
34,2012-11-23,0.08912899055049328
35,2012-11-26,0.00044176287352781785
36,2012-11-27,-0.03422876045091083
37,2012-11-28,-0.0022947270933841857
38,2012-11-29,0.006297016515732334
39,2012-11-30,-0.013209494400103328
40,2012-12-03,0.01263777432111901
41,2012-12-04,-0.009403664909994003
42,2012-12-05,-0.01334281102203505
43,2012-12-06,-0.013281838462511075
44,2012-12-07,0.025123178920560818
45,2012-12-10,-0.014296766867706978
46,2012-12-11,-0.00023185809320835915
47,2012-12-12,-0.005283246473740455
48,2012-12-13,-0.01446668906394466
49,2012-12-14,0.020803243548570993
50,2012-12-17,-0.006336554484626333
51,2012-12-18,0.011118674489263292
52,2012-12-19,-0.0064222153797146575
53,2012-12-20,0.016844985202074003
54,2012-12-21,-0.0011515858054118588
55,2012-12-26,-0.0012707031952210457
56,2012-12-27,-0.0010399227234736408
57,2012-12-28,0.004270607014432493
58,2013-01-02,-0.0004628324860314059
59,2013-01-03,-0.01543465645348796
60,2013-01-04,-0.0007020007308300436
61,2013-01-07,0.008854607561457506
62,2013-01-08,-0.014018902754305618
63,2013-01-09,0.0057504997458752705
64,2013-01-10,0.015204889826996304
65,2013-01-11,0.008833038200532162
66,2013-01-14,0.010225003702854174
67,2013-01-15,-0.02066994124927879
68,2013-01-16,0.02225224249716895
69,2013-01-17,0.026065191725565207
70,2013-01-18,-0.003856758307233754
71,2013-01-21,0.014245727704464972
72,2013-01-22,0.006183179848175957
73,2013-01-23,-0.02374569329121723
74,2013-01-24,0.005192508851098676
75,2013-01-28,-0.006632082746535595
76,2013-01-29,0.0036530691501428514
77,2013-01-30,-0.020089938967031262
78,2013-01-31,0.011209752354135905
79,2013-02-01,0.00943031090183144
80,2013-02-04,0.03643476394556311
81,2013-02-05,0.006263990587552115
82,2013-02-06,-0.008608374536600127
83,2013-02-07,-0.014731740392802006
84,2013-02-08,-0.0071746987486589475
85,2013-02-13,0.00152727680480913
86,2013-02-14,0.0032626782081055516
87,2013-02-15,0.008539977318451353
88,2013-02-18,0.010495925154990537
89,2013-02-19,0.008696431926765502
90,2013-02-20,-0.00020909379368161396
91,2013-02-21,-0.01030112645023884
92,2013-02-22,-0.02048479236439249
93,2013-02-25,0.012664562841321558
94,2013-02-26,0.01505229404407915
95,2013-02-27,0.011796045853871728
96,2013-02-28,0.0049104422638190925
97,2013-03-01,0.00041566852128260834
98,2013-03-04,-0.015321426676242478
99,2013-03-05,-0.011809295189753044
100,2013-03-06,0.01444881997615255
101,2013-03-07,-0.0010543531032918274
102,2013-03-08,-0.0005292101980738373
103,2013-03-11,-0.00158601145991355
104,2013-03-12,-0.0037116096679103983
105,2013-03-13,-0.012288731678530507
106,2013-03-14,-0.003231020581446753
107,2013-03-15,-0.014670156907071519
108,2013-03-18,0.005893861200324313
109,2013-03-19,-0.031506469897772504
110,2013-03-20,-0.0038246902566752006
111,2013-03-21,0.002250034695038483
112,2013-03-22,0.025872738951730145
113,2013-03-25,0.03150443447440354
114,2013-03-26,-0.0021244345769231288
115,2013-03-27,0.0005299281847874759
116,2013-03-28,0.0005328373073885118
117,2013-04-01,-0.01338099354167177
118,2013-04-02,0.0
119,2013-04-03,0.002153930947888405
120,2013-04-04,0.0
121,2013-04-05,0.01207834289508991
122,2013-04-08,-0.01046677120686823
123,2013-04-09,0.0005377298108655282
124,2013-04-10,0.00961028275673792
125,2013-04-11,-0.024746779782636175
126,2013-04-12,0.007595265810269147
127,2013-04-15,-0.02462507425757865
128,2013-04-16,0.029910546694842388
129,2013-04-17,-0.012880738247532886
130,2013-04-18,0.0056474219438498174
131,2013-04-19,-0.00021446213578357742
132,2013-04-22,-0.05100819935101786
133,2013-04-23,-0.015049416995706277
134,2013-04-24,0.015504221258188178
135,2013-04-25,-0.0017108301570547546
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.012489047031767342
139,2013-05-02,0.011984633682172063
140,2013-05-03,-0.011275736098426137
141,2013-05-06,-0.029487897594781654
142,2013-05-07,-0.0128560450701114
143,2013-05-08,0.027349016401454485
144,2013-05-09,-0.005410256757024001
145,2013-05-10,0.0014456453286468829
146,2013-05-13,-0.030060913453365146
147,2013-05-14,-0.0033550822393002555
148,2013-05-15,-0.02572006327567733
149,2013-05-16,0.0057306747089849175
