,Time,Returns_CMIG4
0,2012-10-02,-0.016291491394654134
1,2012-10-03,-0.04665613974096949
2,2012-10-04,0.0004258846179157061
3,2012-10-05,0.053590004446569584
4,2012-10-08,0.0020406333637983387
5,2012-10-09,0.018940921152203583
6,2012-10-10,-0.023835492562612526
7,2012-10-11,0.027816007881908078
8,2012-10-15,0.01460836578112712
9,2012-10-16,0.014780330498340266
10,2012-10-17,-0.01360527023158875
11,2012-10-18,-0.033026697986604514
12,2012-10-19,0.029102593671264998
13,2012-10-22,-0.0023606395470907593
14,2012-10-23,-0.015481504782245192
15,2012-10-24,-0.0011947724039029772
16,2012-10-25,-0.010873233571586205
17,2012-10-26,-0.007321172509788365
18,2012-10-29,0.0024505646105752454
19,2012-10-30,0.010116509793299144
20,2012-10-31,-0.021576818888904725
21,2012-11-01,0.025195486181754045
22,2012-11-05,-0.02890024066244523
23,2012-11-06,-0.0024879943548250516
24,2012-11-07,-0.015014562467811299
25,2012-11-08,-0.04470350794612399
26,2012-11-09,0.031161698122880832
27,2012-11-12,-0.00813155636806906
28,2012-11-13,0.005142036948596829
29,2012-11-14,-0.015069928193015336
30,2012-11-16,-0.004350582469127229
31,2012-11-19,-0.0034834902002471857
32,2012-11-21,-0.002633958225894073
33,2012-11-22,0.045424685194617176
34,2012-11-23,0.03418283143452827
35,2012-11-26,0.00967086417157148
36,2012-11-27,-0.03219453000190642
37,2012-11-28,0.026560531840989388
38,2012-11-29,0.00763507260383367
39,2012-11-30,0.026848560565571056
40,2012-12-03,-0.009790031986240955
41,2012-12-04,-0.02469360118316377
42,2012-12-05,-0.03696352401736025
43,2012-12-06,0.050977486578991815
44,2012-12-07,0.010290237190964113
45,2012-12-10,0.0023527344158260632
46,2012-12-11,0.0027468339262433084
47,2012-12-12,0.01708135340136474
48,2012-12-13,-0.005402034633200881
49,2012-12-14,-0.012460758520070225
50,2012-12-17,-0.001965394174336943
51,2012-12-18,-0.012243429316245003
52,2012-12-19,0.00396321328186966
53,2012-12-20,0.013373839829489587
54,2012-12-21,-0.09542435407621364
55,2012-12-26,-0.04752221688181768
56,2012-12-27,0.007630545382657061
57,2012-12-28,0.010677535878855782
58,2013-01-02,0.017541965632858147
59,2013-01-03,0.0013036560459549484
60,2013-01-04,-0.05031501475953837
61,2013-01-07,-0.03295187556560153
62,2013-01-08,-0.02775881176586914
63,2013-01-09,0.054299000182232326
64,2013-01-10,0.016865093533683595
65,2013-01-11,0.004504543052207044
66,2013-01-14,-0.0013506057496459611
67,2013-01-15,-0.0017990679914769991
68,2013-01-16,0.02627044686325375
69,2013-01-17,0.010932636154800335
70,2013-01-18,0.015102413696467032
71,2013-01-21,0.014029090941875655
72,2013-01-22,0.0
73,2013-01-23,-0.04226240049653951
74,2013-01-24,-0.0061850108499448275
75,2013-01-28,-0.012041751189425742
76,2013-01-29,-0.004046357129009692
77,2013-01-30,-0.018641133624781592
78,2013-01-31,-0.008754219751171632
79,2013-02-01,0.018346702850549512
80,2013-02-04,0.007696218172567715
81,2013-02-05,-0.0009003467974069146
82,2013-02-06,0.0
83,2013-02-07,-0.0067958713751608
84,2013-02-08,-0.013731883649760857
85,2013-02-13,0.02278053417516457
86,2013-02-14,0.007184513514863156
87,2013-02-15,0.025607079757817175
88,2013-02-18,0.0026124217538967542
89,2013-02-19,-0.010932636154800335
90,2013-02-20,-0.0026411770595755613
91,2013-02-21,-0.015095340846132288
92,2013-02-22,0.014652227227237358
93,2013-02-25,0.022673847875948283
94,2013-02-26,0.010292940737981038
95,2013-02-27,0.004253339053947869
96,2013-02-28,-0.004682269788211624
97,2013-03-01,-0.005560223305404843
98,2013-03-04,-0.0017206021771412061
99,2013-03-05,0.002576528867989314
100,2013-03-06,0.03910365075612665
101,2013-03-07,0.05261045734719616
102,2013-03-08,-0.008641653768604485
103,2013-03-11,0.0003967262028337082
104,2013-03-12,-0.017509545258776793
105,2013-03-13,-0.008467169621143356
106,2013-03-14,0.018849874602318017
107,2013-03-15,0.011060275702507116
108,2013-03-18,0.014437380929572363
109,2013-03-19,-0.0007789809728873109
110,2013-03-20,-0.15028166537755716
111,2013-03-21,0.01342466685045407
112,2013-03-22,0.01104671202132268
113,2013-03-25,-0.01684422325306123
114,2013-03-26,0.021672779161855615
115,2013-03-27,0.010445205116141665
116,2013-03-28,0.022253059207029136
117,2013-04-01,0.0038035706701093908
118,2013-04-02,-0.008469952809506243
119,2013-04-03,-0.003835985686163834
120,2013-04-04,-0.002989402555137133
121,2013-04-05,0.0
122,2013-04-08,-0.010761288826331317
123,2013-04-09,0.02690418550055318
124,2013-04-10,0.02537990171262683
125,2013-04-11,-0.023693349797678565
126,2013-04-12,-0.01100406034786916
127,2013-04-15,-0.0012770276166733652
128,2013-04-16,0.009746980426179608
129,2013-04-17,-0.00041762104388975985
130,2013-04-18,0.024998049391266708
131,2013-04-19,0.024798086615962056
132,2013-04-22,0.0024060639504428494
133,2013-04-23,0.006783830049420292
134,2013-04-24,-0.0075892778486945645
135,2013-04-25,-0.0024080050261496844
136,2013-04-26,-0.012939546042193939
137,2013-04-29,0.015750295042476825
138,2013-04-30,0.022188664606968
139,2013-05-02,-0.058954983203390654
140,2013-05-03,0.0018720438566970365
141,2013-05-06,-0.006103357402681198
142,2013-05-07,0.008444798489563254
143,2013-05-08,0.0037311715296270975
144,2013-05-09,-0.007008196476396389
145,2013-05-10,0.013044092518313732
146,2013-05-13,-0.016801554034095112
147,2013-05-14,-0.0004698830458678138
148,2013-05-15,0.0037592241829060846
149,2013-05-16,0.009333560637666771
