,Time,Returns_RADL3
0,2012-10-02,0.001274654969154465
1,2012-10-03,0.008456752481069696
2,2012-10-04,0.018356835480681344
3,2012-10-05,-0.0037275254647224365
4,2012-10-08,0.004140833988344639
5,2012-10-09,0.0
6,2012-10-10,0.00041305515976652885
7,2012-10-11,-0.025519017613155892
8,2012-10-15,-0.03404771957568986
9,2012-10-16,0.012633625071873045
10,2012-10-17,0.023107532708964484
11,2012-10-18,-0.005939729086598788
12,2012-10-19,-0.021506205220963803
13,2012-10-22,0.012529910903981811
14,2012-10-23,-0.0160142349865926
15,2012-10-24,-0.0030587745063250793
16,2012-10-25,-0.01989015847921971
17,2012-10-26,0.0022296998706980986
18,2012-10-29,0.02376868004339805
19,2012-10-30,-0.01710943249684993
20,2012-10-31,-0.011123585218662413
21,2012-11-01,0.039048610924132365
22,2012-11-05,-0.01911443988296524
23,2012-11-06,-0.027569510178524048
24,2012-11-07,-0.003613373398513975
25,2012-11-08,0.015267516694067673
26,2012-11-09,-0.008503116605525385
27,2012-11-12,-0.011299555253933224
28,2012-11-13,-0.0323354275912946
29,2012-11-14,0.030060159312244483
30,2012-11-16,0.035797960317693445
31,2012-11-19,-0.007057814917047711
32,2012-11-21,0.007057814917047711
33,2012-11-22,-0.02447281147368141
34,2012-11-23,-0.008595438384907617
35,2012-11-26,-0.016953487770811737
36,2012-11-27,0.006448755650937166
37,2012-11-28,-0.019472102510023515
38,2012-11-29,-0.002813035141450815
39,2012-11-30,-0.014184588043598456
40,2012-12-03,-0.0023837436225804254
41,2012-12-04,0.01891304557379092
42,2012-12-05,0.032260816866746644
43,2012-12-06,0.01127407708164263
44,2012-12-07,-0.008104411760933239
45,2012-12-10,0.02588274667812973
46,2012-12-11,0.014866910690248147
47,2012-12-12,-0.006094968670273371
48,2012-12-13,0.020316280780473317
49,2012-12-14,-0.015958975411517695
50,2012-12-17,0.0
51,2012-12-18,0.004338401598598107
52,2012-12-19,0.006472514505617699
53,2012-12-20,-0.006472514505617699
54,2012-12-21,-0.002166891469039367
55,2012-12-26,-0.0021715101295587402
56,2012-12-27,0.008658105846561792
57,2012-12-28,-0.0056192495900493356
58,2013-01-02,0.018467348964451347
59,2013-01-03,-0.004264398786457679
60,2013-01-04,-0.012903404835908017
61,2013-01-07,-0.004338401598598107
62,2013-01-08,0.0
63,2013-01-09,0.0065005646030935615
64,2013-01-10,-0.0065005646030935615
65,2013-01-11,0.008658105846561792
66,2013-01-14,0.010718215760499028
67,2013-01-15,0.01271199294443992
68,2013-01-16,-0.0021074401454730385
69,2013-01-17,-0.027375618859399875
70,2013-01-18,0.006052850299933965
71,2013-01-21,-0.003454234718940352
72,2013-01-22,0.0
73,2013-01-23,0.003023107332703834
74,2013-01-24,-0.012584283829280896
75,2013-01-28,-0.004376418459449027
76,2013-01-29,-0.03844899167481053
77,2013-01-30,0.009525996065209874
78,2013-01-31,0.00450451212110492
79,2013-02-01,0.020463303471751182
80,2013-02-04,-0.009290002873626246
81,2013-02-05,0.0026630730932417634
82,2013-02-06,-0.007117423442621895
83,2013-02-07,0.0
84,2013-02-08,-0.004922766600050199
85,2013-02-13,-0.019937270719344813
86,2013-02-14,0.006841531816716984
87,2013-02-15,0.01891096428569794
88,2013-02-18,-0.026210266767309864
89,2013-02-19,-0.01522520759706536
90,2013-02-20,0.0004647920139446704
91,2013-02-21,-0.0009298001599664651
92,2013-02-22,0.032039398789661
93,2013-02-25,0.01564268767951038
94,2013-02-26,0.019759194326361307
95,2013-02-27,-0.010929070532190277
96,2013-02-28,0.0030721990369699803
97,2013-03-01,0.007856871495220297
98,2013-03-04,-0.03450147672216719
99,2013-03-05,0.0035938944160402997
100,2013-03-06,0.008928675587351442
101,2013-03-07,0.005319205686264095
102,2013-03-08,0.016659701032511354
103,2013-03-11,0.01937632160706082
104,2013-03-12,-0.00899560555250023
105,2013-03-13,0.010274062976185494
106,2013-03-14,0.010169537011111895
107,2013-03-15,-0.01572154785610147
108,2013-03-18,-0.026031838717946787
109,2013-03-19,0.010929070532190277
110,2013-03-20,-0.017544309650909362
111,2013-03-21,-0.042482664705395745
112,2013-03-22,-0.03189763860469341
113,2013-03-25,0.010431625879625983
114,2013-03-26,-0.009478791124354125
115,2013-03-27,0.014184588043598456
116,2013-03-28,0.011668744379021767
117,2013-04-01,0.02836425348217686
118,2013-04-02,-0.0076975702699040305
119,2013-04-03,-0.0022752682790501133
120,2013-04-04,-0.0022805482568108992
121,2013-04-05,-0.0018281083284095168
122,2013-04-08,0.008200501162717977
123,2013-04-09,0.040458950422774365
124,2013-04-10,-0.015368073801297566
125,2013-04-11,-0.01830812426839401
126,2013-04-12,-0.008599328651530236
127,2013-04-15,0.0
128,2013-04-16,-0.008673918995306895
129,2013-04-17,-0.010138289836293168
130,2013-04-18,-0.011178504852082494
131,2013-04-19,-0.003284028208709877
132,2013-04-22,0.021846046068769276
133,2013-04-23,0.018223738956451463
134,2013-04-24,-0.0067950431328283045
135,2013-04-25,0.0076975702699040305
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.005542693301760604
139,2013-05-02,0.005054042576448037
140,2013-05-03,0.0059402046743413095
141,2013-05-06,0.0022752682790501133
142,2013-05-07,0.011299555253933224
143,2013-05-08,0.020022959927969985
144,2013-05-09,-0.00884965932984505
145,2013-05-10,-0.004454350349380132
146,2013-05-13,0.01594365039713619
147,2013-05-14,-0.009269587655341915
148,2013-05-15,0.020193882444486277
149,2013-05-16,0.021071517102838833
150,2013-05-17,0.0021253568494672415
151,2013-05-20,0.0
