,Time,Returns_UGPA3
0,2012-10-02,0.006571743329172985
1,2012-10-03,-0.0061322794680021
2,2012-10-04,0.007005282588408601
3,2012-10-05,0.007822747326230228
4,2012-10-08,-0.00281784078488867
5,2012-10-09,-0.010254306287135417
6,2012-10-10,-0.01302302979042036
7,2012-10-11,0.02175675361882501
8,2012-10-15,-0.0744424528353127
9,2012-10-16,-0.012964211756333999
10,2012-10-17,0.010619474429518494
11,2012-10-18,-0.004705796919244776
12,2012-10-19,-0.02145498217106967
13,2012-10-22,0.017674259509837587
14,2012-10-23,-0.002132954849041635
15,2012-10-24,0.026686952656463703
16,2012-10-25,-0.004398733847923442
17,2012-10-26,-0.01684637426980018
18,2012-10-29,0.020320656941700044
19,2012-10-30,0.0023094237125595996
20,2012-10-31,-0.01745245076348123
21,2012-11-01,0.0023447373268155047
22,2012-11-05,-0.0070505342460602805
23,2012-11-06,0.011723463146294577
24,2012-11-07,0.00812536082387183
25,2012-11-08,0.017873963677986104
26,2012-11-09,-0.008667868951249602
27,2012-11-12,0.019285861067569687
28,2012-11-13,-0.014942546532434431
29,2012-11-14,-0.007785704545121952
30,2012-11-16,-0.0023014509053309595
31,2012-11-19,0.01826532451877938
32,2012-11-21,-0.004535177789825706
33,2012-11-22,-0.004555839366910952
34,2012-11-23,0.011350859926376078
35,2012-11-26,0.01900566968205597
36,2012-11-27,-0.016075407211964876
37,2012-11-28,0.012080706071845526
38,2012-11-29,0.0028865791430709997
39,2012-11-30,-0.024692568244472746
40,2012-12-03,0.013319984721124278
41,2012-12-04,-0.0065249641616591525
42,2012-12-05,0.0
43,2012-12-06,0.0033803299793748742
44,2012-12-07,-0.005640172749014294
45,2012-12-10,-0.0027186014913778145
46,2012-12-11,-0.0018165762984478917
47,2012-12-12,-0.004555839366910952
48,2012-12-13,-0.002285669566510773
49,2012-12-14,-0.004587186890200989
50,2012-12-17,0.002296166388789711
51,2012-12-18,0.0022910205014112783
52,2012-12-19,0.025975418926876603
53,2012-12-20,-0.011210880251957267
54,2012-12-21,0.018984445302320463
55,2012-12-26,-0.01067625775387615
56,2012-12-27,0.013327584951602578
57,2012-12-28,0.021177540486311486
58,2013-01-02,-0.010641907360039227
59,2013-01-03,-0.011418657475956273
60,2013-01-04,0.020114407922593003
61,2013-01-07,0.01716778197734392
62,2013-01-08,0.004246312067891722
63,2013-01-09,-0.0021209552184240366
64,2013-01-10,-0.012820645966215682
65,2013-01-11,-0.0023684153860283885
66,2013-01-14,-0.001941957713365916
67,2013-01-15,-0.0021621197612016196
68,2013-01-16,-0.004338423243619438
69,2013-01-17,-0.0026120824319360025
70,2013-01-18,-0.008316988100254274
71,2013-01-21,0.00984154460757658
72,2013-01-22,-0.005455550782484497
73,2013-01-23,0.015632037979416147
74,2013-01-24,-0.02001803180450823
75,2013-01-28,0.02817085559917487
76,2013-01-29,0.03071983719861704
77,2013-01-30,0.009076031867728318
78,2013-01-31,-0.013020768716555775
79,2013-02-01,0.019774053361596433
80,2013-02-04,-0.018734464942367524
81,2013-02-05,0.0026979574598966494
82,2013-02-06,-0.001036785981552324
83,2013-02-07,0.007235132336568917
84,2013-02-08,0.01715378016550817
85,2013-02-13,0.004242839102780671
86,2013-02-14,-0.004040328728594389
87,2013-02-15,0.0
88,2013-02-18,-0.01838666673626843
89,2013-02-19,0.01838666673626843
90,2013-02-20,0.020040750080156045
91,2013-02-21,0.0444344504823988
92,2013-02-22,-0.0001897883671801992
93,2013-02-25,-0.010303487548858126
94,2013-02-26,-0.020147931255507512
95,2013-02-27,0.0001957342751159885
96,2013-02-28,0.00371054033771534
97,2013-03-01,-0.008810649520344604
98,2013-03-04,-0.004730878178274001
99,2013-03-05,0.0015794277715732719
100,2013-03-06,-0.004745866135277499
101,2013-03-07,-0.021032301941517506
102,2013-03-08,0.0004046954113117174
103,2013-03-11,-0.009555770685489406
104,2013-03-12,0.029191825354333734
105,2013-03-13,0.0
106,2013-03-14,-0.008368289353055669
107,2013-03-15,0.004392121211195921
108,2013-03-18,0.000995500321182785
109,2013-03-19,0.008915383381818298
110,2013-03-20,-0.005538048228029169
111,2013-03-21,-0.008364876664828103
112,2013-03-22,-0.01085876355323423
113,2013-03-25,0.01624423582957224
114,2013-03-26,0.004564858576830311
115,2013-03-27,0.005726168220754335
116,2013-03-28,0.006084953568646245
117,2013-04-01,0.0005869705791821112
118,2013-04-02,0.008180762414429665
119,2013-04-03,-0.0009703833946361762
120,2013-04-04,-0.0079930243269839
121,2013-04-05,-0.017573736724704414
122,2013-04-08,-0.003992041189856188
123,2013-04-09,0.01882177386767303
124,2013-04-10,0.014032524296093474
125,2013-04-11,-0.004072516170883667
126,2013-04-12,-0.0005831276342038727
127,2013-04-15,-0.02023044502696303
128,2013-04-16,0.031252503821565636
129,2013-04-17,-0.0019248898739396836
130,2013-04-18,0.035024838300284244
131,2013-04-19,-0.0009306468709793236
132,2013-04-22,-0.003918262203468359
133,2013-04-23,0.005778690647053608
134,2013-04-24,0.007591926245087421
135,2013-04-25,-0.005734859804763293
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.003565028637404488
139,2013-05-02,-0.007142906511012015
140,2013-05-03,0.012559955392442923
141,2013-05-06,-0.003358838761465588
142,2013-05-07,0.013737026603334979
143,2013-05-08,-0.0003688179913976519
144,2013-05-09,-0.005919347493196003
145,2013-05-10,0.019293184027290522
146,2013-05-13,-0.006389852927170203
147,2013-05-14,0.005661635169958323
148,2013-05-15,0.0025463637126037497
149,2013-05-16,-0.00181814595539187
