,Time,Returns_VALE3
0,2012-10-02,-0.003861091340322975
1,2012-10-03,-0.01363209314691094
2,2012-10-04,0.01114209314037451
3,2012-10-05,-0.005277001699180328
4,2012-10-08,0.0326011074670407
5,2012-10-09,0.00537638413508601
6,2012-10-10,-0.01078169459309608
7,2012-10-11,0.013459152649398565
8,2012-10-15,0.0
9,2012-10-16,0.018805983229179812
10,2012-10-17,-0.014004693920484979
11,2012-10-18,-0.004801289308694834
12,2012-10-19,-0.02162257213391028
13,2012-10-22,0.0
14,2012-10-23,-0.028545599802146437
15,2012-10-24,-0.007053210224604811
16,2012-10-25,0.05481203829977277
17,2012-10-26,-0.007533046115141939
18,2012-10-29,0.006460345570777015
19,2012-10-30,0.004818023174330666
20,2012-10-31,0.0
21,2012-11-01,0.024790246298758145
22,2012-11-05,-0.00889592493777025
23,2012-11-06,0.004719489681835665
24,2012-11-07,-0.010518056195290448
25,2012-11-08,-0.022725265554051965
26,2012-11-09,0.008616073881139386
27,2012-11-12,-0.008075387195893846
28,2012-11-13,0.007002398852351099
29,2012-11-14,-0.01814533246546013
30,2012-11-16,-0.03080582158973666
31,2012-11-19,0.013159954542088403
32,2012-11-21,0.013812373906041842
33,2012-11-22,-0.004399237108729803
34,2012-11-23,0.01721110668268988
35,2012-11-26,-0.008431901016383136
36,2012-11-27,-0.0035572892409554413
37,2012-11-28,-0.016862901540389608
38,2012-11-29,0.04337240665505959
39,2012-11-30,0.0037303268835575665
40,2012-12-03,-0.00586816842466753
41,2012-12-04,-0.018359046471209783
42,2012-12-05,0.016216517531637553
43,2012-12-06,-0.006724975088575835
44,2012-12-07,0.011539132618679115
45,2012-12-10,0.01771835278488254
46,2012-12-11,0.022035835974542284
47,2012-12-12,0.01020422093566209
48,2012-12-13,0.005568148965318098
49,2012-12-14,0.0391042645966988
50,2012-12-17,0.019231337656043124
51,2012-12-18,0.0193356648781684
52,2012-12-19,-0.018145920523792824
53,2012-12-20,0.0047449911654386945
54,2012-12-21,-0.00855724271628544
55,2012-12-26,0.0066619092444892836
56,2012-12-27,-0.00023711609827969937
57,2012-12-28,0.00284223311708498
58,2013-01-02,0.042145599751133744
59,2013-01-03,-0.017153080010877453
60,2013-01-04,-0.015576230656895618
61,2013-01-07,-0.019877606676884874
62,2013-01-08,-0.007918505872882786
63,2013-01-09,0.004566838901785886
64,2013-01-10,0.010496231860049665
65,2013-01-11,-0.02086154088112968
66,2013-01-14,-0.00024238459448344685
67,2013-01-15,-0.0024265482041583297
68,2013-01-16,-0.006336799017338635
69,2013-01-17,0.001954030862243439
70,2013-01-18,-0.009069776488070946
71,2013-01-21,-0.0007389826396528854
72,2013-01-22,0.012002544285437455
73,2013-01-23,-0.005371155622064805
74,2013-01-24,-0.021027318232466286
75,2013-01-28,-0.030716946882220597
76,2013-01-29,0.011534178433845188
77,2013-01-30,-0.012565929866204861
78,2013-01-31,0.03822761473518943
79,2013-02-01,0.014548401811857126
80,2013-02-04,-0.00984010412002334
81,2013-02-05,-0.018715455344318066
82,2013-02-06,0.01127127732390898
83,2013-02-07,-0.02829193463476365
84,2013-02-08,0.007911257389706439
85,2013-02-13,-0.005863598624582078
86,2013-02-14,-0.013644155018417425
87,2013-02-15,-0.0072841892409738485
88,2013-02-18,-0.00681160611163234
89,2013-02-19,-0.010305256598555967
90,2013-02-20,-0.03266596241736508
91,2013-02-21,0.007109737359094481
92,2013-02-22,-0.027065998304661942
93,2013-02-25,0.004469281057456254
94,2013-02-26,0.019868120701235448
95,2013-02-27,0.010869726881713948
96,2013-02-28,0.02139116352629067
97,2013-03-01,-0.028170850511669343
98,2013-03-04,-0.030669651114599183
99,2013-03-05,-0.005345293357365666
100,2013-03-06,0.053547476709539854
101,2013-03-07,-0.0005349291167302539
102,2013-03-08,-0.028216765811665212
103,2013-03-11,0.009039864574711398
104,2013-03-12,-0.01041667876195751
105,2013-03-13,-0.040202180002731236
106,2013-03-14,0.004007992711365649
107,2013-03-15,-0.007744194733430909
108,2013-03-18,0.007744194733430909
109,2013-03-19,-0.0414173502807591
110,2013-03-20,0.022671249235539204
111,2013-03-21,0.008407094381679858
112,2013-03-22,0.002018746237679725
113,2013-03-25,-0.01334123635531892
114,2013-03-26,0.005822461779009025
115,2013-03-27,0.019546468256190774
116,2013-03-28,0.0
117,2013-04-01,-0.032694970127272516
118,2013-04-02,-0.022305757514298197
119,2013-04-03,0.061243568663630565
120,2013-04-04,-0.0333651613626027
121,2013-04-05,0.010763798468148345
122,2013-04-08,0.004042742900217444
123,2013-04-09,0.04204309417245122
124,2013-04-10,-0.03343474845429473
125,2013-04-11,-0.024878373414273458
126,2013-04-12,0.01280585001690282
127,2013-04-15,-0.06326700681274566
128,2013-04-16,0.022541374763627164
129,2013-04-17,-0.022541374763627164
130,2013-04-18,-0.0174025214884983
131,2013-04-19,0.00624995803987316
132,2013-04-22,0.008993734478838888
133,2013-04-23,0.030706257553381633
134,2013-04-24,0.005374751345761819
135,2013-04-25,0.015659914538815656
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.020327788192502805
139,2013-05-02,-0.02360684911241906
140,2013-05-03,0.00921382637774304
141,2013-05-06,0.0008872690085666157
142,2013-05-07,0.02970503790598178
143,2013-05-08,0.003151442365493029
144,2013-05-09,0.005420152972461345
145,2013-05-10,-0.026230065470921993
146,2013-05-13,-0.023641851372560474
147,2013-05-14,-0.019629136958534854
148,2013-05-15,-0.021267653522987207
149,2013-05-16,-0.023641700751742434
150,2013-05-17,0.013308181202495106
151,2013-05-20,0.03464618151516197
