,Time,Returns_PCAR4
0,2012-10-02,-0.006119817487847179
1,2012-10-03,0.013824264004256293
2,2012-10-04,0.0066805015694599845
3,2012-10-05,0.014711374376941144
4,2012-10-08,0.038304665556987416
5,2012-10-09,-0.026209530972647777
6,2012-10-10,0.008847660489597509
7,2012-10-11,-0.008220487132244436
8,2012-10-15,-0.005341998879208276
9,2012-10-16,-0.015348732518686958
10,2012-10-17,0.020586208917601212
11,2012-10-18,0.008842985337403242
12,2012-10-19,-0.006755265610970618
13,2012-10-22,0.0111991708725947
14,2012-10-23,-0.005998783261182972
15,2012-10-24,-0.009380194758043636
16,2012-10-25,-0.038533157628427794
17,2012-10-26,0.008235955122153804
18,2012-10-29,0.008597815292629818
19,2012-10-30,-0.0037524596081288664
20,2012-10-31,0.0010735612541585837
21,2012-11-01,-0.012958455919315881
22,2012-11-05,0.0010863787108448264
23,2012-11-06,0.0
24,2012-11-07,0.0016263393537157
25,2012-11-08,-0.021807486030424705
26,2012-11-09,0.00706582176996573
27,2012-11-12,0.006579169232349358
28,2012-11-13,0.01356808879554805
29,2012-11-14,-0.019047728648452278
30,2012-11-16,-0.0020901945083853235
31,2012-11-19,0.015298606076524557
32,2012-11-21,-0.0017357013249466036
33,2012-11-22,-0.0038096270220204786
34,2012-11-23,0.0040258516392750465
35,2012-11-26,0.010050672347515999
36,2012-11-27,-0.010810190391509877
37,2012-11-28,-0.006652735039356372
38,2012-11-29,0.010990212413035216
39,2012-11-30,-0.015266894190132163
40,2012-12-03,0.014618329554800802
41,2012-12-04,-0.003688912738347483
42,2012-12-05,-0.00654329450893254
43,2012-12-06,0.011854322927027816
44,2012-12-07,-0.0030320336664093617
45,2012-12-10,-0.0077287717152350055
46,2012-12-11,0.026423494107234546
47,2012-12-12,0.011114550381161159
48,2012-12-13,0.009115417041740237
49,2012-12-14,-0.003343544768469542
50,2012-12-17,-0.017738350695392313
51,2012-12-18,-0.010387469981465891
52,2012-12-19,-0.01354603131307286
53,2012-12-20,-0.011633567803087885
54,2012-12-21,-0.001657171077969366
55,2012-12-26,0.0006632024335111453
56,2012-12-27,0.005509831822906541
57,2012-12-28,-0.005509831822906541
58,2013-01-02,-0.01885011177202145
59,2013-01-03,0.006620560275057308
60,2013-01-04,0.02321902317277491
61,2013-01-07,-0.010768538729088561
62,2013-01-08,-0.007986113735173994
63,2013-01-09,0.017661134918879107
64,2013-01-10,0.006108392773468196
65,2013-01-11,-0.03271836777961301
66,2013-01-14,0.005378896923700083
67,2013-01-15,0.004126632471465719
68,2013-01-16,-0.0016709093070774728
69,2013-01-17,0.0055588373460073726
70,2013-01-18,-0.0006654090336626339
71,2013-01-21,0.002880364793800716
72,2013-01-22,-0.0011069089247790487
73,2013-01-23,-0.003883602929255936
74,2013-01-24,-0.014331684931280897
75,2013-01-28,0.0042753857343296175
76,2013-01-29,0.010500917299856916
77,2013-01-30,0.0012216509266469444
78,2013-01-31,0.04131050223428279
79,2013-02-01,0.0
80,2013-02-04,0.0010644193724163031
81,2013-02-05,0.011634535168072446
82,2013-02-06,-0.01964551543939219
83,2013-02-07,0.005880932701266772
84,2013-02-08,0.012185990076016395
85,2013-02-13,-0.0010537636572314213
86,2013-02-14,-0.004755742226977944
87,2013-02-15,0.0005294952515155771
88,2013-02-18,0.007909598173572618
89,2013-02-19,0.012006812166421632
90,2013-02-20,0.014937628388707047
91,2013-02-21,-0.004406562124913194
92,2013-02-22,-0.014691393606088177
93,2013-02-25,0.013766658198377968
94,2013-02-26,-0.0023672150152416194
95,2013-02-27,0.00718715907013312
96,2013-02-28,0.014724250437399
97,2013-03-01,0.0030197572890724445
98,2013-03-04,0.01318148913485473
99,2013-03-05,0.011636418565514894
100,2013-03-06,0.017011841612307066
101,2013-03-07,-0.03073340467856589
102,2013-03-08,0.008413215625814985
103,2013-03-11,0.03191286461260656
104,2013-03-12,-0.008629275781721901
105,2013-03-13,0.021435107922231467
106,2013-03-14,0.017657079500632555
107,2013-03-15,-0.022475610817099145
108,2013-03-18,0.00481853131646659
109,2013-03-19,-0.010421972639178101
110,2013-03-20,0.017466107258955255
111,2013-03-21,-0.012905013400192011
112,2013-03-22,-0.020884586192631893
113,2013-03-25,0.003768402144280536
114,2013-03-26,0.012555090189588114
115,2013-03-27,0.005698164408761919
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,0.016250315098436552
119,2013-04-03,0.008258221367834828
120,2013-04-04,-0.015083129497361902
121,2013-04-05,-0.0009385342281031939
122,2013-04-08,0.004216540775169975
123,2013-04-09,0.004012621833950014
124,2013-04-10,0.0011169616791040227
125,2013-04-11,-0.0003721819543107685
126,2013-04-12,-0.010383444348764925
127,2013-04-15,-0.032007451493752725
128,2013-04-16,0.025876619788681943
129,2013-04-17,-0.01295047494276158
130,2013-04-18,0.032280524806042266
131,2013-04-19,0.01766048459218794
132,2013-04-22,0.021378191766638466
133,2013-04-23,0.015585146699953256
134,2013-04-24,-0.0368721500642053
135,2013-04-25,-0.006769189801383746
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,-0.008072231217975734
139,2013-05-02,-0.009240219400973082
140,2013-05-03,0.021818992842693063
141,2013-05-06,-0.0021605878437442883
142,2013-05-07,0.009329104300774382
143,2013-05-08,-0.0035778392690311023
144,2013-05-09,0.002058846898322031
145,2013-05-10,-0.018592638555031904
146,2013-05-13,-0.0029194438102582154
147,2013-05-14,0.02303107473599919
148,2013-05-15,0.012422537635242037
149,2013-05-16,-0.025001337925284695
150,2013-05-17,0.011596165877229225
