,Time,Returns_BBAS3
0,2012-10-02,0.003992021269537904
1,2012-10-03,-0.010815246617663199
2,2012-10-04,-0.012563488452064675
3,2012-10-05,-0.042488689917897116
4,2012-10-08,-0.030239929049368452
5,2012-10-09,-0.0013166120250969193
6,2012-10-10,-0.01459875485787343
7,2012-10-11,0.029420342339824934
8,2012-10-15,-0.00043285002985182786
9,2012-10-16,-0.013072125427002756
10,2012-10-17,0.010471387129722398
11,2012-10-18,-0.006094968670273371
12,2012-10-19,-0.008771942019974777
13,2012-10-22,0.0
14,2012-10-23,-0.03132251518190321
15,2012-10-24,-0.010050289939820267
16,2012-10-25,0.019100170504782188
17,2012-10-26,-0.019100170504782188
18,2012-10-29,0.005037702433314362
19,2012-10-30,0.0009132877555648733
20,2012-10-31,-0.011014338059107232
21,2012-11-01,0.06347080781813608
22,2012-11-05,-0.028554498148629204
23,2012-11-06,0.024649090711375
24,2012-11-07,-0.02420355719745748
25,2012-11-08,-0.04556596673762048
26,2012-11-09,-0.023585997893229127
27,2012-11-12,-0.008629056212821506
28,2012-11-13,0.020019781584257323
29,2012-11-14,-0.001416812482179619
30,2012-11-16,-0.011885093549556469
31,2012-11-19,0.0014337397573394028
32,2012-11-21,0.0028611845255412938
33,2012-11-22,-0.004294924282880697
34,2012-11-23,0.02782542169307467
35,2012-11-26,0.017519996716323316
36,2012-11-27,0.0009137049725147506
37,2012-11-28,0.0
38,2012-11-29,0.017651555438488842
39,2012-11-30,-0.01719503865356886
40,2012-12-03,0.006822814887064599
41,2012-12-04,-0.00045341195305947934
42,2012-12-05,0.01797810219031204
43,2012-12-06,-0.0040169657220756605
44,2012-12-07,0.02123969177819296
45,2012-12-10,0.0069808311413401825
46,2012-12-11,0.0
47,2012-12-12,0.008658105846561792
48,2012-12-13,-0.027973939472095477
49,2012-12-14,-0.008010724102590405
50,2012-12-17,-0.004478198258639932
51,2012-12-18,0.03093481247822405
52,2012-12-19,0.05172840206434426
53,2012-12-20,0.0325231503832466
54,2012-12-21,0.007968209331715936
55,2012-12-26,-0.007968209331715936
56,2012-12-27,0.0023970846954908254
57,2012-12-28,0.021319441921825444
58,2013-01-02,0.00778210168236404
59,2013-01-03,0.019574603875957663
60,2013-01-04,-0.012237208390439847
61,2013-01-07,0.0061373418575332295
62,2013-01-08,0.011407005600559295
63,2013-01-09,0.009407406747895308
64,2013-01-10,-0.015094701698481927
65,2013-01-11,-0.01224188991845132
66,2013-01-14,0.03479927536533989
67,2013-01-15,-0.00746268374840664
68,2013-01-16,0.005974625465786421
69,2013-01-17,-0.0018633133768211074
70,2013-01-18,-0.023015466013362573
71,2013-01-21,-0.010358849384416224
72,2013-01-22,0.0
73,2013-01-23,-0.01672214738619271
74,2013-01-24,-0.003929278139889636
75,2013-01-28,-0.02754119449341852
76,2013-01-29,0.012467525507692923
77,2013-01-30,-0.008831892190410251
78,2013-01-31,-0.016260480549198597
79,2013-02-01,-0.004106823104917723
80,2013-02-04,-0.018692091859888293
81,2013-02-05,0.008766451649421914
82,2013-02-06,-0.005417767063490064
83,2013-02-07,-0.011769786982340324
84,2013-02-08,0.007162448989212145
85,2013-02-13,0.0016778946537634454
86,2013-02-14,-0.002517919920296041
87,2013-02-15,0.024897593638534943
88,2013-02-18,-0.01320151185853602
89,2013-02-19,0.018515278596185514
90,2013-02-20,-0.009420589842567217
91,2013-02-21,0.039932791028955084
92,2013-02-22,0.016859760265975243
93,2013-02-25,-0.0121260631570963
94,2013-02-26,-0.0007874410010710875
95,2013-02-27,0.029493834179930456
96,2013-02-28,0.0072395058042031835
97,2013-03-01,0.007941013708028688
98,2013-03-04,-0.0011305447055018902
99,2013-03-05,-0.005293055935999824
100,2013-03-06,0.01055820536890062
101,2013-03-07,0.00449106285376244
102,2013-03-08,0.018131819253171866
103,2013-03-11,-0.01366091024970384
104,2013-03-12,-0.011591081352864574
105,2013-03-13,-0.010206098797812313
106,2013-03-14,0.0037921926370629855
107,2013-03-15,-0.0026530241068076776
108,2013-03-18,-0.015682057548573436
109,2013-03-19,0.016440820848277582
110,2013-03-20,0.016920839566456625
111,2013-03-21,-0.0007460276501549679
112,2013-03-22,-0.007490634415723729
113,2013-03-25,-0.006033162982685969
114,2013-03-26,0.007911097806885703
115,2013-03-27,0.009337135995939772
116,2013-03-28,0.0
117,2013-04-01,0.02423912325319355
118,2013-04-02,0.0003628151747188113
119,2013-04-03,-0.019041256711792354
120,2013-04-04,-0.022808915518945483
121,2013-04-05,0.005281000480131581
122,2013-04-08,0.016418279246953382
123,2013-04-09,0.020876055697141904
124,2013-04-10,0.02115911824133976
125,2013-04-11,0.0049557623549847385
126,2013-04-12,0.001058761348242232
127,2013-04-15,-0.01779406380046833
128,2013-04-16,0.010714388212406334
129,2013-04-17,-0.019731581862594716
130,2013-04-18,-0.028295108285572024
131,2013-04-19,-0.008609448649878892
132,2013-04-22,0.0003759067818007722
133,2013-04-23,0.006368255034870707
134,2013-04-24,-0.021895928669335873
135,2013-04-25,-0.021605855884080594
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.011151091477745734
139,2013-05-02,-0.01155165228424515
140,2013-05-03,-0.006834117051178978
141,2013-05-06,-0.01708747771477226
142,2013-05-07,0.041789888660900054
143,2013-05-08,0.0019657565198896165
144,2013-05-09,-0.007094945016344223
145,2013-05-10,0.005522656925690317
146,2013-05-13,-0.0114739539988844
147,2013-05-14,0.005159805159921316
148,2013-05-15,-0.02322891788515813
149,2013-05-16,0.019659610110037473
150,2013-05-17,0.03398104659560097
