,Time,Returns_RAIL3
0,2015-04-06,0.011561274870047544
1,2015-04-07,-0.0964556361244342
2,2015-04-08,-0.012739465291502938
3,2015-04-09,0.04389153085280473
4,2015-04-10,0.024244507044797636
5,2015-04-13,0.017801285769583508
6,2015-04-14,0.0
7,2015-04-15,-0.011834931789297176
8,2015-04-16,0.011834931789297176
9,2015-04-17,-0.011834931789297176
10,2015-04-20,-0.030210861025083968
11,2015-04-22,0.012195726238198645
12,2015-04-23,-0.10200313373572278
13,2015-04-24,0.01333407255400143
14,2015-04-27,-0.06851320464447497
15,2015-04-28,-0.007122544097989181
16,2015-04-29,-0.09745396524762828
17,2015-04-30,0.023348225204377737
18,2015-05-04,0.04511706522940884
19,2015-05-05,0.00733127294684266
20,2015-05-06,-0.06795309436493602
21,2015-05-07,-0.039845211863952734
22,2015-05-08,0.016128879905145332
23,2015-05-11,-0.02429248833720754
24,2015-05-12,0.016260019601418207
25,2015-05-13,-0.03278993202835334
26,2015-05-14,0.06453873272295008
27,2015-05-15,0.04581018341911447
28,2015-05-18,0.007434244898252729
29,2015-05-19,0.0
30,2015-05-20,-0.04546200084095586
31,2015-05-21,-0.015625896492104552
32,2015-05-22,0.015625896492104552
33,2015-05-25,-0.015625896492104552
34,2015-05-26,-0.04839615313202561
35,2015-05-27,0.09455886030361027
36,2015-05-28,-0.015152364617244451
37,2015-05-29,-0.03891474352473612
38,2015-06-01,0.046519624827999984
39,2015-06-02,0.07302392131081836
40,2015-06-03,-0.035842581787793204
41,2015-06-05,-0.029633856209044573
42,2015-06-08,0.04412736127974348
43,2015-06-09,-0.0669418432469504
44,2015-06-10,-0.007722328712273185
45,2015-06-11,0.007722328712273185
46,2015-06-12,0.0
47,2015-06-15,-0.007722328712273185
48,2015-06-16,-0.015625896492104552
49,2015-06-17,0.007843469015693216
50,2015-06-18,0.015504756188684521
51,2015-06-19,-0.023348225204377737
52,2015-06-22,0.007843469015693216
53,2015-06-23,0.0077824274764113355
54,2015-06-24,0.015384446062235657
55,2015-06-25,-0.007662117349962472
56,2015-06-26,-0.023348225204377737
57,2015-06-29,0.0
58,2015-06-30,0.0
59,2015-07-01,0.023348225204377737
60,2015-07-02,0.03030542723042995
61,2015-07-03,-0.0074909452632230256
62,2015-07-06,-0.015152364617244451
63,2015-07-07,-0.03101034255434021
64,2015-07-08,-0.03200174284825952
65,2015-07-10,0.008096411169356
66,2015-07-13,0.008032468735789333
67,2015-07-14,-0.008032468735789333
68,2015-07-15,0.0
69,2015-07-16,0.008032468735789333
70,2015-07-17,-0.02429248833720754
71,2015-07-20,-0.033336514331623324
72,2015-07-21,-0.0521853023351837
73,2015-07-22,-0.07410815816270322
74,2015-07-23,-0.059424270798011714
75,2015-07-24,-0.06317839096298394
76,2015-07-27,0.05292290220295026
77,2015-07-28,-0.042111590427363454
78,2015-07-29,-0.021740786675383816
79,2015-07-30,0.05348921197673473
80,2015-07-31,-0.05348921197673473
81,2015-08-03,-0.0278572403475561
82,2015-08-04,0.010119264910572578
83,2015-08-05,0.08159035253973079
84,2015-08-06,-0.05837196807911882
85,2015-08-07,-0.01764167611727885
86,2015-08-10,-0.015695973253905704
87,2015-08-11,-0.00680146265826842
88,2015-08-12,-0.040633102178796454
89,2015-08-13,0.03263656132246884
90,2015-08-14,0.014798003514596036
91,2015-08-17,-0.03098235781330283
92,2015-08-18,0.042218849936929814
93,2015-08-19,-0.046891925659438005
94,2015-08-20,-0.05166423848458601
95,2015-08-21,-0.06100883673601709
96,2015-08-24,-0.006575778869741811
97,2015-08-25,-0.039008359727791264
98,2015-08-26,0.08035943917851807
99,2015-08-27,0.0012642118433185967
100,2015-08-28,0.021264027191243207
101,2015-08-31,-0.025063185998810855
102,2015-09-01,-0.07371848677369663
103,2015-09-02,0.010870072220944493
104,2015-09-03,0.057759160924750086
105,2015-09-04,-0.04433565261229644
106,2015-09-08,0.014559783582719366
107,2015-09-09,0.002624769040843189
108,2015-09-10,-0.040111971055217355
109,2015-09-11,0.04664302817951449
110,2015-09-14,0.028244243456687856
111,2015-09-15,-0.04531596812827687
112,2015-09-16,0.054137168083823406
113,2015-09-17,-0.026702274650602487
114,2015-09-18,-0.04750228682194524
115,2015-09-21,-0.07431576079344238
116,2015-09-22,-0.04009492309828788
117,2015-09-23,-0.0528893065987297
118,2015-09-24,-0.0374334541863004
119,2015-09-25,-0.03888939519229173
120,2015-09-28,0.00858522036076348
121,2015-09-29,0.0
122,2015-09-30,0.026981789332538142
123,2015-10-01,-0.0016642128260055955
124,2015-10-02,0.04878973428202604
125,2015-10-05,-0.014388176729432711
126,2015-10-06,0.022292577699828398
127,2015-10-07,0.08306662960461941
128,2015-10-08,0.1353426396617161
129,2015-10-09,0.12924918142933484
130,2015-10-13,-0.039709409668284845
131,2015-10-14,-0.07446525921886549
132,2015-10-15,-0.06304309977750089
133,2015-10-16,-0.03513820606618778
134,2015-10-19,0.025799140148174526
135,2015-10-20,0.05095733368589195
136,2015-10-21,-0.044277941981704094
137,2015-10-22,0.019776357907986375
138,2015-10-23,0.005208537959682236
139,2015-10-26,-0.07270935067482531
140,2015-10-27,0.032969354739297296
141,2015-10-28,0.0053910454011605324
142,2015-10-29,-0.0053910454011605324
143,2015-10-30,-0.008141456754308996
144,2015-11-03,0.03612474864948201
145,2015-11-04,-0.044333033169396296
146,2015-11-05,0.01228637960066803
147,2015-11-06,0.0
148,2015-11-09,-0.009542791732107814
149,2015-11-10,-0.00963473470322529
150,2015-11-11,-0.004159102705642681
151,2015-11-12,-0.02817001719114498
