,Time,Returns_WEGE3
0,2012-10-02,-0.02244472126883057
1,2012-10-03,-0.005152006412426857
2,2012-10-04,0.011555187581752335
3,2012-10-05,-0.012847627437541753
4,2012-10-08,0.011570045502409698
5,2012-10-09,0.0008526405241733315
6,2012-10-10,-0.022385770404955263
7,2012-10-11,0.02153312988078193
8,2012-10-15,0.001277581935132055
9,2012-10-16,-0.025863602385907125
10,2012-10-17,0.004357132595020907
11,2012-10-18,0.010811608951401652
12,2012-10-19,0.010694860839484566
13,2012-10-22,-0.02063641323882548
14,2012-10-23,0.007357227324858773
15,2012-10-24,-0.0038879280152337437
16,2012-10-25,0.007331840306068038
17,2012-10-26,-0.0008595872163521534
18,2012-10-29,0.0
19,2012-10-30,0.0008595872163521534
20,2012-10-31,0.002575451625208558
21,2012-11-01,0.002995593424246934
22,2012-11-05,0.032375758615613925
23,2012-11-06,-0.007057867297994402
24,2012-11-07,-0.00375755044617776
25,2012-11-08,-0.013049990186641658
26,2012-11-09,-0.004246122111123185
27,2012-11-12,-0.0008511707985650041
28,2012-11-13,0.0004262293876062806
29,2012-11-14,0.0004249414109587235
30,2012-11-16,0.07182606319986506
31,2012-11-19,-0.005958069593164694
32,2012-11-21,0.005958069593164694
33,2012-11-22,0.001978160647656768
34,2012-11-23,-0.0023746748297788223
35,2012-11-26,0.0
36,2012-11-27,0.0
37,2012-11-28,-0.001585567342488492
38,2012-11-29,0.011442378086069738
39,2012-11-30,0.06676984618610327
40,2012-12-03,-0.020395887737727048
41,2012-12-04,-0.001871418535179803
42,2012-12-05,0.06183364674871639
43,2012-12-06,-0.026805575363153533
44,2012-12-07,-0.011664122160253587
45,2012-12-10,-0.010317715315412368
46,2012-12-11,-0.00370463695736456
47,2012-12-12,0.038286452036722096
48,2012-12-13,0.01244319161952312
49,2012-12-14,-0.026853499914315293
50,2012-12-17,-0.018689640131552387
51,2012-12-18,0.007004258960552345
52,2012-12-19,0.009862312716647725
53,2012-12-20,0.0
54,2012-12-21,-0.009127365967203094
55,2012-12-26,0.011308989260697455
56,2012-12-27,0.006150855962256063
57,2012-12-28,-0.02668091758596347
58,2013-01-02,0.04135879935838149
59,2013-01-03,0.04380117073638168
60,2013-01-04,-0.01197480591625144
61,2013-01-07,-0.01211994162019936
62,2013-01-08,-0.04089371577374701
63,2013-01-09,0.007587082946666879
64,2013-01-10,-0.02185382621494769
65,2013-01-11,0.012443674813928496
66,2013-01-14,-0.012807513120540737
67,2013-01-15,-0.005540925209672309
68,2013-01-16,0.018348438330213046
69,2013-01-17,-0.013545170564812192
70,2013-01-18,-0.004803267765400854
71,2013-01-21,-0.014549802727570338
72,2013-01-22,0.014549802727570338
73,2013-01-23,0.011784382244992564
74,2013-01-24,-0.01661083278950226
75,2013-01-28,-0.032532468137473014
76,2013-01-29,-0.017839462301649345
77,2013-01-30,-0.005101052489684399
78,2013-01-31,-0.006314309185584399
79,2013-02-01,0.0074939439627463855
80,2013-02-04,-0.02587209394499501
81,2013-02-05,-0.032789578199325486
82,2013-02-06,0.02915451101361688
83,2013-02-07,-0.008534980613652099
84,2013-02-08,0.02020190078684525
85,2013-02-13,-0.014098363243487011
86,2013-02-14,0.014098363243487011
87,2013-02-15,0.015873750416244725
88,2013-02-18,-0.0063192953292543486
89,2013-02-19,0.004348930082116453
90,2013-02-20,-0.016305549207944914
91,2013-02-21,0.013935563522010863
92,2013-02-22,-0.0035645117386708947
93,2013-02-25,-0.007968887744501885
94,2013-02-26,-0.011262954997071528
95,2013-02-27,-0.010981764952261663
96,2013-02-28,0.08014045336753828
97,2013-03-01,0.01535966927809529
98,2013-03-04,-0.017255758304085766
99,2013-03-05,0.01091453377793039
100,2013-03-06,0.008195258545729889
101,2013-03-07,-0.008944508114932415
102,2013-03-08,0.003730948820372948
103,2013-03-11,-0.029525345011397253
104,2013-03-12,0.005746827431319712
105,2013-03-13,-0.006516238869555657
106,2013-03-14,0.011469588538863373
107,2013-03-15,-0.015317522946364015
108,2013-03-18,-0.017912945606671116
109,2013-03-19,0.029041534862497276
110,2013-03-20,-0.01615858865427411
111,2013-03-21,0.0058023760396528345
112,2013-03-22,0.010356212614621274
113,2013-03-25,-0.006890878964521452
114,2013-03-26,0.0011484554538139236
115,2013-03-27,-0.000768819899382045
116,2013-03-28,0.00038947615949513903
117,2013-04-01,-0.012366220786614424
118,2013-04-02,-0.005848874047938324
119,2013-04-03,0.002733529455751338
120,2013-04-04,-0.0312962769647811
121,2013-04-05,0.021891584190413926
122,2013-04-08,0.02526560189305549
123,2013-04-09,0.009555762917723865
124,2013-04-10,-0.009166586021935874
125,2013-04-11,0.023506598841287918
126,2013-04-12,-0.017389520133084257
127,2013-04-15,-0.047645607913291865
128,2013-04-16,0.003992899675947736
129,2013-04-17,-0.03239230572024887
130,2013-04-18,-0.00826418131473039
131,2013-04-19,0.02863173437154698
132,2013-04-22,-0.016259867778286807
133,2013-04-23,0.03858989978839977
134,2013-04-24,0.00902836074754454
135,2013-04-25,0.004677981058041958
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.03257693248942317
139,2013-05-02,0.007215395086611842
140,2013-05-03,0.0349928296651294
141,2013-05-06,0.023849358675740895
142,2013-05-07,0.012778753854031155
143,2013-05-08,0.01017024395343702
144,2013-05-09,-0.031191468714548698
145,2013-05-10,0.0017960043741123144
146,2013-05-13,0.01604810759917763
147,2013-05-14,-0.0007084205738232541
148,2013-05-15,0.0
149,2013-05-16,0.0010578458647345634
150,2013-05-17,-0.004247347190488249
151,2013-05-20,-0.002847793037286994
