,Time,Returns_SANB11
0,2012-10-02,-0.007277570988693416
1,2012-10-03,-0.00399202126953746
2,2012-10-04,-0.004008021397538641
3,2012-10-05,0.006006024060211779
4,2012-10-08,0.004646540055995629
5,2012-10-09,-0.024129857059688398
6,2012-10-10,-0.002717392976499866
7,2012-10-11,0.021535152551297898
8,2012-10-15,0.0019953448588965195
9,2012-10-16,-0.0033277900926749204
10,2012-10-17,-0.0006668889877037287
11,2012-10-18,-0.00669346541858884
12,2012-10-19,-0.017615631663884468
13,2012-10-22,-0.017931514941099458
14,2012-10-23,-0.011900735483718616
15,2012-10-24,-0.005649732542118979
16,2012-10-25,0.009164674649563498
17,2012-10-26,-0.028471674081311793
18,2012-10-29,-0.0014450869566808855
19,2012-10-30,0.0
20,2012-10-31,0.008639362590707744
21,2012-11-01,0.040047501129275354
22,2012-11-05,-0.017367577907904774
23,2012-11-06,0.009068775093209691
24,2012-11-07,-0.021053409197832273
25,2012-11-08,-0.012130009592408175
26,2012-11-09,0.005012541823544048
27,2012-11-12,0.0035650661644965886
28,2012-11-13,0.01763714148610651
29,2012-11-14,-0.026214749474147148
30,2012-11-16,-0.01300596367913398
31,2012-11-19,0.022295062269938715
32,2012-11-21,0.023894320199435715
33,2012-11-22,0.0069204428445739374
34,2012-11-23,0.018449447116759554
35,2012-11-26,-0.024675686531857366
36,2012-11-27,-0.02316705928153473
37,2012-11-28,0.020387349361037366
38,2012-11-29,0.014508026489578718
39,2012-11-30,-0.005502077153983542
40,2012-12-03,-0.018796237324767873
41,2012-12-04,-0.0007029877266662155
42,2012-12-05,0.009100517830535448
43,2012-12-06,0.007636274524988718
44,2012-12-07,0.006204776886882701
45,2012-12-10,0.0
46,2012-12-11,0.0
47,2012-12-12,-0.004132237284910634
48,2012-12-13,0.015068778280755257
49,2012-12-14,-0.001360544427560395
50,2012-12-17,0.0047538289865407535
51,2012-12-18,0.000677277370961793
52,2012-12-19,0.005401768705420196
53,2012-12-20,0.006711434587987064
54,2012-12-21,0.0033389012655145045
55,2012-12-26,-0.010050335853501569
56,2012-12-27,-0.01355952978563213
57,2012-12-28,0.021607862968460623
58,2013-01-02,-0.018200704646846422
59,2013-01-03,0.025521868795119307
60,2013-01-04,-0.009996751028710893
61,2013-01-07,-0.00942133482839047
62,2013-01-08,0.01875473591569543
63,2013-01-09,0.009247093632797743
64,2013-01-10,0.04938483406692695
65,2013-01-11,-0.029852963149681333
66,2013-01-14,0.011538589556493672
67,2013-01-15,-0.01089405198986837
68,2013-01-16,0.005782219772267894
69,2013-01-17,-0.007071710602139625
70,2013-01-18,0.001933613235394649
71,2013-01-21,-0.005812092563965532
72,2013-01-22,-0.03225024475993443
73,2013-01-23,-0.014825069362156551
74,2013-01-24,-0.006128721941373261
75,2013-01-28,-0.006166514915664223
76,2013-01-29,-0.0020639842208516335
77,2013-01-30,0.0006884681855416908
78,2013-01-31,0.008224857880884784
79,2013-02-01,0.012211820686764518
80,2013-02-04,-0.005409073364011974
81,2013-02-05,-0.01022155407153802
82,2013-02-06,-0.002743485945750912
83,2013-02-07,-0.020819627782389993
84,2013-02-08,0.008379937306750573
85,2013-02-13,-0.01612372820365371
86,2013-02-14,0.0014124296133424252
87,2013-02-15,0.033995642755916045
88,2013-02-18,-0.004786333923811004
89,2013-02-19,-0.011720230677891408
90,2013-02-20,-0.0055632966853287336
91,2013-02-21,-0.022567953565030052
92,2013-02-22,0.021172279926055637
93,2013-02-25,-0.0013976242666382532
94,2013-02-26,-0.00210010577711639
95,2013-02-27,0.00210010577711639
96,2013-02-28,0.005578815027039052
97,2013-03-01,0.006930034664669904
98,2013-03-04,-0.0041522551007675546
99,2013-03-05,0.0020782827016381233
100,2013-03-06,0.05060101329378952
101,2013-03-07,0.0026281224062696396
102,2013-03-08,0.041136905560489545
103,2013-03-11,-0.026804412659713783
104,2013-03-12,-0.025550030520872014
105,2013-03-13,0.0
106,2013-03-14,-0.0013280214435189563
107,2013-03-15,0.022989518224698635
108,2013-03-18,-0.006514681021193791
109,2013-03-19,-0.02180462996685284
110,2013-03-20,0.005329792763347996
111,2013-03-21,-0.008005379643786004
112,2013-03-22,-0.014165498250368724
113,2013-03-25,-0.027549951768230496
114,2013-03-26,0.009037253025941272
115,2013-03-27,-0.0097358209900813
116,2013-03-28,0.0
117,2013-04-01,0.01250016276423116
118,2013-04-02,-0.018106344230830018
119,2013-04-03,0.011181108797515549
120,2013-04-04,-0.019649755034553795
121,2013-04-05,0.0
122,2013-04-08,-0.002838894738424802
123,2013-04-09,0.010604553248796833
124,2013-04-10,0.02018864252100183
125,2013-04-11,0.0034399758724434903
126,2013-04-12,-0.007583628210098947
127,2013-04-15,-0.004856062265540473
128,2013-04-16,0.015183176421390332
129,2013-04-17,-0.020761991448429384
130,2013-04-18,-0.0006995453240854488
131,2013-04-19,0.02009073463873623
132,2013-04-22,0.0006856359541820289
133,2013-04-23,-0.002745368917192792
134,2013-04-24,0.0006870491510384547
135,2013-04-25,-0.025036078161325026
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.034605529177475614
139,2013-05-02,-0.017153079226249535
140,2013-05-03,-0.01393750784378156
141,2013-05-06,-0.007042282625412621
142,2013-05-07,0.0374523660965389
143,2013-05-08,-0.006145461471494862
144,2013-05-09,-0.00411805660891762
145,2013-05-10,-0.009675265523418464
146,2013-05-13,-0.011173300598124936
147,2013-05-14,-0.005633817718256218
148,2013-05-15,0.013328853940056451
149,2013-05-16,0.030877238564439136
150,2013-05-17,-0.0033840979842403307
