,Time,Returns_JBSS3
0,2012-10-02,-0.012030220276542103
1,2012-10-03,-0.016781476962003605
2,2012-10-04,-0.001539646185592769
3,2012-10-05,0.015290817798417233
4,2012-10-08,0.03430612334095495
5,2012-10-09,-0.01924559771523371
6,2012-10-10,-0.022676708671029777
7,2012-10-11,0.03160533941533128
8,2012-10-15,-0.005943553900848109
9,2012-10-16,0.01037815096871375
10,2012-10-17,-0.011869575555383705
11,2012-10-18,0.032308243232657796
12,2012-10-19,-0.017493157447517227
13,2012-10-22,0.0073260400920727164
14,2012-10-23,-0.052446475372542434
15,2012-10-24,-0.006172859107080875
16,2012-10-25,0.01383573185265008
17,2012-10-26,0.015151805020602316
18,2012-10-29,-0.0015048911794204312
19,2012-10-30,0.0030075210639552985
20,2012-10-31,-0.013605652055778572
21,2012-11-01,0.047557252529047966
22,2012-11-05,-0.029457210885430074
23,2012-11-06,0.01924559771523371
24,2012-11-07,-0.01775194545845027
25,2012-11-08,-0.008995562908578059
26,2012-11-09,-0.010598130991823274
27,2012-11-12,-0.0076394565579576135
28,2012-11-13,0.0015325673497781356
29,2012-11-14,-0.03110670713225483
30,2012-11-16,-0.04524196411333481
31,2012-11-19,0.029318060756611697
32,2012-11-21,-0.021087561620096285
33,2012-11-22,-0.024897551621727132
34,2012-11-23,0.024897551621727132
35,2012-11-26,-0.050430853626891814
36,2012-11-27,0.023851215822179972
37,2012-11-28,-0.013559529785632352
38,2012-11-29,-0.03472571137382974
39,2012-11-30,-0.04517479935670132
40,2012-12-03,0.030939683534829454
41,2012-12-04,0.010695289116747775
42,2012-12-05,-0.06975303876034888
43,2012-12-06,0.06263557099148498
44,2012-12-07,0.0035650661644961446
45,2012-12-10,0.03668533645680139
46,2012-12-11,-0.027827882622740274
47,2012-12-12,-0.02319461698046843
48,2012-12-13,0.05273629608094321
49,2012-12-14,0.018660422717402758
50,2012-12-17,-0.0411721958896194
51,2012-12-18,0.031036973995576256
52,2012-12-19,0.0033898337545117396
53,2012-12-20,0.02671277365340008
54,2012-12-21,-0.023334392061773013
55,2012-12-26,0.0033670065479043387
56,2012-12-27,0.015012792389185181
57,2012-12-28,-0.006644542718668545
58,2013-01-02,0.02306527293099614
59,2013-01-03,0.009724549891994894
60,2013-01-04,0.03018497633839745
61,2013-01-07,-0.04480749520593941
62,2013-01-08,0.0
63,2013-01-09,0.017843133567583935
64,2013-01-10,0.011191163961261186
65,2013-01-11,-0.006379606964038942
66,2013-01-14,0.0015987213636969866
67,2013-01-15,-0.0015987213636969866
68,2013-01-16,0.023716526617316047
69,2013-01-17,0.0650266832170725
70,2013-01-18,0.03877011046457102
71,2013-01-21,-0.0014094435032336872
72,2013-01-22,0.0
73,2013-01-23,0.03737459219674877
74,2013-01-24,0.030771658666753687
75,2013-01-28,0.0026315804660561604
76,2013-01-29,0.01564569072573585
77,2013-01-30,-0.03020584205706589
78,2013-01-31,0.01718482475410088
79,2013-02-01,-0.02119284615163952
80,2013-02-04,-0.009414998934601737
81,2013-02-05,0.01741504160167784
82,2013-02-06,-0.024194728587056957
83,2013-02-07,-0.010944021679317295
84,2013-02-08,-0.026482383839799395
85,2013-02-13,0.03196936605605871
86,2013-02-14,-0.008241804895103844
87,2013-02-15,0.006872879287762146
88,2013-02-18,0.020339684237122846
89,2013-02-19,-0.03970405141891398
90,2013-02-20,-0.03409421134297608
91,2013-02-21,-0.0028943580263645075
92,2013-02-22,-0.02643325706815558
93,2013-02-25,0.035091319811270116
94,2013-02-26,0.03944173205129675
95,2013-02-27,-0.03228350535112634
96,2013-02-28,-0.02163025930870477
97,2013-03-01,-0.03863779270541423
98,2013-03-04,0.031322471129041185
99,2013-03-05,-0.031322471129041185
100,2013-03-06,0.015037877364540764
101,2013-03-07,0.045230174649578236
102,2013-03-08,0.004270469123452303
103,2013-03-11,0.028013036227674037
104,2013-03-12,-0.020935865853588975
105,2013-03-13,-0.00282486063555476
106,2013-03-14,-0.021444710278903045
107,2013-03-15,0.04105318166727945
108,2013-03-18,-0.04685029935160556
109,2013-03-19,-0.0014545457109942372
110,2013-03-20,-0.016141216179385243
111,2013-03-21,0.0029542118974315024
112,2013-03-22,0.010271550321829581
113,2013-03-25,-0.025130664725579566
114,2013-03-26,0.030953097477012914
115,2013-03-27,-0.010211613170196365
116,2013-03-28,-0.0029368596733096997
117,2013-04-01,-0.0029455102297568647
118,2013-04-02,-0.03910272601374265
119,2013-04-03,-0.0030721990369702024
120,2013-04-04,-0.007722046093910251
121,2013-04-05,-0.006220859875102347
122,2013-04-08,0.042754603207558306
123,2013-04-09,-0.005997019472374188
124,2013-04-10,0.0015026298845348673
125,2013-04-11,-0.024317307650706388
126,2013-04-12,-0.018634079544892934
127,2013-04-15,-0.05808083803596875
128,2013-04-16,0.014839513862774378
129,2013-04-17,-0.029902560173870052
130,2013-04-18,0.029902560173870052
131,2013-04-19,0.0032679767646159874
132,2013-04-22,-0.0016326534238852997
133,2013-04-23,0.009756174945364737
134,2013-04-24,-0.004866189651172803
135,2013-04-25,-0.011447385840350988
136,2013-04-26,-0.016584128015535216
137,2013-04-29,0.005004180584575746
138,2013-04-30,0.05974334880958221
139,2013-05-02,-0.01579811687659105
140,2013-05-03,-0.01443489378360252
141,2013-05-06,-0.01628700497469926
142,2013-05-07,0.03707112643696053
143,2013-05-08,0.025001302205417186
144,2013-05-09,-0.015552413007484889
145,2013-05-10,-0.03023301066019357
146,2013-05-13,0.01761454670098206
147,2013-05-14,-0.019231361927887436
148,2013-05-15,0.0611955610269197
