,Time,Returns_ECOR3
0,2012-10-02,0.0
1,2012-10-03,0.012874513122049791
2,2012-10-04,0.007204298069957815
3,2012-10-05,0.0022062335974273317
4,2012-10-08,-0.004417456106722284
5,2012-10-09,0.0016588336676428561
6,2012-10-10,0.0016560313377800284
7,2012-10-11,-0.0022086702023562665
8,2012-10-15,0.0027600901529933886
9,2012-10-16,-0.007747631664032806
10,2012-10-17,-0.047208082986780475
11,2012-10-18,0.0075427687908793395
12,2012-10-19,0.0028860626926050514
13,2012-10-22,0.008608374536600127
14,2012-10-23,-0.011494437229205179
15,2012-10-24,0.013207312277943917
16,2012-10-25,0.003985146065899059
17,2012-10-26,-0.005698021114637797
18,2012-10-29,0.005698021114637797
19,2012-10-30,0.002836881335199326
20,2012-10-31,0.005086193502127578
21,2012-11-01,-0.007923074837326904
22,2012-11-05,0.014104606181541968
23,2012-11-06,0.005586662418944233
24,2012-11-07,0.0005568365501722461
25,2012-11-08,-0.0033462943480557783
26,2012-11-09,0.007236379831632611
27,2012-11-12,-0.018472396601384666
28,2012-11-13,-0.002828912697651287
29,2012-11-14,-0.002836881335199326
30,2012-11-16,0.0034032931317073967
31,2012-11-19,-0.003971636426347125
32,2012-11-21,-0.007990852794441672
33,2012-11-22,0.0085591960890814
34,2012-11-23,0.0196912686004862
35,2012-11-26,-0.022536277712776442
36,2012-11-27,-0.0028530120023475547
37,2012-11-28,-0.01845496437335914
38,2012-11-29,-0.0046674530474950515
39,2012-11-30,-0.0023419800617303643
40,2012-12-03,-0.012385826648513287
41,2012-12-04,0.0029629651306568583
42,2012-12-05,-0.007722046093910251
43,2012-12-06,0.022406597776831294
44,2012-12-07,-0.0011669196530381676
45,2012-12-10,-0.0011681076094562926
46,2012-12-11,-0.013533716423351105
47,2012-12-12,0.0011841920029245223
48,2012-12-13,-0.014903405502574962
49,2012-12-14,-0.009049835519917782
50,2012-12-17,0.0048367688006139
51,2012-12-18,0.00541354705555408
52,2012-12-19,0.013702925166324764
53,2012-12-20,-0.005934795043625485
54,2012-12-21,0.0005950610467206907
55,2012-12-26,0.0
56,2012-12-27,0.018273541192686427
57,2012-12-28,0.010459014575454173
58,2013-01-02,0.00518882716161384
59,2013-01-03,0.009158622069938893
60,2013-01-04,0.01694961529383221
61,2013-01-07,-0.02438453680129138
62,2013-01-08,0.0
63,2013-01-09,-0.018540507915742577
64,2013-01-10,-0.005277057100844029
65,2013-01-11,0.05657035148839418
66,2013-01-14,-0.0156778691526398
67,2013-01-15,0.0156778691526398
68,2013-01-16,0.0
69,2013-01-17,-0.0156778691526398
70,2013-01-18,-0.018798617881647495
71,2013-01-21,-0.017987082501453422
72,2013-01-22,0.0
73,2013-01-23,0.03565650771653317
74,2013-01-24,-0.013652202939271163
75,2013-01-28,-0.013260442597847533
76,2013-01-29,-0.005237195713263532
77,2013-01-30,0.024778047372431278
78,2013-01-31,0.0028417750627149907
79,2013-02-01,0.010725363891616269
80,2013-02-04,0.013385588223889133
81,2013-02-05,-0.01901623404775954
82,2013-02-06,0.016242362566697643
83,2013-02-07,-0.0038964702791228767
84,2013-02-08,-0.013475722916236776
85,2013-02-13,0.011242276922672101
86,2013-02-14,0.006129916272687552
87,2013-02-15,-0.016807061819207547
88,2013-02-18,0.0
89,2013-02-19,-0.01709448985647377
90,2013-02-20,-0.005763762520219817
91,2013-02-21,-0.01631732055503532
92,2013-02-22,-0.005301927000183948
93,2013-02-25,0.008820992215379686
94,2013-02-26,0.0005853087670755208
95,2013-02-27,0.0
96,2013-02-28,0.004670177781884721
97,2013-03-01,0.0017457670495564237
98,2013-03-04,0.002902701518428419
99,2013-03-05,-0.006397288650794142
100,2013-03-06,-0.014101232897547167
101,2013-03-07,-0.01130633916613144
102,2013-03-08,0.019556297323717775
103,2013-03-11,0.0023446082738098895
104,2013-03-12,-0.003519065215195738
105,2013-03-13,-0.00589276896715063
106,2013-03-14,0.005305052229692908
107,2013-03-15,-0.009450749609399622
108,2013-03-18,-0.002376768866247936
109,2013-03-19,0.008294004891384876
110,2013-03-20,-0.002954270894480082
111,2013-03-21,0.0005915409814614137
112,2013-03-22,-0.0065263360250868985
113,2013-03-25,0.0065263360250868985
114,2013-03-26,0.01117330059812538
115,2013-03-27,0.00291971010333425
116,2013-03-28,0.013897097249928603
117,2013-04-01,-0.008663005626330378
118,2013-04-02,0.012107440719478113
119,2013-04-03,-0.009789884708746754
120,2013-04-04,-0.018692249844787234
121,2013-04-05,-0.004728141475387915
122,2013-04-08,0.012949033582511316
123,2013-04-09,0.0
124,2013-04-10,-0.0005849663811150485
125,2013-04-11,-0.008225604303991663
126,2013-04-12,-0.0059172360251369405
127,2013-04-15,-0.024633206343088077
128,2013-04-16,0.023445557747431955
129,2013-04-17,0.002966421723388457
130,2013-04-18,0.012949033582511316
131,2013-04-19,0.006992977418959434
132,2013-04-22,0.009248621372270893
133,2013-04-23,0.003446413520436842
134,2013-04-24,0.010268201441439473
135,2013-04-25,0.001701106117584672
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.016120095757922392
139,2013-05-02,0.0017118976588172963
140,2013-05-03,-0.008588773094700741
141,2013-05-06,-0.013314176802060818
142,2013-05-07,0.02247279887199971
143,2013-05-08,0.014144508186446636
144,2013-05-09,-0.014714357161684788
145,2013-05-10,0.004550633305143048
146,2013-05-13,-0.005120921283513713
147,2013-05-14,0.008520301231289995
148,2013-05-15,0.0
149,2013-05-16,-0.009661910911736626
150,2013-05-17,-0.009756174945364737
151,2013-05-20,0.008041398874993444
