,Time,Returns_CIEL3
0,2012-10-02,-0.0053851406315330586
1,2012-10-03,0.005987200022670169
2,2012-10-04,0.049635106350191194
3,2012-10-05,0.0005725692435758489
4,2012-10-08,-0.006450518740208633
5,2012-10-09,-0.016118217823486436
6,2012-10-10,-0.006009067855424544
7,2012-10-11,0.007747926977239139
8,2012-10-15,-0.015556353377043752
9,2012-10-16,-0.009658200321511323
10,2012-10-17,0.015326189012680125
11,2012-10-18,-0.039980417539288826
12,2012-10-19,0.005262706192430855
13,2012-10-22,-0.047961736502778685
14,2012-10-23,-0.05149670427767061
15,2012-10-24,0.02965440824791843
16,2012-10-25,0.027753125647354437
17,2012-10-26,0.02289902968175639
18,2012-10-29,0.018347897460600837
19,2012-10-30,0.03669344153587506
20,2012-10-31,-0.021659315591715966
21,2012-11-01,0.035192059966921985
22,2012-11-05,0.014310764320918157
23,2012-11-06,0.01783474862793577
24,2012-11-07,0.006483266638198426
25,2012-11-08,0.008473074416381454
26,2012-11-09,-0.009761764043582755
27,2012-11-12,0.0031421021206936572
28,2012-11-13,0.00551688700154962
29,2012-11-14,-0.0038578588724504925
30,2012-11-16,0.012993109537101422
31,2012-11-19,0.0012659755729873545
32,2012-11-21,-0.006740138254831329
33,2012-11-22,-0.001828868546687179
34,2012-11-23,0.010930886871999945
35,2012-11-26,0.002708534283915931
36,2012-11-27,0.011680095839104787
37,2012-11-28,0.015060315299197047
38,2012-11-29,0.00789116379872068
39,2012-11-30,-0.029221511302554237
40,2012-12-03,-0.010299755096807583
41,2012-12-04,-0.009296763190225654
42,2012-12-05,-0.010504659396262106
43,2012-12-06,0.004620361527119421
44,2012-12-07,0.004599111929671995
45,2012-12-10,0.004759835142830404
46,2012-12-11,0.00637161211320425
47,2012-12-12,-0.00018062360348025663
48,2012-12-13,-0.006554578051440885
49,2012-12-14,-0.004396245601113513
50,2012-12-17,-0.002758454272478783
51,2012-12-18,0.010074829647473305
52,2012-12-19,-0.0014589989925819502
53,2012-12-20,0.0032778742822383578
54,2012-12-21,0.0
55,2012-12-26,-0.0034594531106462156
56,2012-12-27,0.023791242731583395
57,2012-12-28,0.015207690013079755
58,2013-01-02,0.02581052594487865
59,2013-01-03,0.005114159937865459
60,2013-01-04,0.001022520213345146
61,2013-01-07,0.002372446949556739
62,2013-01-08,-0.015033402746968516
63,2013-01-09,-0.03413196540226915
64,2013-01-10,-0.010207541183272717
65,2013-01-11,-0.005049363475999602
66,2013-01-14,0.004511977844103843
67,2013-01-15,-0.0037922890784178875
68,2013-01-16,-0.015291799301489828
69,2013-01-17,0.011312038240520739
70,2013-01-18,-0.010946847043656227
71,2013-01-21,0.012397915111255209
72,2013-01-22,0.0
73,2013-01-23,-0.0009094907103470717
74,2013-01-24,-0.0072755587011315015
75,2013-01-28,0.004557193768009782
76,2013-01-29,0.021933827578238585
77,2013-01-30,-0.011089507511304664
78,2013-01-31,0.012865726548991763
79,2013-02-01,0.023347930432354058
80,2013-02-04,-0.0008708200291938084
81,2013-02-05,-0.005219192154678698
82,2013-02-06,-0.014067184834731794
83,2013-02-07,-0.024362908294706553
84,2013-02-08,0.001089983908499903
85,2013-02-13,-0.012580494039111212
86,2013-02-14,0.008771653839164006
87,2013-02-15,0.024428434057130577
88,2013-02-18,0.0015957821798200378
89,2013-02-19,0.008115876273766975
90,2013-02-20,-0.0001749411400422396
91,2013-02-21,-0.00017497174979919095
92,2013-02-22,0.01777005551420041
93,2013-02-25,0.01882436908251206
94,2013-02-26,0.005915062064647536
95,2013-02-27,0.005539832921817478
96,2013-02-28,-0.004199097411457409
97,2013-03-01,0.006378730513494801
98,2013-03-04,-0.0026800918663401063
99,2013-03-05,-0.005885241169154565
100,2013-03-06,0.0016840373350008875
101,2013-03-07,-0.01355945829935834
102,2013-03-08,0.008667214176457438
103,2013-03-11,0.0037116188132984007
104,2013-03-12,-0.008120397088673847
105,2013-03-13,-0.015753838035553525
106,2013-03-14,-0.009191267616784682
107,2013-03-15,-0.004366234204762343
108,2013-03-18,0.005579309571404956
109,2013-03-19,-0.003310543263231658
110,2013-03-20,-0.0005214330837066683
111,2013-03-21,0.004358628188144031
112,2013-03-22,-0.012249434753642152
113,2013-03-25,0.007716935099540745
114,2013-03-26,0.01301439999305698
115,2013-03-27,0.01199960372362563
116,2013-03-28,0.014214790671400301
117,2013-04-01,-0.009456384884936053
118,2013-04-02,0.0022058470893417947
119,2013-04-03,0.004557826018609656
120,2013-04-04,-0.0037161105528964455
121,2013-04-05,0.01493427153627458
122,2013-04-08,0.01110053986715176
123,2013-04-09,0.02970045589700243
124,2013-04-10,0.00891236193116507
125,2013-04-11,-0.011156241995288863
126,2013-04-12,0.007983307992403876
127,2013-04-15,-0.005739427928280083
128,2013-04-16,0.007327153367968187
129,2013-04-17,-0.005094913478875807
130,2013-04-18,0.010478329841658418
131,2013-04-19,0.015972072366261525
132,2013-04-22,-0.002173906887915855
133,2013-04-23,0.004349527926562402
134,2013-04-24,-0.01641410886738326
135,2013-04-25,-0.0034767385140463958
136,2013-04-26,-0.019478275454351213
137,2013-04-29,-0.00786913962173097
138,2013-04-30,0.03525889526332282
139,2013-05-02,0.004693701345831247
140,2013-05-03,0.010623559785591041
141,2013-05-06,0.008677563750994377
142,2013-05-07,0.0073297962132463645
143,2013-05-08,-0.0012810522786752543
144,2013-05-09,0.006740219667864533
145,2013-05-10,-0.00600798885620657
146,2013-05-13,0.004733915446615722
147,2013-05-14,0.0245900405567121
148,2013-05-15,-0.007831114697178787
149,2013-05-16,-0.014939317514339745
