,Time,Returns_ABEV3
0,2012-10-02,0.023292369598938656
1,2012-10-03,-0.0067967878860693
2,2012-10-04,0.012051424045785186
3,2012-10-05,0.007013070016092637
4,2012-10-08,0.025688354760581955
5,2012-10-09,-0.03135468368607164
6,2012-10-10,0.004773777209808205
7,2012-10-11,0.0032688022211919687
8,2012-10-15,0.02258723542458485
9,2012-10-16,0.0004349843474225068
10,2012-10-17,0.005205106961724937
11,2012-10-18,0.014033710191323046
12,2012-10-19,-0.017934998228124943
13,2012-10-22,-0.002028897990304479
14,2012-10-23,-0.007864538154324308
15,2012-10-24,-0.0061599127063565184
16,2012-10-25,0.0033779846479053965
17,2012-10-26,0.004388987777861786
18,2012-10-29,0.01247604420245807
19,2012-10-30,-0.008251588555114875
20,2012-10-31,-0.007294723271608294
21,2012-11-01,0.010052825124560183
22,2012-11-05,0.003761959495810263
23,2012-11-06,-0.0008668892225083269
24,2012-11-07,-0.001591251348378897
25,2012-11-08,-0.007702630804975907
26,2012-11-09,-0.020338784892070638
27,2012-11-12,0.003715377000116149
28,2012-11-13,0.010036540199621857
29,2012-11-14,0.0013208490575715714
30,2012-11-16,0.0640429486162537
31,2012-11-19,0.016508441349922798
32,2012-11-21,0.014641451654702209
33,2012-11-22,-0.001735010945396187
34,2012-11-23,0.009703974324424713
35,2012-11-26,-0.0019862952205396134
36,2012-11-27,-0.0029203883630426475
37,2012-11-28,-0.0034623998367955267
38,2012-11-29,-0.013159409744283312
39,2012-11-30,0.04892371321954192
40,2012-12-03,0.02101533076429929
41,2012-12-04,-0.022303293642944144
42,2012-12-05,0.005141928235728788
43,2012-12-06,-0.0002564694430717829
44,2012-12-07,-0.017857155233745647
45,2012-12-10,0.10699577179755737
46,2012-12-11,0.015591987510973127
47,2012-12-12,0.002422537695845328
48,2012-12-13,0.0034506193587522382
49,2012-12-14,-0.01154861458184353
50,2012-12-17,-0.0012727194457822222
51,2012-12-18,0.00706361134232214
52,2012-12-19,0.006905288251159547
53,2012-12-20,-0.02979457684292175
54,2012-12-21,0.0040094272560708966
55,2012-12-26,-0.013387912994565543
56,2012-12-27,0.0005961856577050284
57,2012-12-28,-0.002386818482937425
58,2013-01-02,0.004054249874400284
59,2013-01-03,0.017576137272863335
60,2013-01-04,-0.016624506715340548
61,2013-01-07,0.011466321037654659
62,2013-01-08,-0.0011760348991312064
63,2013-01-09,0.015291719538500725
64,2013-01-10,-0.0020881435877209142
65,2013-01-11,-0.01191007235443875
66,2013-01-14,0.004689924942085977
67,2013-01-15,0.003153173559812039
68,2013-01-16,0.024413438763884354
69,2013-01-17,0.009738331813834655
70,2013-01-18,0.010648471163859696
71,2013-01-21,-0.0022324238890636394
72,2013-01-22,0.0
73,2013-01-23,0.005571604075129688
74,2013-01-24,0.012473196624587679
75,2013-01-28,-0.029281954466055193
76,2013-01-29,0.012019161267709855
77,2013-01-30,0.010330385051775526
78,2013-01-31,-0.005207421801226353
79,2013-02-01,-0.005346411342511015
80,2013-02-04,0.012535491042803937
81,2013-02-05,-0.006073296246342341
82,2013-02-06,-0.0005550160402592041
83,2013-02-07,-0.013181594140079245
84,2013-02-08,0.021143519171315628
85,2013-02-13,-0.007185066453832878
86,2013-02-14,-0.0016653254502401182
87,2013-02-15,-0.00701974109728587
88,2013-02-18,0.0017888692411545115
89,2013-02-19,0.0041189823777116885
90,2013-02-20,0.006652591388699669
91,2013-02-21,-0.020198985022174654
92,2013-02-22,0.014547099770700456
93,2013-02-25,-0.035283441245309355
94,2013-02-26,0.009510079766700041
95,2013-02-27,-0.033747476050970615
96,2013-02-28,0.029060999903689044
97,2013-03-01,0.0024031045929135963
98,2013-03-04,-0.007917755339146293
99,2013-03-05,-0.0017295080161021659
100,2013-03-06,0.026646436979333554
101,2013-03-07,-0.015286199139649792
102,2013-03-08,0.003985566158086762
103,2013-03-11,-0.005127223054395724
104,2013-03-12,-0.01380252410695304
105,2013-03-13,-0.009542442843270216
106,2013-03-14,0.007803654687981165
107,2013-03-15,-0.02347746108029547
108,2013-03-18,0.0134496844261629
109,2013-03-19,-0.01725180069572918
110,2013-03-20,0.007364984439191868
111,2013-03-21,-0.005822164943826813
112,2013-03-22,-0.00608380062024283
113,2013-03-25,-0.024000424744117677
114,2013-03-26,0.0029400076302072975
115,2013-03-27,0.0019552140160876696
116,2013-03-28,0.0
117,2013-04-01,0.00887247168228944
118,2013-04-02,-0.0074085658427676115
119,2013-04-03,-0.02756067791929384
120,2013-04-04,0.006245859167990364
121,2013-04-05,0.0009957993478004745
122,2013-04-08,-0.004113821365622439
123,2013-04-09,0.0036161389941020694
124,2013-04-10,0.0036029236055044045
125,2013-04-11,-0.018146417226365674
126,2013-04-12,-0.011297115553462689
127,2013-04-15,-0.028633349619426873
128,2013-04-16,0.021455027998004805
129,2013-04-17,-0.0003860109675044576
130,2013-04-18,0.005006557480708551
131,2013-04-19,0.009551767426186242
132,2013-04-22,-0.0038059460563646397
133,2013-04-23,0.02028482456763081
134,2013-04-24,-0.025646562356144376
135,2013-04-25,-0.005519344503724266
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.06177070730345369
139,2013-05-02,-0.022752844029076957
140,2013-05-03,0.022752844029076957
141,2013-05-06,-0.0023257148806052896
142,2013-05-07,0.0023257148806052896
143,2013-05-08,-0.003061195643645931
144,2013-05-09,0.03007332196035417
145,2013-05-10,0.0023831538428327192
146,2013-05-13,0.005794534684470332
147,2013-05-14,0.01604106661689153
148,2013-05-15,0.004635548095936137
149,2013-05-16,-0.010226521682144885
