,Time,Returns_EMBR3
0,2012-10-02,-0.03230824323265802
1,2012-10-03,-0.04580953603129423
2,2012-10-04,0.015504186535965303
3,2012-10-05,0.04512043528046972
4,2012-10-08,0.0036697288889624424
5,2012-10-09,0.012377296708554919
6,2012-10-10,0.00936268992785072
7,2012-10-11,0.014235115821872313
8,2012-10-15,-0.010657294473988443
9,2012-10-16,0.022599831917241353
10,2012-10-17,-0.008415196925284807
11,2012-10-18,0.006318027334561105
12,2012-10-19,0.0006995453240854488
13,2012-10-22,-0.006313595156852259
14,2012-10-23,0.01467018974779366
15,2012-10-24,-0.015374167249587956
16,2012-10-25,-0.004941767910778605
17,2012-10-26,0.0028268570061529275
18,2012-10-29,0.0007054674013922124
19,2012-10-30,0.011220314067492687
20,2012-10-31,-0.009810870564259222
21,2012-11-01,0.0
22,2012-11-05,0.004917466881530164
23,2012-11-06,0.017367577907904774
24,2012-11-07,-0.0034494687532573565
25,2012-11-08,-0.022362916554145684
26,2012-11-09,-0.0007069636208201224
27,2012-11-12,0.004234304138788225
28,2012-11-13,-0.0035273405179681028
29,2012-11-14,-0.01495221875686914
30,2012-11-16,-0.012270092591814219
31,2012-11-19,0.0029006546806371603
32,2012-11-21,0.025734086281388624
33,2012-11-22,0.00633136128356071
34,2012-11-23,0.008379937306750573
35,2012-11-26,-0.025353470686456436
36,2012-11-27,0.010642172096145153
37,2012-11-28,-0.022120059940831993
38,2012-11-29,-0.05334598070529273
39,2012-11-30,-0.002285715280855971
40,2012-12-03,0.03153414440708824
41,2012-12-04,0.008830079448272077
42,2012-12-05,-0.007352974305258719
43,2012-12-06,-0.03377431711860446
44,2012-12-07,0.026366875840742487
45,2012-12-10,0.006669161436280824
46,2012-12-11,0.008091254146839866
47,2012-12-12,-0.01476041558312069
48,2012-12-13,-0.026366875840742487
49,2012-12-14,-0.02551356016265771
50,2012-12-17,0.04066536518326025
51,2012-12-18,0.05129329438755015
52,2012-12-19,-0.007168489478612372
53,2012-12-20,0.03186110206898407
54,2012-12-21,0.005559430580149183
55,2012-12-26,0.0
56,2012-12-27,-0.008350779217419557
57,2012-12-28,0.0097358209900813
58,2013-01-02,0.019191815916097976
59,2013-01-03,-0.011608187705999029
60,2013-01-04,-0.020819627782389993
61,2013-01-07,0.008379937306750573
62,2013-01-08,-0.04334603955233707
63,2013-01-09,0.023682484643559043
64,2013-01-10,-0.002840911001603441
65,2013-01-11,-0.0121647296162668
66,2013-01-14,0.02769080014518588
67,2013-01-15,-0.0014015419252881856
68,2013-01-16,-0.0028089906110553287
69,2013-01-17,-0.007057192309998683
70,2013-01-18,0.005649732542118979
71,2013-01-21,0.013291556292061468
72,2013-01-22,0.0
73,2013-01-23,0.016540694132756606
74,2013-01-24,0.085129908889924
75,2013-01-28,0.004384598317824118
76,2013-01-29,0.011187189390564622
77,2013-01-30,0.007389134832675559
78,2013-01-31,0.009160491538631188
79,2013-02-01,-0.003044203171499671
80,2013-02-04,-0.0018308823597559254
81,2013-02-05,0.016959763956055696
82,2013-02-06,-0.0018033668306802753
83,2013-02-07,-0.016378952252509738
84,2013-02-08,-0.014787638081135146
85,2013-02-13,0.0024797904065381182
86,2013-02-14,-0.006211262397938455
87,2013-02-15,0.005591813613205154
88,2013-02-18,-0.0024813288935150446
89,2013-02-19,0.0061920319763144605
90,2013-02-20,-0.001853630377715909
91,2013-02-21,-0.001237623920350206
92,2013-02-22,0.024465991731443815
93,2013-02-25,0.0
94,2013-02-26,-0.01583455739880346
95,2013-02-27,0.03379917279706479
96,2013-02-28,-0.007745108950429458
97,2013-03-01,0.008931407986756845
98,2013-03-04,-0.011926259071995293
99,2013-03-05,-0.006620608192064559
100,2013-03-06,0.0048192867262684125
101,2013-03-07,-0.0006011422243634712
102,2013-03-08,0.01846951518324058
103,2013-03-11,0.021028695444479606
104,2013-03-12,-0.008708270088314762
105,2013-03-13,0.018486893293030437
106,2013-03-14,-0.012672923427610172
107,2013-03-15,-0.010489606671019835
108,2013-03-18,0.01914766941413415
109,2013-03-19,-0.011560764261542733
110,2013-03-20,0.017291438970528095
111,2013-03-21,0.0
112,2013-03-22,-0.0063056100675913385
113,2013-03-25,-0.007503585206595442
114,2013-03-26,0.04198007224088274
115,2013-03-27,-0.013986241974739855
116,2013-03-28,0.0
117,2013-04-01,-0.02279300952855623
118,2013-04-02,0.002877699827614766
119,2013-04-03,-0.029156584291455623
120,2013-04-04,-0.005934795043625485
121,2013-04-05,0.02003602794117265
122,2013-04-08,0.019070212078404314
123,2013-04-09,0.021518441320669268
124,2013-04-10,0.008923650962216367
125,2013-04-11,-0.001111111225422956
126,2013-04-12,-0.02419251670308098
127,2013-04-15,-0.044244704373958665
128,2013-04-16,0.0029718299129686265
129,2013-04-17,-0.05113712978974716
130,2013-04-18,0.03196344532037543
131,2013-04-19,0.02391022381604513
132,2013-04-22,0.00294898473815719
133,2013-04-23,0.04378579599823196
134,2013-04-24,-0.007923074837326904
135,2013-04-25,-0.039402547866028925
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.06826178823274853
139,2013-05-02,-0.017212071010752616
140,2013-05-03,0.030210219907059077
141,2013-05-06,-0.021567181621407805
142,2013-05-07,0.027166356540690995
143,2013-05-08,0.0016736962993881832
144,2013-05-09,0.019321604705449857
145,2013-05-10,-0.01376294701060976
146,2013-05-13,0.00221478489718141
147,2013-05-14,0.006615294063772925
148,2013-05-15,0.005479356174761918
149,2013-05-16,0.010869726881713948
150,2013-05-17,0.015554134560891164
151,2013-05-20,0.005837055420426562
