,Time,Returns_BRKM5
0,2012-10-02,-0.007711219423490512
1,2012-10-03,0.01328226447294556
2,2012-10-04,-0.008368249670516636
3,2012-10-05,-0.0063224657394869155
4,2012-10-08,0.0007044734352636972
5,2012-10-09,-0.032203140494634575
6,2012-10-10,-0.015390556628451346
7,2012-10-11,0.027678387422144457
8,2012-10-15,-0.005763704716749807
9,2012-10-16,0.03479229165055697
10,2012-10-17,-0.008409299731071407
11,2012-10-18,-0.007771144724886714
12,2012-10-19,0.007067167223092419
13,2012-10-22,0.0035149421074445186
14,2012-10-23,-0.015559012600289801
15,2012-10-24,-0.020159070001789292
16,2012-10-25,0.009410130966077901
17,2012-10-26,0.002159050856693323
18,2012-10-29,-0.038846951235269156
19,2012-10-30,0.007446050784078562
20,2012-10-31,-0.00446097394062539
21,2012-11-01,0.056495833063679335
22,2012-11-05,-0.007067167223092419
23,2012-11-06,0.030040680198069047
24,2012-11-07,0.004806051132099309
25,2012-11-08,-0.00411805660891762
26,2012-11-09,-0.04861823947202559
27,2012-11-12,0.008626940635522828
28,2012-11-13,0.005710222510884488
29,2012-11-14,-0.03993271033537127
30,2012-11-16,-0.04934587410315494
31,2012-11-19,0.020031486434379797
32,2012-11-21,-0.018476276167573413
33,2012-11-22,0.03886203309204728
34,2012-11-23,0.027277769412497932
35,2012-11-26,0.005077994226943439
36,2012-11-27,-0.039104945614369946
37,2012-11-28,0.03548044001540962
38,2012-11-29,0.015135424065100711
39,2012-11-30,-0.014409471220151904
40,2012-12-03,0.007950891180739994
41,2012-12-04,-0.034423025222716674
42,2012-12-05,-0.008230499136515412
43,2012-12-06,-0.020494075908513487
44,2012-12-07,0.03983991734827086
45,2012-12-10,-0.009626138751773983
46,2012-12-11,0.0007437709528446135
47,2012-12-12,-0.0022329745043125904
48,2012-12-13,-0.03179677408199888
49,2012-12-14,0.006899222460271748
50,2012-12-17,0.008368249670516636
51,2012-12-18,0.011299555253933224
52,2012-12-19,0.0022446698538240994
53,2012-12-20,-0.02420693085179737
54,2012-12-21,-0.002299732711531277
55,2012-12-26,-0.009252186278202679
56,2012-12-27,-0.009338589267799957
57,2012-12-28,0.000781555334820272
58,2013-01-02,0.06209412979579465
59,2013-01-03,0.021068705213985517
60,2013-01-04,-0.010115693194788111
61,2013-01-07,-0.013158084577510998
62,2013-01-08,-0.0022099456508031246
63,2013-01-09,-0.017857617400006465
64,2013-01-10,0.0015003753752349525
65,2013-01-11,0.002246350626373683
66,2013-01-14,0.012634876370277492
67,2013-01-15,0.009555383251729221
68,2013-01-16,0.0051076360583448555
69,2013-01-17,0.00797394583914457
70,2013-01-18,0.0007217611284096037
71,2013-01-21,0.020707630327489568
72,2013-01-22,0.0
73,2013-01-23,0.01194253744325291
74,2013-01-24,-0.02546106419827332
75,2013-01-28,0.005714301263438415
76,2013-01-29,0.050687697945623444
77,2013-01-30,0.004728141195946112
78,2013-01-31,0.01139040790613599
79,2013-02-01,0.01978956402422183
80,2013-02-04,-0.06127800308763742
81,2013-02-05,0.02129932803139134
82,2013-02-06,-0.0068213088507382835
83,2013-02-07,0.01359640251709937
84,2013-02-08,0.004043132192356413
85,2013-02-13,-0.017639534709455784
86,2013-02-14,-0.007557576336079119
87,2013-02-15,-0.02161115825457749
88,2013-02-18,-0.02064865103530522
89,2013-02-19,0.06812918926830003
90,2013-02-20,-0.04396312342111619
91,2013-02-21,-0.012010034857532048
92,2013-02-22,0.012712035588361648
93,2013-02-25,0.03448617607116944
94,2013-02-26,-0.00612038632732359
95,2013-02-27,0.0027247973261852465
96,2013-02-28,-0.008196767204178279
97,2013-03-01,-0.036316840197993194
98,2013-03-04,0.002840911001603441
99,2013-03-05,-0.009978700049896094
100,2013-03-06,0.015636423769755048
101,2013-03-07,0.029189007610309403
102,2013-03-08,-0.0006851661795965747
103,2013-03-11,-0.021476405623256145
104,2013-03-12,0.023530497410194418
105,2013-03-13,-0.031969366056058934
106,2013-03-14,-0.0085106896679088
107,2013-03-15,0.028091734867015106
108,2013-03-18,-0.0034686125654035393
109,2013-03-19,-0.00977661418461695
110,2013-03-20,-0.004219415542708216
111,2013-03-21,-0.035141658337872084
112,2013-03-22,-0.0073260400920727164
113,2013-03-25,-0.01855340789574811
114,2013-03-26,0.04754094476900006
115,2013-03-27,-0.01801850550267803
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.003677826874588508
119,2013-04-03,0.03902229201794505
120,2013-04-04,0.002830858224524224
121,2013-04-05,0.024434025337281895
122,2013-04-08,0.010974047031976575
123,2013-04-09,0.03617273139372523
124,2013-04-10,0.03236528450203169
125,2013-04-11,-0.02908120930084168
126,2013-04-12,-0.0019691506198808995
127,2013-04-15,-0.04227398989884534
128,2013-04-16,0.012938552985361174
129,2013-04-17,-0.04003295091284054
130,2013-04-18,0.027779564107075938
131,2013-04-19,0.004101167744214429
132,2013-04-22,0.020925501973031668
133,2013-04-23,0.07772771319880878
134,2013-04-24,0.010451985712916834
135,2013-04-25,0.01034387074956955
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.03970153625627004
139,2013-05-02,-0.014413625977405253
140,2013-05-03,-0.009921295849076195
141,2013-05-06,0.0035130012709565506
142,2013-05-07,0.012775957378060365
143,2013-05-08,-0.006367662799940721
144,2013-05-09,-0.02528791027886479
145,2013-05-10,-0.013793442078070761
146,2013-05-13,-0.018897179794891805
147,2013-05-14,0.008578422967177257
148,2013-05-15,0.012128772459429449
149,2013-05-16,-0.003018354147317659
150,2013-05-17,0.0096270292479117
