,Time,Returns_ESTC3
213,2013-08-16,-0.009291588873688639
214,2013-08-19,-0.018846200281772862
215,2013-08-20,-0.0059631066968606206
216,2013-08-21,0.001792710423134114
217,2013-08-22,0.008915363657952202
218,2013-08-23,0.04058528011507878
219,2013-08-26,-0.002845009112290242
220,2013-08-27,-0.008583686711332916
221,2013-08-28,-0.005763762520219817
222,2013-08-29,0.007486415831666093
223,2013-08-30,0.009706042512176882
224,2013-09-02,0.0
225,2013-09-03,-0.028820438535491988
226,2013-09-04,0.00291971010333425
227,2013-09-05,-0.00233502726249446
228,2013-09-06,0.019676559605570798
229,2013-09-09,0.031587453232839735
230,2013-09-10,0.013237920840635908
231,2013-09-11,-0.016574909383908043
232,2013-09-12,0.01492966630247583
233,2013-09-13,-0.03917675143882304
234,2013-09-16,-0.0040033795532203875
235,2013-09-17,-0.01909227683021575
236,2013-09-18,0.050679730063055484
237,2013-09-19,-0.04022071548760131
238,2013-09-20,0.002309527652132548
239,2013-09-23,0.014882930691710428
240,2013-09-24,0.001703037644173122
241,2013-09-25,0.003397625012525385
242,2013-09-26,-0.02056046097329034
243,2013-09-27,0.0034561671343626976
244,2013-09-30,-0.009823829934303419
245,2013-10-01,-0.004073267315625184
246,2013-10-02,-0.01942951906714674
247,2013-10-03,-0.020421130063476234
248,2013-10-04,0.015653540580003344
249,2013-10-07,0.0035777618240731
250,2013-10-08,-0.008368190146705423
251,2013-10-09,0.02431190006765238
252,2013-10-10,0.017422101017186886
253,2013-10-11,0.006312732403853438
254,2013-10-14,-0.0017176642723644164
255,2013-10-15,-0.0063237346026290275
256,2013-10-16,-0.034617713081320556
257,2013-10-17,-0.027233211808054048
258,2013-10-18,0.02064432883388534
259,2013-10-21,0.006588882974168708
260,2013-10-22,0.0
261,2013-10-23,0.011869634552432284
262,2013-10-24,-0.003546221210431799
263,2013-10-25,0.019349769314497944
264,2013-10-28,-0.015803548104066145
265,2013-10-29,0.004708660570993839
266,2013-10-30,0.007021620217447122
267,2013-10-31,0.004653876927889655
268,2013-11-01,0.004054393160425107
269,2013-11-04,0.02285825237669359
270,2013-11-05,0.0045095902517697795
271,2013-11-06,-0.01587340539925819
272,2013-11-07,0.028726278258396132
273,2013-11-08,-0.005009751641080307
274,2013-11-11,0.004454350349380132
275,2013-11-12,-0.028170876966695957
276,2013-11-13,0.0005712653682921065
277,2013-11-14,0.013613369623663996
278,2013-11-18,0.006178115517968319
279,2013-11-19,-0.0033652303211302304
280,2013-11-21,0.01947215959259685
281,2013-11-22,0.04576841845558066
282,2013-11-25,-0.00686556679181205
283,2013-11-26,0.05163769451622224
284,2013-11-27,0.003516707793291829
285,2013-11-28,0.0
286,2013-11-29,0.003504333911499735
287,2013-12-02,-0.005512416865195213
288,2013-12-03,-0.007566240383316103
289,2013-12-04,0.0035380375547111598
290,2013-12-05,0.023929307884814843
291,2013-12-06,0.004914064063513912
292,2013-12-09,-0.009852246938062414
293,2013-12-10,0.0
294,2013-12-11,-0.014962922181661398
295,2013-12-12,0.015457750204626475
296,2013-12-13,0.025886720866307833
297,2013-12-16,-0.006773127005845758
298,2013-12-17,-0.007797261536353517
299,2013-12-18,0.008282629163320454
300,2013-12-19,0.011577504822308349
301,2013-12-20,-0.004325889947122796
302,2013-12-23,0.000962975496587859
303,2013-12-26,-0.005307660100598799
304,2013-12-27,-0.006309120507774324
305,2013-12-30,-0.006349276364149059
306,2014-01-02,-0.00935281268541388
307,2014-01-03,-0.02351867278920894
308,2014-01-06,-0.0030425479088962426
309,2014-01-07,-0.00969647786853356
310,2014-01-08,0.002049232222007369
311,2014-01-09,-0.0035889297686697574
312,2014-01-10,0.005633869079325837
313,2014-01-13,-0.019598305985296438
314,2014-01-14,0.030771556078369677
315,2014-01-15,0.0
316,2014-01-16,-0.00404858873088898
317,2014-01-17,-0.01584490128362992
318,2014-01-20,-0.008796951943358167
319,2014-01-21,0.0
320,2014-01-22,0.0005196154962328059
321,2014-01-23,0.001557280315824805
322,2014-01-24,-0.015682547867836405
323,2014-01-27,0.0010531859846585334
324,2014-01-28,-0.002107535082181755
325,2014-01-29,-0.01220492762826142
326,2014-01-30,-0.026509531809811637
327,2014-01-31,0.025441102192456988
328,2014-02-03,-0.00643428510528965
329,2014-02-04,0.03748124236401429
330,2014-02-05,0.006198418765811731
331,2014-02-06,0.01988334736772357
332,2014-02-07,0.007042383230281946
333,2014-02-10,-0.003012150871825714
334,2014-02-11,0.0015072095670936037
335,2014-02-12,-0.0015072095670936037
336,2014-02-13,0.003012150871825714
337,2014-02-14,0.002503080092806531
