,Time,Returns_KROT3
162,2013-06-05,-0.004914014802428923
163,2013-06-06,-0.014222167950590059
164,2013-06-07,-0.017473562859541936
165,2013-06-10,0.011124335180882738
166,2013-06-11,0.02221208508670891
167,2013-06-12,-0.002297719704486223
168,2013-06-13,0.009810412233513865
169,2013-06-14,0.008747828342752673
170,2013-06-17,0.0016116038943416733
171,2013-06-18,0.020717872503747348
172,2013-06-19,-0.03531667192490007
173,2013-06-20,-0.034239675093949096
174,2013-06-21,0.006068798127252695
175,2013-06-24,-0.031759541420262716
176,2013-06-25,0.004500613447628199
177,2013-06-26,0.03562717764315115
178,2013-06-27,0.02793936868924174
179,2013-06-28,-0.0019467884149881876
180,2013-07-01,0.006797242548737259
181,2013-07-02,-0.049596941139371964
182,2013-07-03,-0.01022155407153802
183,2013-07-04,-0.006872879287762146
184,2013-07-05,-0.0034542348680874913
185,2013-07-08,0.01340456572125559
186,2013-07-10,0.025283666056292065
187,2013-07-11,0.003655096277260128
188,2013-07-12,-0.004987541511038973
189,2013-07-15,0.006975613736425412
190,2013-07-16,0.02258318850511909
191,2013-07-17,0.00902067972593068
192,2013-07-18,-0.008373639910409292
193,2013-07-19,-0.011711259420901676
194,2013-07-22,0.001961425931218397
195,2013-07-23,0.005861299749990945
196,2013-07-24,-0.019010733134935176
197,2013-07-25,0.02773876656036256
198,2013-07-26,
199,2013-07-29,
200,2013-07-30,0.008130126083250033
201,2013-07-31,0.01207258123426902
202,2013-08-01,-0.013630942154284842
203,2013-08-02,0.005598770457020841
204,2013-08-05,-0.017522350692202426
205,2013-08-06,-0.015267472130788384
206,2013-08-07,-0.027951120895050696
207,2013-08-08,0.05045246636976586
208,2013-08-09,0.019857928364426236
209,2013-08-12,-0.007400588818171183
210,2013-08-13,-0.0003095496077962778
211,2013-08-14,-0.03625298499514873
212,2013-08-15,0.004164670443648433
213,2013-08-16,-0.023614230059506358
214,2013-08-19,-0.036670775520008414
215,2013-08-20,0.01850347156455956
216,2013-08-21,-0.02531780798428973
217,2013-08-22,-0.005485101170755291
218,2013-08-23,0.030802909155045022
219,2013-08-26,0.009950330853168321
220,2013-08-27,0.02766653271813846
221,2013-08-28,0.0
222,2013-08-29,0.042425844102229604
223,2013-08-30,-0.01144991620792446
224,2013-09-02,0.018807398815221532
225,2013-09-03,-0.05299876356350097
226,2013-09-04,0.020717872503747348
227,2013-09-05,0.017821325180635395
228,2013-09-06,0.007102083271821158
229,2013-09-09,0.006134988567516153
230,2013-09-10,-0.013857034661426404
231,2013-09-11,-0.008407335835973306
232,2013-09-12,-0.008794026522572995
233,2013-09-13,0.013162208195325764
234,2013-09-16,0.0024875634718020123
235,2013-09-17,-0.038624617561640484
236,2013-09-18,0.02612445479740888
237,2013-09-19,-0.018087118491143972
238,2013-09-20,-0.010946664364496872
239,2013-09-23,0.019555038901097
240,2013-09-24,0.02507968439702335
241,2013-09-25,-0.004654779544982279
242,2013-09-26,-0.00780644089282978
243,2013-09-27,0.003129893008927631
244,2013-09-30,-0.015430947030543152
245,2013-10-01,-0.013418731698520592
246,2013-10-02,-0.009371534091133782
247,2013-10-03,-0.021329766806334582
248,2013-10-04,0.027802281311951837
