,Time,Returns_GOAU4
0,2012-10-02,-0.011800706866765598
1,2012-10-03,-0.011113512203035025
2,2012-10-04,-0.012075890822285995
3,2012-10-05,0.0012559766931370397
4,2012-10-08,0.006256496034262593
5,2012-10-09,0.009929829211558161
6,2012-10-10,-0.011177967531448285
7,2012-10-11,0.01569631564731866
8,2012-10-15,-0.01320151185853602
9,2012-10-16,0.025016723418694653
10,2012-10-17,-0.004465239721425984
11,2012-10-18,-0.03182748563827831
12,2012-10-19,-0.04641998063515862
13,2012-10-22,0.017012449192319146
14,2012-10-23,-0.018773744192742914
15,2012-10-24,0.010085548982510684
16,2012-10-25,-0.0013098015692643017
17,2012-10-26,-0.028358081665025292
18,2012-10-29,0.023540993304942415
19,2012-10-30,0.008305971248768529
20,2012-10-31,-0.009184363907829951
21,2012-11-01,0.02087032272557998
22,2012-11-05,-0.015174841706435682
23,2012-11-06,0.04275982920192467
24,2012-11-07,-0.028876742277731626
25,2012-11-08,-0.002588396669224391
26,2012-11-09,-0.007805807366283002
27,2012-11-12,0.0060764943916393754
28,2012-11-13,-0.008255575711060725
29,2012-11-14,-0.0238422336455133
30,2012-11-16,-0.0157624519941284
31,2012-11-19,0.02421638462254716
32,2012-11-21,0.025373189702798893
33,2012-11-22,0.004740366558275255
34,2012-11-23,0.030485002508849668
35,2012-11-26,-0.022776142228440932
36,2012-11-27,-0.02069047947356939
37,2012-11-28,0.0172716728708866
38,2012-11-29,0.01022151126332016
39,2012-11-30,-0.049956053299872405
40,2012-12-03,-0.00535959287962573
41,2012-12-04,0.008472737419423115
42,2012-12-05,0.011040076804158527
43,2012-12-06,-0.00307891153542883
44,2012-12-07,0.022648964663202875
45,2012-12-10,0.019194490322470337
46,2012-12-11,-0.0033855301063088206
47,2012-12-12,-0.012798766586452182
48,2012-12-13,-0.016887216272937433
49,2012-12-14,-0.008771942019974777
50,2012-12-17,-0.011965620008102196
51,2012-12-18,0.028567093107781716
52,2012-12-19,-0.013083439722707091
53,2012-12-20,-0.00484053739775403
54,2012-12-21,-0.012874806318412091
55,2012-12-26,0.005347651009348642
56,2012-12-27,-0.006688988150796327
57,2012-12-28,0.024310589500616153
58,2013-01-02,0.03854862810042725
59,2013-01-03,0.013355874657732247
60,2013-01-04,-0.019678298380411796
61,2013-01-07,0.022989559547012206
62,2013-01-08,-0.02045581658393747
63,2013-01-09,-0.02088292469759434
64,2013-01-10,-0.001292738813947203
65,2013-01-11,-0.011711302542936064
66,2013-01-14,0.00348432408261079
67,2013-01-15,-0.010929070532190277
68,2013-01-16,-0.004405293467916405
69,2013-01-17,0.012722303364159693
70,2013-01-18,-0.013605739836887398
71,2013-01-21,0.0004417937090543944
72,2013-01-22,0.0
73,2013-01-23,0.004846936231589716
74,2013-01-24,-0.019082007883849172
75,2013-01-28,-0.037895426858691295
76,2013-01-29,0.020723789771515566
77,2013-01-30,-0.0013683468185594627
78,2013-01-31,0.01719503865356886
79,2013-02-01,-0.002695464284838689
80,2013-02-04,-0.01085492340943528
81,2013-02-05,0.0077010573124129955
82,2013-02-06,0.004053146733166368
83,2013-02-07,-0.016769076762308988
84,2013-02-08,0.0036496392540477096
85,2013-02-13,0.0171562225370665
86,2013-02-14,0.0017888645599710706
87,2013-02-15,-0.01940047312175963
88,2013-02-18,-0.034765956231488815
89,2013-02-19,-0.020010195053501434
90,2013-02-20,-0.0432713020638289
91,2013-02-21,0.012484556662244906
92,2013-02-22,0.010858990937823165
93,2013-02-25,0.012198247754902969
94,2013-02-26,0.03712939494238787
95,2013-02-27,-0.017440884762081055
96,2013-02-28,-0.003811343164882075
97,2013-03-01,-0.03299673363693412
98,2013-03-04,-0.004945608497787912
99,2013-03-05,-0.028666785729648758
100,2013-03-06,0.034105661796174136
101,2013-03-07,-0.008417974521582217
102,2013-03-08,0.010388369199217262
103,2013-03-11,0.003929278139889636
104,2013-03-12,-0.022807086166028334
105,2013-03-13,-0.009574323337011581
106,2013-03-14,-0.015306369868794967
107,2013-03-15,-0.018158786425751305
108,2013-03-18,0.0015693961256602051
109,2013-03-19,-0.017932864533074522
110,2013-03-20,-0.008551735708540065
111,2013-03-21,-0.007002398852351099
112,2013-03-22,0.012355784371718137
113,2013-03-25,-0.0096567813109103
114,2013-03-26,0.0442876825364964
115,2013-03-27,-0.0010318886364539814
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.02997852764136999
119,2013-04-03,0.00903540560959959
120,2013-04-04,-0.016000341346440905
121,2013-04-05,0.032789770793852924
122,2013-04-08,-0.02849791871231222
123,2013-04-09,0.011179195774657646
124,2013-04-10,-0.008506112119357034
125,2013-04-11,0.0010672359604226855
126,2013-04-12,-0.018843087801479808
127,2013-04-15,-0.03034715638929164
128,2013-04-16,0.030890487019338053
129,2013-04-17,0.01616409159365606
130,2013-04-18,0.03260020638159711
131,2013-04-19,-0.0025899521706214124
132,2013-04-22,0.003624078426172961
133,2013-04-23,0.017926267029571896
134,2013-04-24,-0.007643451224884856
135,2013-04-25,-0.002048080645458139
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.035835326595724304
139,2013-05-02,-0.040470822920991356
140,2013-05-03,0.0005160258179022215
141,2013-05-06,0.0077102412288319044
142,2013-05-07,-0.012883455042245195
143,2013-05-08,-0.030544763713142853
144,2013-05-09,-0.01400130497809382
145,2013-05-10,-0.026375265163616657
146,2013-05-13,-0.022523475935404047
147,2013-05-14,-0.003422650329892196
148,2013-05-15,-0.02020270731751994
149,2013-05-16,0.0075516476343295835
150,2013-05-17,0.009789884708746754
