,Time,Returns_GGBR3
0,2012-10-02,-0.01407572823418457
1,2012-10-03,0.0012878301844287954
2,2012-10-04,-0.014258180627056305
3,2012-10-05,0.003908799765052873
4,2012-10-08,0.010349380862003432
5,2012-10-09,0.01024336741476084
6,2012-10-10,-0.021893984634736352
7,2012-10-11,0.014862955350159357
8,2012-10-15,0.005756331852576402
9,2012-10-16,0.01393309430392442
10,2012-10-17,-0.015848192240023984
11,2012-10-18,-0.014157250611092742
12,2012-10-19,-0.03629563697012328
13,2012-10-22,-0.007419932861657763
14,2012-10-23,-0.0020332097820978667
15,2012-10-24,0.018817759574798032
16,2012-10-25,-0.01138278108727997
17,2012-10-26,-0.018349138668196208
18,2012-10-29,0.015651901699194948
19,2012-10-30,0.013414017365663167
20,2012-10-31,-0.016118549102082103
21,2012-11-01,0.0
22,2012-11-05,0.0
23,2012-11-06,0.04695077161829264
24,2012-11-07,-0.02485412434070211
25,2012-11-08,-0.006644542718668767
26,2012-11-09,-0.0053476063265951446
27,2012-11-12,-0.008075414005545678
28,2012-11-13,-0.0027063615977427347
29,2012-11-14,-0.019843278528933972
30,2012-11-16,-0.0076309770233145
31,2012-11-19,0.015889798914616282
32,2012-11-21,0.02035348416122318
33,2012-11-22,-0.003363608956683084
34,2012-11-23,0.03444048998029148
35,2012-11-26,-0.013106347505300153
36,2012-11-27,-0.017299167262812443
37,2012-11-28,0.03947881097378758
38,2012-11-29,-0.011680859612755778
39,2012-11-30,-0.03385653603273786
40,2012-12-03,-0.006095514978976979
41,2012-12-04,0.0020359694850986543
42,2012-12-05,0.014136889760502314
43,2012-12-06,0.009314771274547606
44,2012-12-07,0.01707198389864706
45,2012-12-10,0.010362787035546717
46,2012-12-11,-0.011014040721866625
47,2012-12-12,-0.0032626456348161526
48,2012-12-13,-0.016474837203504844
49,2012-12-14,-0.014051753455650573
50,2012-12-17,0.01139040790613599
51,2012-12-18,0.030186018939604597
52,2012-12-19,0.0019373593402258749
53,2012-12-20,-0.011680859612755778
54,2012-12-21,0.011035490116332092
55,2012-12-26,-0.0051780050967527025
56,2012-12-27,-0.009781623475713541
57,2012-12-28,0.009781623475713541
58,2013-01-02,0.05369145478764015
59,2013-01-03,0.026101693470194753
60,2013-01-04,-0.008423756189749998
61,2013-01-07,0.020927580528918188
62,2013-01-08,-0.01190484262608038
63,2013-01-09,0.0
64,2013-01-10,-0.03163286767260143
65,2013-01-11,0.006161510369107948
66,2013-01-14,-0.01734869975967257
67,2013-01-15,0.00685153702234631
68,2013-01-16,-0.02514280699459759
69,2013-01-17,0.01829126997225128
70,2013-01-18,-0.029171377300279744
71,2013-01-21,0.009606221805439574
72,2013-01-22,0.0
73,2013-01-23,-0.0121835428197401
74,2013-01-24,-0.016260520871780315
75,2013-01-28,-0.004600731085936616
76,2013-01-29,0.02086125195771693
77,2013-01-30,-0.012333814255608644
78,2013-01-31,0.0032605180499336583
79,2013-02-01,0.01742541671385922
80,2013-02-04,-0.02068593476379288
81,2013-02-05,0.005861299749991389
82,2013-02-06,0.012903404835907573
83,2013-02-07,-0.030591386455226743
84,2013-02-08,-0.001984783979385618
85,2013-02-13,0.010540282035432114
86,2013-02-14,0.008482921994477088
87,2013-02-15,-0.02566774674857797
88,2013-02-18,-0.010050335853501569
89,2013-02-19,-0.0074349784875180625
90,2013-02-20,-0.0443900893770679
91,2013-02-21,0.0014174346809734395
92,2013-02-22,0.0035348216374933017
93,2013-02-25,0.009831539865770456
94,2013-02-26,0.03501902629958131
95,2013-02-27,-0.005412733106750611
96,2013-02-28,-0.0198704722027494
97,2013-03-01,-0.01745244995122608
98,2013-03-04,-0.0035273405179681028
99,2013-03-05,-0.028675799976666472
100,2013-03-06,0.01801850550267803
101,2013-03-07,0.026781022677642152
102,2013-03-08,-0.0020884100872704536
103,2013-03-11,0.001392757885303464
104,2013-03-12,-0.018967902706811035
105,2013-03-13,-0.011412392051744824
106,2013-03-14,-0.004313450253719431
107,2013-03-15,-0.03146984903081007
108,2013-03-18,-0.005965714933996669
109,2013-03-19,-0.006754247065563934
110,2013-03-20,0.004507896439190251
111,2013-03-21,-0.004507896439190251
112,2013-03-22,0.008995562908578059
113,2013-03-25,0.005210283465407084
114,2013-03-26,0.030704166343979544
115,2013-03-27,0.0007196833703937422
116,2013-03-28,0.0021559476550683243
117,2013-04-01,-0.005037794029957077
118,2013-04-02,-0.01967276559870479
119,2013-04-03,0.008061604671026679
120,2013-04-04,-0.022141125877213508
121,2013-04-05,0.018484814674103234
122,2013-04-08,-0.025223889223948692
123,2013-04-09,0.00971970268798339
124,2013-04-10,0.002971770389157413
125,2013-04-11,-0.017209553051929838
126,2013-04-12,-0.010622254656622587
127,2013-04-15,-0.03571808260207909
128,2013-04-16,0.02652261550897883
129,2013-04-17,0.038509854761875406
130,2013-04-18,0.015435808129839579
131,2013-04-19,-0.018403169357641413
132,2013-04-22,-0.015724771784350722
133,2013-04-23,0.014237782662772425
134,2013-04-24,0.003713335124660766
135,2013-04-25,-0.006693963262798697
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.005930336134848613
139,2013-05-02,-0.017145406954988562
140,2013-05-03,0.023040781435666347
141,2013-05-06,0.0007344840579914802
142,2013-05-07,-0.011816976504784193
143,2013-05-08,-0.039399035143827366
144,2013-05-09,0.004626068388782212
145,2013-05-10,-0.02650194074550649
146,2013-05-13,-0.01753032940499688
147,2013-05-14,0.009600073729019165
148,2013-05-15,-0.03236528450203169
149,2013-05-16,0.00737406045271527
150,2013-05-17,-0.008196767204178723
