,Time,Returns_ITUB4
0,2012-10-02,-0.0048448431827732286
1,2012-10-03,-0.01302929911142403
2,2012-10-04,0.0016403668122593196
3,2012-10-05,0.007824204746047947
4,2012-10-08,0.002270364078006626
5,2012-10-09,-0.02493614368661845
6,2012-10-10,-0.02353003300260159
7,2012-10-11,0.008469702310736515
8,2012-10-15,0.005377733830989495
9,2012-10-16,0.0033489041950955922
10,2012-10-17,-0.00033291718992423114
11,2012-10-18,-0.002677154598748732
12,2012-10-19,-0.010790846501309126
13,2012-10-22,-0.0051000601921997735
14,2012-10-23,-0.03219936743708063
15,2012-10-24,0.040005687149144986
16,2012-10-25,0.014100577556957816
17,2012-10-26,-0.013759160376418222
18,2012-10-29,0.00033635438325685385
19,2012-10-30,0.012089586412722397
20,2012-10-31,-0.009392555822013371
21,2012-11-01,0.04351501573377181
22,2012-11-05,-0.000968664902639027
23,2012-11-06,0.009321517778390298
24,2012-11-07,-0.025266169389592807
25,2012-11-08,-0.022564780952599506
26,2012-11-09,0.0006728665596082983
27,2012-11-12,-0.0006728665596082983
28,2012-11-13,0.018290179880372293
29,2012-11-14,-0.013936847711795597
30,2012-11-16,0.003666969438880674
31,2012-11-19,0.030489130956344646
32,2012-11-21,0.012197804443384808
33,2012-11-22,0.01173237682139705
34,2012-11-23,0.011596414099078522
35,2012-11-26,-0.018557936211008208
36,2012-11-27,-0.01567421398080926
37,2012-11-28,0.004503472358525329
38,2012-11-29,0.02504574958465966
39,2012-11-30,0.0056177997035002925
40,2012-12-03,0.027026362888357802
41,2012-12-04,-0.010965247154655966
42,2012-12-05,0.005194259083090014
43,2012-12-06,-0.0033613774517275985
44,2012-12-07,0.001834086889311859
45,2012-12-10,0.0006120894556524981
46,2012-12-11,0.006384449736920317
47,2012-12-12,-0.0039487426910547185
48,2012-12-13,0.0006102273397488034
49,2012-12-14,-0.008554845461312244
50,2012-12-17,0.003062734730733485
51,2012-12-18,0.005794859064435887
52,2012-12-19,0.034661537263737774
53,2012-12-20,-0.0044127301562286725
54,2012-12-21,0.0055859020948338944
55,2012-12-26,-0.010317561436901546
56,2012-12-27,-0.01673741085108471
57,2012-12-28,0.005711252796443578
58,2013-01-02,0.032720229531212564
59,2013-01-03,0.02943466321034771
60,2013-01-04,-0.005930023701568032
61,2013-01-07,-0.017142876929548745
62,2013-01-08,0.00402553978792497
63,2013-01-09,0.01594613487751273
64,2013-01-10,-0.012795138406642703
65,2013-01-11,0.002573002480090736
66,2013-01-14,0.013042995375195598
67,2013-01-15,-0.013327122846159334
68,2013-01-16,0.008809116609336254
69,2013-01-17,0.01683516464506951
70,2013-01-18,0.003334814079408055
71,2013-01-21,-0.007236948364964135
72,2013-01-22,0.0
73,2013-01-23,-0.002797147342886941
74,2013-01-24,0.0011189786901621979
75,2013-01-28,-0.026651750378595462
76,2013-01-29,-0.0014399332526107145
77,2013-01-30,-0.01917597857174158
78,2013-01-31,0.007014582202677921
79,2013-02-01,-0.005255214381330475
80,2013-02-04,-0.023704350862176593
81,2013-02-05,0.024874089475452
82,2013-02-06,-0.02098325561886405
83,2013-02-07,-0.006290708421677227
84,2013-02-08,0.01787315158464109
85,2013-02-13,-0.0026619127130271814
86,2013-02-14,-0.004748602827555182
87,2013-02-15,0.045356593998667094
88,2013-02-18,0.010461764664132733
89,2013-02-19,-0.019596768184415136
90,2013-02-20,-0.017656078732757763
91,2013-02-21,-0.007323745561653272
92,2013-02-22,0.03183997281187123
93,2013-02-25,0.0019918581285711667
94,2013-02-26,-0.01836799070559625
95,2013-02-27,0.0037623542773865815
96,2013-02-28,0.011186160760706887
97,2013-03-01,0.004272510302375299
98,2013-03-04,-0.004272510302375299
99,2013-03-05,-0.0008566885959613302
100,2013-03-06,0.016708099097826334
101,2013-03-07,0.006438375317225464
102,2013-03-08,0.029147153533489067
103,2013-03-11,-0.005434608301655874
104,2013-03-12,-0.015101527405061432
105,2013-03-13,-0.0013821112403844538
106,2013-03-14,-0.015354455199591222
107,2013-03-15,0.0008439630419410094
108,2013-03-18,0.018654904927370097
109,2013-03-19,-0.011933134835936166
110,2013-03-20,0.008619790313573183
111,2013-03-21,-0.011132601235199324
112,2013-03-22,-0.01239409280233339
113,2013-03-25,-0.008248500182119312
114,2013-03-26,0.010515267600371914
115,2013-03-27,0.002257552064121704
116,2013-03-28,
117,2013-04-01,
118,2013-04-02,-0.017962017763605065
119,2013-04-03,0.0017211903416378682
120,2013-04-04,-0.028844666433597066
121,2013-04-05,-0.0002942920543276273
122,2013-04-08,-0.0005933056667490888
123,2013-04-09,0.023396668148723432
124,2013-04-10,0.014914314442392662
125,2013-04-11,0.00369510819157437
126,2013-04-12,-0.018609422633967032
127,2013-04-15,-0.021916290988028386
128,2013-04-16,0.024802277219554636
129,2013-04-17,-0.024802277219554636
130,2013-04-18,-0.03487002695744312
131,2013-04-19,0.021787373489828177
132,2013-04-22,-0.005100740581981178
133,2013-04-23,0.00629637076231937
134,2013-04-24,0.007148261370899078
135,2013-04-25,-0.0005911606336512776
136,2013-04-26,
137,2013-04-29,
138,2013-04-30,0.025882087122641728
139,2013-05-02,-0.01255334516461204
140,2013-05-03,0.013740103172688922
141,2013-05-06,-0.0014825799602227185
142,2013-05-07,0.028996693750793945
143,2013-05-08,0.010339648015226022
144,2013-05-09,0.0
145,2013-05-10,-0.00947356723535231
146,2013-05-13,-0.019220577870139977
147,2013-05-14,0.014882695878517538
148,2013-05-15,0.01666450033272371
149,2013-05-16,-0.00944644930116656
150,2013-05-17,0.010301184026674903
